00:17:18:22 00:17:26:01 今天是在奥地利
00:17:27:03 00:17:29:11 做崇拜的第一天
00:17:34:11 00:17:37:03 历史上
00:17:40:20 00:17:46:17 这个国家经历各种剧变
00:17:46:17 00:17:48:23 它亦藉此学习到
00:17:53:01 00:17:55:17 很多人生的教训
00:18:00:01 00:18:03:08 人类就是这样
00:18:03:14 00:18:08:00 他们不会认为自己所犯的过错与灾难有任何联系
00:18:09:23 00:18:11:08 这就是他们重复又重复的
00:18:11:08 00:18:13:19 犯着同样的错误的原因
00:18:16:16 00:18:20:23 到访维也纳是期待以久的
00:18:23:16 00:18:26:05 我在你们为Machindranath (M是一位霎哈嘉瑜伽士的婴孩) 
00:18:26:05 00:18:29:19 庆祝生日的那天到达
00:18:30:17 00:18:40:19 对你们所有人来说
00:18:41:01 00:18:47:09 他今天完成人生的第一年是非常吉祥的
00:18:56:16 00:19:00:19 我用这些花朵，
00:19:00:19 00:19:04:05 这些精选的花朵来祝福他
00:19:04:05 00:19:08:02 希望漂亮和祝福降临他身上，他的家庭
00:19:08:17 00:19:11:01 所有与他有关连的人和他们的家庭
00:19:19:10 00:19:24:02 有太多的第一次
00:19:24:02 00:19:29:10 我可以说，我第一次来到维也纳
00:19:29:16 00:19:31:10 来到奥地利
00:19:32:12 00:19:40:04 第一次参加孩子的生日，
00:19:40:10 00:19:42:24 他的第一年生日
00:19:46:10 00:19:49:01 在Ashtami，即今天
00:19:49:01 00:19:51:13 是月盈的第八天
00:19:52:02 00:19:57:21 月亮正在增长，shuklapakshi 
00:19:58:24 00:20:04:19 第一次，我们敬拜女神的
00:20:05:11 00:20:07:11 所有武器
00:20:11:19 00:20:16:02 这是非常伟大的念头
00:20:16:02 00:20:20:08 因为它们每时每刻都在工作
00:20:23:08 00:20:26:08 不单杀掉邪恶的，
00:20:26:08 00:20:28:16 也保护善良的
00:20:30:16 00:20:33:05 我们从未敬拜过这些武器
00:20:33:14 00:20:35:16 今天
00:20:35:24 00:20:38:07 若人类意识到
00:20:38:13 00:20:41:04 它们的重要和意义
00:20:45:07 00:20:48:24 很多原子弹的问题
00:20:48:24 00:20:52:04 和其它问题
00:20:53:13 00:20:55:10 便可以因为把它们导向
00:20:55:10 00:20:57:07 正确的方向而获得解决
00:20:57:23 00:21:01:06 它们亦可以被用来摧毁
00:21:01:17 00:21:08:01 邪魔的力量，而不是摧毁善良的
