00:17:18:22 00:17:26:01 今天是在奧地利
00:17:27:03 00:17:29:11 做崇拜的第一天
00:17:34:11 00:17:37:03 歷史上
00:17:40:20 00:17:46:17 這個國家經歷各種劇變
00:17:46:17 00:17:48:23 它亦藉此學習到
00:17:53:01 00:17:55:17 很多人生的教訓
00:18:00:01 00:18:03:08 人類就是這樣
00:18:03:14 00:18:08:00 他們不會認為自己所犯的過錯與災難有任何聯繫
00:18:09:23 00:18:11:08 這就是他們重複又重複的
00:18:11:08 00:18:13:19 犯著同樣的錯誤的原因
00:18:16:16 00:18:20:23 到訪維也納是期待以久的
00:18:23:16 00:18:26:05 我在你們為Machindranath(M是一位霎哈嘉瑜伽士的嬰孩) 
00:18:26:05 00:18:29:19 慶祝生日的那天到達
00:18:30:17 00:18:40:19 對你們所有人來說
00:18:41:01 00:18:47:09 他今天完成人生的第一年是非常吉祥的
00:18:56:16 00:19:00:19 我用這些花朵，
00:19:00:19 00:19:04:05 這些精選的花朵來祝福他
00:19:04:05 00:19:08:02 希望漂亮和祝福降臨他身上，他的家庭
00:19:08:17 00:19:11:01 所有與他有關連的人和他們的家庭
00:19:19:10 00:19:24:02 有太多的第一次
00:19:24:02 00:19:29:10 我可以說，我第一次來到維也納
00:19:29:16 00:19:31:10 來到奧地利
00:19:32:12 00:19:40:04 第一次參加孩子的生日，
00:19:40:10 00:19:42:24 他的第一年生日
00:19:46:10 00:19:49:01 在Ashtami，即今天
00:19:49:01 00:19:51:13 是月盈的第八天
00:19:52:02 00:19:57:21 月亮正在增長，shuklapakshi 
00:19:58:24 00:20:04:19 第一次，我們敬拜女神的
00:20:05:11 00:20:07:11 所有武器
00:20:11:19 00:20:16:02 這是非常偉大的念頭
00:20:16:02 00:20:20:08 因為它們每時每刻都在工作
00:20:23:08 00:20:26:08 不單殺掉邪惡的，
00:20:26:08 00:20:28:16 也保護善良的
00:20:30:16 00:20:33:05 我們從未敬拜過這些武器
00:20:33:14 00:20:35:16 今天
00:20:35:24 00:20:38:07 若人類意識到
00:20:38:13 00:20:41:04 它們的重要和意義
00:20:45:07 00:20:48:24 很多原子彈的問題
00:20:48:24 00:20:52:04 和其他問題
00:20:53:13 00:20:55:10 便可以因為把它們導向
00:20:55:10 00:20:57:07 正確的方向而獲得解決
00:20:57:23 00:21:01:06 它們亦可以被用來摧毀
00:21:01:17 00:21:08:01 邪魔的力量，而不是摧毀善良的
00:21:14:12 00:21:17:15 也可以運用它們來保護
00:21:17:15 00:21:19:20 和滋潤人類
00:21:25:07 00:21:28:20 同樣的武器可以用於錯誤的用途
00:21:29:13 00:21:31:07 但若能正確運用
00:21:33:15 00:21:41:10 則可以被奉獻用於神的工作
00:21:44:04 00:21:46:23 所有人類創造的
00:21:51:09 00:21:53:23 外面好像是
00:21:55:20 00:22:01:09 專供毀滅的工具
00:22:02:14 00:22:06:17 若人類運用他們的智慧
00:22:08:12 00:22:10:15 會發現
00:22:11:04 00:22:16:10 這些發明
00:22:17:15 00:22:23:13 這些受無意識啟發而發明的工具，
00:22:24:07 00:22:27:14 都是為了神的工作而創造的
00:22:28:15 00:22:30:17 所有科學的研究
00:22:30:24 00:22:33:04 所有這些工作
00:22:33:18 00:22:36:15 所有你製造的工具
00:22:37:07 00:22:40:04 都是為神能使用而出現
00:22:41:02 00:22:43:01 我們可以說，
00:22:43:01 00:22:46:22 人類的任務是去
00:22:48:16 00:22:54:04 創造方法，藉由工具，
00:22:57:07 00:23:03:02 社交，經濟，政治機構
00:23:07:16 00:23:12:24 提升神的工作的機制
00:23:14:14 00:23:17:14 無意識是藉由人類運作
00:23:19:14 00:23:22:06 所有這些機構
00:23:22:14 00:23:24:20 若它們是向著正確方向
00:23:27:04 00:23:33:05 而不是地獄的方向
00:23:36:03 00:23:39:14 全都可以團結一致
00:23:42:15 00:23:46:15 去完成上天的工作
00:23:49:05 00:23:56:00 就如在東方，人們相信
00:23:56:17 00:24:01:10 人類漂亮的軀體是神創造的
00:24:01:22 00:24:04:14 而人類要做的
00:24:05:14 00:24:14:03 只是創造漂亮的，充滿美感的衣服
00:24:14:14 00:24:16:15 增添神創造的美麗
00:24:16:15 00:24:20:04 榮耀神創造的美麗
00:24:22:11 00:24:26:08 尊重神創造的美麗
00:24:30:06 00:24:33:08 這些事情
00:24:34:08 00:24:37:17 在很多生命的領域，
00:24:37:17 00:24:40:22 很多人類的活動裡都在發生
00:24:41:08 00:24:43:17 若他們能好好地運用他們的智慧
00:24:50:14 00:24:54:17 我之前曾經
00:24:56:16 00:24:58:20 討論過的知識
00:24:59:02 00:25:01:19 要理解知識是非常重要的
00:25:04:06 00:25:07:08 這些知識曾經被禁止，
00:25:07:08 00:25:10:10 就如亞當和夏娃
00:25:11:02 00:25:14:13 要人類理解他們是一個大問題
00:25:16:05 00:25:19:12 是這樣的，
00:25:19:12 00:25:23:09 當神創造人類
00:25:25:01 00:25:28:09 因為上天的存有是完美的
00:25:31:04 00:25:32:12 祂想看看
00:25:32:12 00:25:35:01 這些人類可否
00:25:35:13 00:25:40:09 在數量，在意識，
00:25:40:21 00:25:42:20 在純真都成長
00:25:45:23 00:25:50:20 他們能否變得有自覺
00:25:53:20 00:25:56:23 這是一個實驗
00:25:57:20 00:26:01:01 那時候的人類在這實驗中令神很失望
00:26:01:23 00:26:06:01 因為他們聽信了卑劣的
00:26:06:07 00:26:07:05 慫恿和提示
00:26:16:15 00:26:18:20 因此他們失敗了，
00:26:19:02 00:26:21:02 失去了純真
00:26:21:04 00:26:28:18 失去純真是人類犯的
00:26:29:20 00:26:32:01 第一個罪過(sin)
00:26:32:10 00:26:36:23 這罪過
00:26:39:04 00:26:40:23 令人類轉向
00:26:41:12 00:26:45:01 現在，這不是真正的知識
00:26:45:01 00:26:47:16 不是我在說的知識
00:26:47:16 00:26:51:12 是avidya(無明)，是假知識
00:26:51:12 00:26:54:07 那種「我是某某」
00:26:54:21 00:27:00:18 還有「我是作事者」，全是自我(ego)
00:27:02:17 00:27:06:07 在畜性的階段，是沒有自我的
00:27:06:13 00:27:09:18 自我開始生長
00:27:09:18 00:27:12:12 我們可以說
00:27:12:12 00:27:14:04 這是原罪的開始
00:27:14:04 00:27:16:07 即是「我是某某
00:27:16:07 00:27:18:07 我正在做著某些事情
00:27:18:07 00:27:21:04 只有我才能做到。」真的嗎？
00:27:21:04 00:27:22:08 神便會說︰
00:27:22:08 00:27:25:20 「讓我看看，讓我看看他們這點小小的勇氣
00:27:27:01 00:27:29:00 就讓他們自己決定吧。」
00:27:29:23 00:27:31:23 原本的計劃改變了
00:27:32:19 00:27:36:08 有人想，需要有
00:27:36:14 00:27:39:05 降世神祇降臨地球
00:27:39:17 00:27:42:08 幫助這些人，指引這些人
00:27:42:08 00:27:44:20 令他們平衡
00:27:45:15 00:27:49:08 令他們對正法有正確的理解
00:27:50:11 00:27:56:03 那麽他們才能保持平衡
00:27:56:13 00:28:01:18 但這個「我」每一次都不接受平衡
00:28:03:03 00:28:09:04 這個「我」仍然遠離實相
00:28:10:13 00:28:15:07 今天也一樣。當我們來到霎哈嘉瑜伽
00:28:16:01 00:28:17:18 我看到他們不能
00:28:18:07 00:28:20:13 很快的成長
00:28:20:13 00:28:24:04 因為這個「我」，他們有質疑
00:28:25:01 00:28:28:24 有疑惑，有問題
00:28:29:10 00:28:31:15 因為原罪
00:28:32:21 00:28:36:15 人們不能很快的成長
00:28:37:23 00:28:41:07 這個︰「我是那一位，我是自由的
00:28:41:19 00:28:44:18 為甚麽會這樣？為甚麽會那樣？」
00:28:45:08 00:28:47:21 你是誰去提問？
00:28:48:02 00:28:49:16 是誰製造你？
00:28:49:16 00:28:52:01 你是否自己製造自己？
00:28:52:01 00:28:54:21 你做了些甚麽成為人類？
00:28:54:21 00:28:59:05 為甚麽你對神會有這種我執的行為
00:28:59:16 00:29:02:01 「神為甚麽創造我們，為甚麽？」
00:29:02:01 00:29:04:18 你是誰，竟去問甚麽？
00:29:05:21 00:29:08:15 事情就是這樣，這種質問繼續
00:29:08:15 00:29:10:15 這類人是非常危險的
00:29:11:04 00:29:12:18 對霎哈嘉瑜伽來說
00:29:13:20 00:29:19:07 若他們來參加崇拜，我有點擔心
00:29:19:18 00:29:22:07 擔心的不是有甚麽會發生在崇拜裏
00:29:22:07 00:29:25:06 而是我們可能會失去他們
00:29:25:06 00:29:28:20 這種自我、愚蠢的人會迷失
00:29:28:20 00:29:33:03 作為母親，我對他們只是單純的慈悲和愛心
00:29:34:03 00:29:38:22 我感到很傷感，他們本可以得救的
00:29:39:04 00:29:41:14 但他們這些充滿疑惑的思緒
00:29:41:14 00:29:43:11 卻把他們淹死
00:29:43:20 00:29:45:14 這就是人類自己創造的
00:29:45:14 00:29:48:06 最基本的原罪
00:29:48:18 00:29:50:09 除此之外
00:29:50:15 00:29:53:14 我們的問題是
00:29:53:20 00:29:56:06 是從畜牲的階段到現在這階段
00:29:56:14 00:30:03:11 內在仍然擁有畜牲野蠻的制約
00:30:04:18 00:30:08:06 我們也經歷其他制約
00:30:08:14 00:30:13:15 在歷史上
00:30:13:22 00:30:16:03 它們也是同一個「我先生」創造的
00:30:16:17 00:30:18:15 是「我先生」開創了機構
00:30:19:18 00:30:22:06 組織了宗教
00:30:22:12 00:30:24:22 以基督教為例
00:30:25:20 00:30:28:12 基督來是要打破你們的自我
00:30:28:22 00:30:32:11 但相反，人們卻建立一個大自我
00:30:32:18 00:30:35:10 現在，有些霎哈嘉瑜伽士
00:30:35:16 00:30:37:10 相信
00:30:37:19 00:30:40:02 霎哈嘉瑜伽是基督教霎哈嘉瑜伽，
00:30:40:02 00:30:42:01 或是印度教霎哈嘉瑜伽
00:30:42:08 00:30:46:08 這種情況持續著，延續著
00:30:46:21 00:30:49:05 這是基督教霎哈嘉瑜伽
00:30:49:05 00:30:52:01 對基督徒，這必須是基督教霎哈嘉瑜伽
00:30:52:16 00:30:55:13 對印度教徒，這必須是印度教霎哈嘉瑜伽
00:30:56:16 00:30:59:02 對穆斯林，這是伊斯蘭教霎哈嘉瑜伽
00:30:59:08 00:31:00:16 它必須與伊斯蘭有關連
00:31:00:16 00:31:02:22 他們不能擺脫自己的制約
00:31:03:04 00:31:04:13 任何事物，必須與他們的宗教有聯繫
00:31:04:19 00:31:06:18 也必須能以他們的宗教來解釋
00:31:06:18 00:31:08:22 他們不能抽身，你看到嗎？ 
00:31:09:04 00:31:11:10 它也可能是天主教霎哈嘉瑜伽
00:31:11:10 00:31:13:10 或是新教徒霎哈嘉瑜伽
00:31:13:10 00:31:16:01 或甚至比這些更加深入的
00:31:16:01 00:31:18:01 就像這樣，你看，情況持續
00:31:18:01 00:31:19:23 你把霎哈嘉瑜伽推向
00:31:19:23 00:31:21:12 你自己的類別
00:31:21:12 00:31:24:02 你自己狹隘的喜好裏
00:31:24:16 00:31:26:22 但霎哈嘉瑜伽卻是相反的
00:31:26:22 00:31:31:04 它是海洋，是普世的
00:31:31:04 00:31:32:18 是偉大的瑜伽
00:31:32:24 00:31:35:08 它不單是為基督徒，印度教徒，穆斯林
00:31:35:08 00:31:39:23 也為了所有人類而存在
00:31:41:01 00:31:43:16 有沒有動物是基督徒
00:31:43:16 00:31:45:15 印度教徒或穆斯林？
00:31:45:21 00:31:48:15 這些想法全都只是源自原罪
00:31:48:21 00:31:51:01 我們是某某，我們是基督徒
00:31:51:01 00:31:53:08 我們是印度教徒，我們是穆斯林
00:31:53:08 00:31:56:02 在霎哈嘉瑜伽，我們必須明白
00:31:56:02 00:31:59:12 所有河流，無論恆河
00:32:00:01 00:32:01:19 亞穆納河
00:32:02:04 00:32:03:23 泰晤士河
00:32:04:04 00:32:06:01 多瑙河，任何河流
00:32:06:07 00:32:09:24 都是流向同一個海洋，最終變成海洋
00:32:10:15 00:32:12:11 他們說，當所有的河流
00:32:12:11 00:32:14:05 流入恆河
