00:00:35:12 00:00:37:22 靈將我們整合 ＂奧地利維也納
00:00:55:04 00:01:05:12 第四次公開講座 1982年9月30日
00:03:30:10 00:03:35:16 我向所有追求真理的人致敬
00:03:40:16 00:03:42:14 在之前的講座
00:03:43:05 00:03:47:03 我告訴了你們
00:03:47:19 00:03:54:22 位於下半身的能量中心
00:03:59:23 00:04:04:06 今天我想講述其餘三個
00:04:05:06 00:04:11:07 在這兒、這兒和這兒的能量中心
00:04:14:19 00:04:20:21 這些能量中心對人類都很重要
00:04:22:03 00:04:28:06 當人類抬起頭
00:04:28:19 00:04:33:19 這個被稱為喉輪的能量中心
00:04:39:11 00:04:43:18 建立了一個新的空間向度
00:04:45:00 00:04:48:08 它有十六塊花瓣
00:04:51:11 00:04:53:20 彰顯在我們的交感神經
00:04:54:04 00:04:55:17 和副交感神經系統
00:04:56:03 00:04:59:15 十六個神經叢
00:05:03:16 00:05:08:22 照顧我們的眼睛、鼻子、喉嚨
00:05:12:19 00:05:15:14 和舌頭
00:05:16:14 00:05:18:20 我們的眼睛、部分眼睛
00:05:21:01 00:05:25:03 和整個面部的表情
00:05:25:19 00:05:31:03 當人是自我取向，他會像這樣仰起頭
00:05:34:21 00:05:36:23 當他是超我取向
00:05:37:12 00:05:41:10 他就會像這樣垂下頭
00:05:43:19 00:05:47:22 這個能量中心對人類
00:05:48:07 00:05:50:22 對霎哈嘉瑜伽都是極之重要
00:05:54:06 00:05:58:22 因為雙手在霎哈嘉瑜伽扮演著重大的角色
00:06:01:05 00:06:04:09 用手來表達是宇宙的語言
00:06:04:09 00:06:07:23 這種表達方法是最好的。就如盲人
00:06:08:06 00:06:11:02 聾啞的人，對他們來說
00:06:11:12 00:06:14:16 最好用雙手
00:06:21:11 00:06:25:02 雖然我們移動
00:06:25:13 00:06:31:22 手指和用手勢來表達自己，但我們的雙手卻仍未得到啟發
00:06:37:18 00:06:40:07 當這個能量中心獲得啟發
00:06:41:03 00:06:46:15 我們的雙手也受到啟發
00:06:49:23 00:06:51:12 這個能量中心有兩邊
00:06:51:21 00:06:55:15 一是在右，一是在左
00:06:58:08 00:07:05:13 當人感到內疚，左邊的能量中心便會有阻塞
00:07:08:22 00:07:13:06 阻礙靈量的上昇
00:07:15:03 00:07:18:12 因此我經常要求西方的求道者
00:07:18:23 00:07:26:17 先在心裡說：「母親，我並無內疚感。」
00:07:30:18 00:07:36:08 我們這些思想制約，是來自
00:07:37:18 00:07:40:05 所謂的宗教
00:07:40:19 00:07:43:13 所謂心理學家
00:07:44:05 00:07:47:06 和一些我們年幼時
00:07:47:14 00:07:50:05 照顧我們的人
00:07:53:23 00:07:57:23 當父母對物質性的東西很着緊
00:08:02:15 00:08:05:21 時常向孩子大叫或糾正他們，說：
00:08:06:06 00:08:08:09 「別弄髒毯子，別弄髒這個
00:08:08:21 00:08:12:21 別弄髒那個。」
00:08:16:22 00:08:23:11 內疚感就是這樣在我們心裡形成
00:08:25:05 00:08:28:03 當我們在學校，在大學成長
00:08:28:12 00:08:33:14 這種內疚感可以很牢固地在我們內裡形成
00:08:39:03 00:08:42:01 要以極大的愛心和
00:08:42:13 00:08:46:04 諒解去教育孩子
00:08:48:05 00:08:52:24 一般人都有這種想法，特別是那些
00:08:53:08 00:08:59:08 奉行要用洗腦的方法
00:09:00:00 00:09:03:20 去管教孩子的人
00:09:06:22 00:09:10:14 但這種洗腦的方法卻會令孩子
00:09:11:11 00:09:12:04 有內疚這種滑稽可笑的毛病
00:09:18:23 00:09:22:18 同樣，討論內疚
00:09:22:24 00:09:29:15 這個題目的心理學家，並不了解
00:09:29:24 00:09:33:22 這種討論的後果
00:09:39:11 00:09:45:05 當這些心理學家談內疚
00:09:46:06 00:09:49:15 他們不知道這些是病理性的個案
00:09:50:01 00:09:53:00 這是不正常的，這是不正常的個案
00:09:53:11 00:09:55:23 當你開始概括地談論這些不正常的個案
00:09:56:09 00:10:01:09 它便變成一般的疾病
00:10:13:02 00:10:15:24 他們與被邪靈附體的病人
00:10:16:10 00:10:19:07 一起工作，卻沒有任何
00:10:19:16 00:10:21:22 保護自己的措施
00:10:22:08 00:10:27:22 這就是他們染病的原因
00:10:33:18 00:10:37:04 一旦他們染上這種疾病
00:10:37:14 00:10:42:12 藉着說︰人發展內疚感，這是源自內疚感
00:10:42:23 00:10:45:13 那是源自內疚感
00:10:45:21 00:10:49:02 他們藉此更大範圍的去擴散這種疾病
00:10:55:05 00:11:00:05 神以自己的形象來創造人類
00:11:04:05 00:11:07:14 人類是不用無緣無故
00:11:07:20 00:11:10:23 感到內疚
00:11:12:21 00:11:15:20 若俗世人類的法官不能
00:11:16:04 00:11:20:09 判你有罪，那位充滿慈悲的法官
00:11:20:18 00:11:25:09 又怎會判你有罪？
00:11:33:03 00:11:36:10 你由亞米巴原蟲進化到這個階段
00:11:39:10 00:11:43:05 神創造你為
00:11:43:22 00:11:47:20 整個創造的縮影
00:11:48:08 00:11:53:15 你竟然在這個階段感到內疚
00:11:55:04 00:12:00:21 當祂想你在這偉大的時刻
00:12:01:09 00:12:05:10 裝飾你的靈的寶座，你卻變得內疚 
00:12:06:03 00:12:08:14 這是非常令人失望
00:12:08:14 00:12:12:22 整件事都極之令人失望
00:12:21:16 00:12:26:06 你內在的進化，
00:12:26:20 00:12:32:06 不是要令你內疚
00:12:34:21 00:12:38:15 就如王子將要被加冕
00:12:39:04 00:12:41:16 成為國王，王子卻突然停下來說：
00:12:41:23 00:12:47:15 「噢，我有罪，我不能成為國王。」
00:12:51:14 00:12:56:06 自憐比自殺更差勁
00:13:01:02 00:13:08:11 右脈的問題與左脈的剛剛相反
00:13:13:21 00:13:20:04 這類人說話充滿侵略性
00:13:21:23 00:13:25:15 他的個性品格是既用說話
00:13:25:24 00:13:31:05 來打動人又用說話來奚落人
00:13:32:03 00:13:38:17 因此這類人形成很刻薄和枯燥乏味的個性
00:13:40:22 00:13:44:00 有一個牙醫來見我。他是牙醫
00:13:44:09 00:13:47:12 他告訴我：「母親，我失去笑的能力
00:13:48:00 00:13:49:01 我現在不能笑
00:13:49:17 00:13:56:09 我的肌肉根本沒有心情笑
00:14:03:01 00:14:07:21 我變得毫無情感，我不能笑亦不能哭。」
00:14:12:24 00:14:16:19 他因此去見一些聖人，所謂的聖人，聖人說：
00:14:17:03 00:14:21:12 「噢，你現在已經超越一切。」
00:14:25:11 00:14:29:14 我們對靈性上很偉大的人
00:14:29:21 00:14:33:24 就是有這種誤解
00:14:38:02 00:14:43:07 這些偉大的人理應是慈悲的海洋
00:14:45:07 00:14:51:11 愛的海洋和寬恕的海洋
00:14:53:03 00:14:54:14 除此之外
