00:01:29:11 00:01:32:04 今天非常高兴的看到
00:01:33:01 00:01:36:00 你们既为我庆祝生日
00:01:36:09 00:01:40:20 亦举行
00:01:42:22 00:01:46:02 全国性的活动
00:01:46:11 00:01:50:02 在三月，这是个很好的组合
00:01:51:13 00:01:55:15 三月印度是春天-Madhumas
00:01:56:01 00:01:58:23 即是你们所唱的 Madhumas
00:02:01:08 00:02:05:00 你们都知道，三月二十一日是春分
00:02:09:01 00:02:11:24 是平衡的意思
00:02:15:02 00:02:19:22 在星象学里
00:02:21:20 00:02:24:24 是所有星座的中心
00:02:25:11 00:02:28:21 有那么多能量中心我要成就达成
00:02:29:12 00:02:35:03 我是出生在
00:02:37:10 00:02:39:13 北回归线
00:02:39:23 00:02:45:06 而你们则出生在南回归线
00:02:45:24 00:02:51:00 艾尔斯岩(Ayers Rock)亦在南回归线上
00:02:51:07 00:02:53:14 正好在中央
00:02:55:01 00:02:58:21 很多组合要去成就达成
00:03:01:14 00:03:07:17 升进的基本原则
00:03:08:00 00:03:09:09 是要在中央
00:03:09:16 00:03:11:08 要平衡
00:03:11:17 00:03:13:20 要在中央的分际(maryadas)
00:03:14:02 00:03:18:02 要在中央的范围是基本的原则
00:03:19:08 00:03:22:21 如果我们不保持在范围内
00:03:23:04 00:03:25:21 在分际内，有什么会发生？
00:03:28:07 00:03:31:01 我们会受感染
00:03:31:12 00:03:35:10 若能持守分际，我们便不会受感染
00:03:35:19 00:03:38:14 很多人说：「为什么要有分际？」
00:03:38:24 00:03:40:21 就如我们有分际
00:03:41:03 00:03:46:02 在这美丽的灵舍的范围里
00:03:48:05 00:03:53:03 若有人从四面八方攻击你
00:03:53:12 00:03:56:13 从幻海的各方攻击你
00:03:57:10 00:04:01:23 一旦你走出幻海，便会受感染
00:04:04:06 00:04:07:11 因此你要保持在范围内
00:04:08:05 00:04:13:02 但若你有两个毛病
00:04:13:08 00:04:14:15 一是自我，一是超我
00:04:14:22 00:04:18:11 那么要保持在范围内就很困难了
00:04:19:21 00:04:23:24 在西方，超我还不算是问题
00:04:24:09 00:04:26:18 自我才是问题。自我现在
00:04:27:01 00:04:28:12 有非常精微的含意
00:04:28:19 00:04:32:18 我看到你们有复杂的自我
00:04:33:22 00:04:36:22 一是粗糙的
00:04:37:08 00:04:39:12 像霍梅尼(Khomeini)般，那是枯燥的
00:04:39:21 00:04:43:22 明显易见的，每个人都能谴责它
00:04:44:24 00:04:49:19 这种情况
00:04:51:18 00:04:55:17 要么纠正它，要么让它完全灭亡
00:04:58:01 00:05:03:06 这个自我，若在愚蠢人身上
00:05:07:12 00:05:11:02 他是不懂
00:05:11:11 00:05:14:05 怎样老练世故地
00:05:14:12 00:05:18:17 把它收藏起来，自我便会表现出来
00:05:19:01 00:05:21:24 但西方的自我却是非常老练成熟的
00:05:22:06 00:05:26:08 无论是语言或一切都非常老练
00:05:27:21 00:05:29:15 像我们会用英文说：
00:05:29:22 00:05:33:07 我恐怕要掌掴你
00:05:37:08 00:05:41:04 很抱歉我要杀掉你
00:05:43:07 00:05:45:00 就是这么不坦诚率直
00:05:45:07 00:05:47:00 你看，当你说：「很抱歉」
00:05:47:08 00:05:48:17 就等于在上面
00:05:48:23 00:05:51:08 放巧克力，对吗？
00:05:51:16 00:05:54:02 我们要知道这是伪善
00:05:54:11 00:05:56:02 我们要面对自己
00:05:56:09 00:05:59:07 不是面对其他
00:05:59:17 00:06:02:05 我们逃避面对自己
00:06:02:12 00:06:06:06 这正是老于世故的表现
00:06:08:09 00:06:12:13 今天是庆祝的日子
00:06:12:23 00:06:14:20 我们要以幽默的态度
00:06:15:03 00:06:18:02 来了解这个叫自我的笨蛋
00:06:18:12 00:06:20:07 要采取幽默的态度是而不是严肃的态度
00:06:20:15 00:06:23:00 因为我不想你们再感到内疚
00:06:26:14 00:06:31:00 我今早阐述了
00:06:31:12 00:06:34:24 自我怎会变成左喉轮
00:06:35:08 00:06:38:17 我是说即使在我进场前
00:06:39:00 00:06:43:14 当我放注意力在会场，我这儿会肿起一大块
00:06:44:02 00:06:47:00 很痛苦，很可怕，极难受
00:06:47:06 00:06:48:13 从我来西方开始
00:06:48:20 00:06:50:18 肿块从未消退过，你能想象吗？
00:06:51:00 00:06:52:18 肿块从未消退
00:06:53:02 00:06:55:02 因此这轮穴要每时每刻都在工作
00:06:55:09 00:06:59:15 这个可怜的家伙已经疲惫不堪--Vishnumaya(毗湿奴摩耶)轮穴
00:07:01:09 00:07:02:16 实际发生了什么
00:07:02:24 00:07:04:09 我们应该看看它的生理方面
00:07:04:16 00:07:06:18 了解它是非常重要的
00:07:07:00 00:07:10:04 从小开始，如果我们
00:07:10:12 00:07:13:19 在这样的社会受教育︰你要外向
00:07:14:03 00:07:15:08 要有成就
00:07:15:15 00:07:17:06 要取得成功等等
00:07:17:13 00:07:21:03 你被灌输了这种强者的概念
00:07:21:15 00:07:25:15 容忍是被视为软弱
00:07:25:24 00:07:29:06 试想像在基督教国家，最精彩的是：
00:07:29:13 00:07:31:11 「很抱歉我要杀掉你」或类似的言行举止
00:07:31:20 00:07:35:02 在基督教国家，他们的理论是：
00:07:35:10 00:07:41:06 容忍是软弱
00:07:42:10 00:07:47:06 受人操控是弱点
00:07:47:20 00:07:51:13 如果你是这样，永远都不会成功
00:07:51:23 00:07:53:19 除非有鬼附着你
00:07:54:03 00:07:57:05 否则你不会服从
00:07:57:24 00:07:59:02 就是如此
00:07:59:10 00:08:01:00 要有人附着你
00:08:01:08 00:08:04:12 完全附着你，像希特勒
00:08:04:22 00:08:06:20 那么你才会服从
00:08:07:03 00:08:09:10 否则每一个人的自我都很大
00:08:09:17 00:08:13:03 就如我告诉过你一个倒垃圾工人的故事
00:08:13:15 00:08:15:24 每个人都有很大，很大的自我
00:08:16:07 00:08:19:23 每个人都想用自己的方法
00:08:20:15 00:08:25:04 你们在孩子还小时就已经太纵容他们
00:08:25:13 00:08:27:16 你们纵容他们，把他们宠坏
00:08:27:24 00:08:30:04 你们时常拥抱他们，抱着他们
00:08:30:10 00:08:34:06 做得太过分了，孩子因此被宠坏
00:08:35:01 00:08:37:01 他们自以为是，更甚的是
00:08:37:08 00:08:40:22 如果你告诉他们，不要容忍任何事情
00:08:41:07 00:08:44:00 他们便会变得不服从
00:08:44:10 00:08:47:19 你因此不懂怎样服从他人
00:08:48:01 00:08:50:16 自我不懂怎样服从，因为这是缺点，
00:08:51:00 00:08:54:08 服从是缺点
00:08:55:21 00:09:02:19 这个可怜的自我是局限的，局限的家伙
00:09:03:03 00:09:08:06 自我像一个汽球，那是局限的
00:09:08:14 00:09:10:23 当它爆破，你便会瘫痪或
00:09:11:04 00:09:12:18 出类似的毛病
00:09:13:01 00:09:16:10 但它同时也是有弹性的
00:09:16:16 00:09:22:13 当自我在超我之上膨胀得太多
00:09:22:22 00:09:28:03 超我可以
00:09:28:24 00:09:32:23 到达某一限度，它仍然存在
00:09:38:06 00:09:41:19 为了摆脱自我，人们酗酒
00:09:42:03 00:09:44:13 吸毒，只为令自我减退
00:09:44:20 00:09:50:14 增加超我来压制自我
00:09:50:23 00:09:54:18 你游走在两者之间，你生闷气
00:09:55:04 00:09:57:14 日复一日，解决了
00:09:57:23 00:10:02:17 这是人们对付自我所采用的现代方法，对吧
00:10:03:02 00:10:06:18 否则自我会太大
00:10:07:09 00:10:11:05 当某人对你说了某些话
00:10:12:06 00:10:14:07 你不单没有面对它 
00:10:14:15 00:10:18:08 你发觉自己不能…例如
00:10:18:17 00:10:23:02 为我找个杯子，简单如这样的事情，接受它吧
00:10:23:23 00:10:28:01 你却生闷气，为什么？为什么你要生闷气？
00:10:28:11 00:10:30:08 因为当你消气了
00:10:30:16 00:10:35:07 自我可以走往另一处地方
00:10:35:19 00:10:39:05 你看这里，它在喉轮交叉
00:10:39:13 00:10:41:20 当自我在另一面被压迫
00:10:42:03 00:10:44:19 它便会走往喉轮
00:10:45:03 00:10:49:14 那么，你的左喉轮便会有阻塞
00:10:50:13 00:10:54:00 那纯粹是自我。相信我吧，纯粹是自我
00:10:54:09 00:10:58:01 因为它没处走，便走往那里
00:11:02:03 00:11:05:06 这就是为何你又生气又思考
00:11:05:13 00:11:08:00 思考令你的自我更大
00:11:08:08 00:11:13:05 把你的左脉充满了，你只是生气，不肯去面对
00:11:17:21 00:11:19:13 巩固中脉
00:11:19:21 00:11:25:15 最务实的途径就是在实相中
00:11:27:19 00:11:30:06 你要养成习惯：
00:11:30:14 00:11:33:15 假设某些事情出错
00:11:33:24 00:11:36:08 告诉自己：「是的，出错了
00:11:36:16 00:11:38:00 因为我犯错
00:11:38:07 00:11:39:19 好吧，为什么我会犯错？
00:11:40:02 00:11:42:24 因为这样那样，下次不要再犯了
00:11:43:14 00:11:45:08 这样做轻易而举，你逃避一切
00:11:45:17 00:11:49:16 就这样，享受你的自我，感到悲伤
00:11:49:24 00:11:52:08 这是种纵容放纵
00:11:52:17 00:11:54:16 其他人也感到：
00:11:54:22 00:11:58:06 「噢﹗他感到『很抱歉我杀掉你。』
00:11:59:04 00:12:01:11 他为此而内疚
00:12:01:23 00:12:04:06 没错，我见过这种情况
00:12:04:12 00:12:06:16 西方人的脑袋
00:12:06:24 00:12:10:20 走向太极端，竟然有些法例原谅一些
00:12:11:01 00:12:13:05 不该原谅的人
00:12:13:15 00:12:15:06 因为沉迷于左脉的
00:12:15:13 00:12:17:11 这个荒唐的
00:12:17:20 00:12:20:23 左喉轮
00:12:21:05 00:12:24:02 他们试着原谅同情
00:12:24:13 00:12:26:18 一些不该原谅的人
00:12:27:02 00:12:30:24 就如有个家伙杀了很多人
00:12:31:06 00:12:32:24 他把很多人放进毒气室杀掉，做了很多类似的事情
00:12:33:06 00:12:34:22 现在他被拘捕了，他是个累赘
00:12:35:06 00:12:37:08 很大的累赘，因为他是囚犯
00:12:37:15 00:12:39:19 所以他们要很严密的把
00:12:40:02 00:12:40:24 一切都封闭来监管他
00:12:41:05 00:12:42:14 对英国人来说
00:12:42:21 00:12:45:00 供养这头狗是很困难的
00:12:45:08 00:12:47:01 但他们却要供养这个囚犯
00:12:47:07 00:12:49:23 我忘了他的名字，总之是个可怕的家伙
00:12:50:04 00:12:52:05 他现在老了
00:12:52:13 00:12:54:12 让他死在那里吧，他有什么值得怜悯同情？
00:12:54:19 00:12:58:10 把他上吊就完了。他杀了那么多人
00:12:58:20 00:13:00:13 不，你们怎能这么做 
00:13:00:23 00:13:02:18 虽然他花掉我们那么多钱
00:13:03:00 00:13:06:03 虽然他在毒气室内
00:13:06:12 00:13:08:21 杀了数以千计的人
00:13:09:04 00:13:11:06 我们仍然必须供养这头狗
00:13:11:15 00:13:15:09 对这种可怕的家伙不应有任何怜悯同情
00:13:15:18 00:13:19:11 上天的律法是应该实时把他了结
00:13:19:23 00:13:21:12 他在随时日消散
00:13:21:22 00:13:25:02 即使到今天，我还读到同情他的文章
00:13:25:10 00:13:29:12 他还能做什么错事？为何不放过他？
00:13:31:05 00:13:33:12 这就是可怕的人
00:13:33:21 00:13:38:03 怎样透过左喉轮玩弄误导你，此其一
00:13:38:21 00:13:41:18 左喉轮纯粹是自我
00:13:42:01 00:13:45:14 你像这样垂下头，
00:13:45:22 00:13:48:09 像这样走路
00:13:49:02 00:13:51:19 虽然左喉轮令你产生
00:13:52:02 00:13:55:05 很多很多生理毛病
00:13:55:22 00:13:59:17 但最差劲的要算是疯癫
00:14:00:03 00:14:02:00 那天有人告诉我
00:14:02:09 00:14:06:00 在美国，四十岁的人
00:14:06:09 00:14:09:19 会突然变得疯癫
00:14:11:20 00:14:14:03 那是很严重的疾病
00:14:14:10 00:14:18:06 就像他们那个可怕的
00:14:18:23 00:14:21:08 叫作艾滋病的疾病
00:14:21:17 00:14:24:19 就那样传播开去
00:14:25:05 00:14:27:20 作为你的母亲，我要清楚的告诉你
00:14:28:03 00:14:34:09 是可怕的左喉轮在玩游戏
00:14:36:11 00:14:38:08 不要沉迷下去
00:14:38:15 00:14:41:04 如果你有自我，就是左喉轮
00:14:41:11 00:14:42:14 面对自己吧
00:14:42:21 00:14:47:13 像今天华伦来告诉我他的想法：
00:14:47:20 00:14:50:08 无论我们到印度任何地方，无论我们建议什么
00:14:50:17 00:14:54:01 人们第一个反应都是『不、不』
00:14:54:11 00:14:56:01 其实那「不、不」
00:14:56:10 00:14:58:05 是因为我们在不同的环境下成长
00:14:58:15 00:15:00:08 面对它吧，我们就是这样成长
00:15:00:15 00:15:03:05 因此印度人从来没有内疚感
00:15:03:15 00:15:06:23 如果任何印度人有内疚感，他一定是西化了
00:15:07:10 00:15:08:09 他们从来没有内疚感
00:15:08:17 00:15:12:22 当他们对任何事说「不」
00:15:13:13 00:15:15:22 百分之九十九---不是城市人
00:15:16:05 00:15:18:02 他们与这里的人是同一模式
00:15:18:10 00:15:22:21 因为他们得到你好好祝福---而是乡村的人
00:15:23:06 00:15:24:09 你看他们告诉自己
00:15:24:16 00:15:25:22 不，不，我怎会这样做？
00:15:26:04 00:15:27:16 好吧，如果是我做的，我最好把它纠正
00:15:27:24 00:15:31:09 「不、不」，以「不、不」开始
00:15:32:11 00:15:34:07 西方人或许听过「不、不」
00:15:34:15 00:15:37:18 之后会想：「他在打击我的自我。」
00:15:38:10 00:15:41:17 因为自我仍然操控人
00:15:42:02 00:15:46:02 仍然认为他们是最佳的组织者
00:15:46:19 00:15:50:00 仍然认为他们比其他人清洁
00:15:50:07 00:15:52:14 比其他人高尚
00:15:52:21 00:15:55:13 自我就是这么想
00:15:55:21 00:16:00:04 抬高你使你活在顶峰
00:16:00:10 00:16:04:05 就像吹胀了的气球或环形物
00:16:04:13 00:16:07:03 你浮在表面
00:16:07:12 00:16:09:04 因此你不想让空气释放出来
00:16:09:12 00:16:12:22 因为你知道，这样你便会打回原形
00:16:13:12 00:16:15:06 就这样
00:16:15:16 00:16:18:06 你开始感到你对它认识多一点
00:16:18:14 00:16:21:24 任何人对你说了些话，你便感到受伤害
00:16:22:06 00:16:23:23 这是因为左喉轮
00:16:24:07 00:16:26:15 如果母亲说了一些话，再次源自左喉轮
00:16:26:22 00:16:31:09 你们在西方已为自己这里制造了一个小袋
00:16:31:18 00:16:34:00 我们要面对自己
00:16:34:09 00:16:38:02 这个袋就在这儿，我说的任何话
00:16:38:09 00:16:42:20 即使我现在说的话，你也不应感到内疚
00:16:43:08 00:16:45:20 让我们看看，不感到内疚
00:16:46:04 00:16:48:09 依靠你的灵去面对自己
00:16:48:16 00:16:49:21 你能洁净它
00:16:50:03 00:16:52:18 如果你从灵的角度来看，你能洁净
00:16:53:00 00:16:56:08 积压多年的毛病
00:16:57:00 00:17:00:14 我告诉你，西方现在的问题是左喉轮
00:17:01:00 00:17:03:15 所有这些问题都源自左喉轮
00:17:03:22 00:17:07:18 但并不代表它有所减轻缓和
00:17:07:24 00:17:11:02 相反左喉轮
00:17:11:24 00:17:16:04 随时会胀大成为自我
00:17:16:13 00:17:19:04 你要明白，我在西方常常见到这种情况
00:17:19:13 00:17:21:23 人们端正往前走，一切正常妥当
