00:01:29:11 00:01:32:04 今天非常高興的看到
00:01:33:01 00:01:36:00 你們既為我慶祝生日
00:01:36:09 00:01:40:20 亦舉行
00:01:42:22 00:01:46:02 全國性的活動
00:01:46:11 00:01:50:02 在三月，這是個很好的組合
00:01:51:13 00:01:55:15 三月印度是春天-Madhumas
00:01:56:01 00:01:58:23 即是你們所唱的 Madhumas
00:02:01:08 00:02:05:00 你們都知道，三月二十一日是春分
00:02:09:01 00:02:11:24 是平衡的意思
00:02:15:02 00:02:19:22 在星象學裡
00:02:21:20 00:02:24:24 是所有星座的中心
00:02:25:11 00:02:28:21 有那麽多能量中心我要成就達致
00:02:29:12 00:02:35:03 我是出生在
00:02:37:10 00:02:39:13 北回歸線
00:02:39:23 00:02:45:06 而你們則出生在南回歸線
00:02:45:24 00:02:51:00 艾爾斯岩(Ayers Rock)亦在南回歸線上
00:02:51:07 00:02:53:14 正正在中央
00:02:55:01 00:02:58:21 很多組合要去成就達致
00:03:01:14 00:03:07:17 昇進的基本原則
00:03:08:00 00:03:09:09 是要在中央
00:03:09:16 00:03:11:08 要平衡
00:03:11:17 00:03:13:20 要在中央的分際(maryadas)
00:03:14:02 00:03:18:02 要在中央的範圍是基本的原則
00:03:19:08 00:03:22:21 如果我們不保持在範圍內
00:03:23:04 00:03:25:21 在分際內，有什麽會發生？
00:03:28:07 00:03:31:01 我們會受感染
00:03:31:12 00:03:35:10 若能持守分際，我們便不會受感染
00:03:35:19 00:03:38:14 很多人說：「為什麼要有分際？」
00:03:38:24 00:03:40:21 就如我們有分際
00:03:41:03 00:03:46:02 在這美麗的靈舍的範圍裡
00:03:48:05 00:03:53:03 若有人從四面八方攻擊你
00:03:53:12 00:03:56:13 從幻海的各方攻擊你
00:03:57:10 00:04:01:23 一旦你走出幻海，便會受感染
00:04:04:06 00:04:07:11 因此你要保持在範圍內
00:04:08:05 00:04:13:02 但若你有兩個毛病
00:04:13:08 00:04:14:15 一是自我，一是超我
00:04:14:22 00:04:18:11 那麽要保持在範圍內就很困難了
00:04:19:21 00:04:23:24 在西方，超我還不算是問題
00:04:24:09 00:04:26:18 自我才是問題。自我現在
00:04:27:01 00:04:28:12 有非常精微的含意
00:04:28:19 00:04:32:18 我看到你們有複雜的自我
00:04:33:22 00:04:36:22 一是粗糙的
00:04:37:08 00:04:39:12 像霍梅尼(Khomeini)般，那是枯燥的
00:04:39:21 00:04:43:22 明顯易見，每個人都能譴責它
00:04:44:24 00:04:49:19 這種情況
00:04:51:18 00:04:55:17 要麽糾正它，要麽讓它完全滅亡
00:04:58:01 00:05:03:06 這個自我，若在愚蠢人身上
00:05:07:12 00:05:11:02 他是不懂
00:05:11:11 00:05:14:05 怎樣老練世故地
00:05:14:12 00:05:18:17 把它收藏起來，自我便會表現出來
00:05:19:01 00:05:21:24 但西方的自我卻是非常老練成熟的
00:05:22:06 00:05:26:08 無論是語言或一切都非常老練
00:05:27:21 00:05:29:15 像我們會用英文說：
00:05:29:22 00:05:33:07 我恐怕要掌摑你
00:05:37:08 00:05:41:04 很抱歉我要殺掉你
00:05:43:07 00:05:45:00 就是這麼不坦誠率直
00:05:45:07 00:05:47:00 你看，當你說：「很抱歉」
