00:00:29:01 00:00:31:18 有甚麽需要想我的過去？
00:00:32:07 00:00:34:12 在當下…
00:00:37:07 00:00:41:11 Om twamewa sakshat, Shri Nirmala Devyai namoh namaha.
00:00:43:00 00:00:46:00 這是最大的口訣，我告訴你
00:00:46:10 00:00:49:17 這是最大的口訣，試試吧
00:00:53:17 00:00:55:10 請再來一次
00:01:19:01 00:01:23:04 來吧，清洗我的雙腳，來吧，用雙手
00:01:32:04 00:01:37:17 用雙手
00:01:42:05 00:01:44:12 再次是兩個
00:01:45:20 00:01:48:24 快一點，洗吧
00:01:54:02 00:01:56:10 現在，另外三個
00:01:56:17 00:01:59:16 雙手，來吧，你們兩個
00:02:10:13 00:02:12:21 好，完成了
00:02:43:08 00:02:46:05 那些還未做的，來吧
00:03:11:13 00:03:14:16 現在小孩子來，上前來
00:03:16:00 00:03:20:04 從這一面來，來，來吧
00:03:33:15 00:03:36:06 用另一隻手
00:03:49:08 00:03:52:07 好吧，完成了
00:04:58:16 00:05:00:17 用雙手
00:05:01:02 00:05:03:15 現在唸誦英語口訣
00:05:14:02 00:05:18:05 好吧，另一組人，來吧，一個接一個
00:05:18:18 00:05:21:13 (用英語)
00:05:25:10 00:05:29:12 雙手…好，完成了
00:05:41:24 00:05:44:18 好，很好
00:06:07:00 00:06:10:24 請用雙手
00:06:51:20 00:06:55:14 用雙手擦，這很好，好吧
00:06:55:18 00:06:58:06 現在誰是下一個？還有人嗎？
00:07:02:20 00:07:06:21 現在他們後面，一個接一個
00:07:23:22 00:07:26:17 用力，用力擦
00:07:32:22 00:07:35:17 對，完成了
00:07:48:18 00:07:50:24 近一點
00:07:51:15 00:07:55:06 就是這個男孩，現在你洗
00:07:57:08 00:08:01:01 好，用另一隻手
00:08:06:05 00:08:10:18 願神祝福你們，很多信心
00:08:11:23 00:08:15:07 願神祝福你們，好
00:09:25:18 00:09:30:03 拿進來，他說甚麽，拿進來
00:09:35:09 00:09:39:02 你們全都在說它
00:13:23:18 00:13:27:13 現在你可能看到，格涅沙是鑰匙
00:13:27:21 00:13:31:22 基督是一切的鑰匙
00:13:32:06 00:13:34:24 祂是鑰匙，祂是一切的精粹
00:13:35:07 00:13:37:14 萬事萬物都是透過祂而成就
00:13:37:23 00:13:39:18 明白嗎，即使你來找我
00:13:40:01 00:13:42:04 也要透過祂
00:13:42:12 00:13:46:04 即是說純真必須在你內裡出生
00:13:46:13 00:13:47:20 你才能來到我面前
00:13:48:03 00:13:49:15 因此格涅沙是很重要的
00:13:49:23 00:13:52:21 澳洲是格涅沙的中心
00:13:53:04 00:13:57:01 所以你們都很重要，你們都是鑰匙
00:13:57:22 00:13:59:15 所以你要比其他人
00:13:59:23 00:14:02:01 更需要在
00:14:02:09 00:14:04:03 精粹中
00:14:04:11 00:14:06:04 各方面都是，就如我告訴你
00:14:06:12 00:14:08:17 男人必須像男人，女人必須像女人
00:14:09:01 00:14:11:01 這些都是他們的本質，這就是精粹
00:14:11:11 00:14:13:17 這是很重要的。就憑著你
00:14:14:01 00:14:17:19 因為透過你才能成就
00:14:18:02 00:14:19:11 透過你的純真
00:14:19:19 00:14:21:05 是你令
00:14:21:13 00:14:26:09 西方人能純真，這是很重要的
00:15:21:19 00:15:26:03 暫時把它交給華倫
00:15:46:16 00:15:49:21 你也必定有留意，每一年
00:15:50:05 00:15:51:15 一切都在縮短
00:15:51:23 00:15:53:16 你要明白，即使給自覺也在縮短
00:15:54:00 00:15:55:05 崇拜亦在縮短
00:15:55:15 00:15:57:15 我們要節省時間，對嗎？
00:15:57:23 00:16:01:15 所以一切都要縮短，為甚麽？因為這是力量
00:16:12:08 00:16:14:13 這是持守，你能持守這力量
00:16:14:20 00:16:17:08 因為你就在這裡，很多渠道
00:16:17:17 00:16:20:14 所以你能縮短它
00:16:22:01 00:16:25:22 我希望它不會減少！
00:16:27:09 00:16:30:07 你是在說…他在說沒錯
00:16:30:18 00:16:32:12 好吧，現在，我們該做些甚麽
00:16:32:20 00:16:40:15 只清洗雙手，就這樣做吧
00:16:41:00 00:16:44:24 你不需要去…你可以只放一個…
00:18:33:02 00:18:38:05 有沒有人來做？來這裡，把這個倒下
00:18:39:01 00:18:43:20 你來另一邊，你來這裡做
00:29:45:15 00:29:47:24 今天因為是在
00:29:48:08 00:29:53:09 格涅沙小島的壽辰
00:29:54:24 00:29:57:06 我想所有崇拜都由孩子來做
00:29:57:13 00:29:59:07 這樣好一點
00:29:59:16 00:30:01:22 對嗎，所以女孩子現在起來吧
00:30:02:06 00:30:05:12 拿著莎麗，讓他們拿著莎麗
00:30:08:18 00:30:12:05 有沒有大一點的女孩？未婚的
00:30:14:08 00:30:17:07 只要把莎麗給他們拿著，給女孩
00:30:23:13 00:30:25:11 我不知道孩子能不能拿著它
00:30:25:19 00:30:27:19 它很重.
00:30:28:20 00:30:32:00 雙重的，像這樣
00:30:32:11 00:30:37:03 所以現在，你們全站到盡頭，好嗎？
00:30:37:12 00:30:40:08 從這一邊拿著莎麗
00:30:40:23 00:30:44:02 你來這一邊拿著它，拿高點
00:30:46:16 00:30:50:01 現在，所有孩子先，一些來這邊
00:30:50:10 00:30:54:19 好吧。現在，你上前
00:30:55:03 00:30:56:22 讓女孩把莎麗向四周展示，對
00:30:57:05 00:30:58:13 你這樣上前來
00:30:58:21 00:31:00:17 現在你拿著莎麗，往那裡走
00:31:00:24 00:31:02:17 現在你，所有女孩來這裡
00:31:03:14 00:31:06:11 現在，你拿著這一邊，拿高一點
00:31:06:18 00:31:10:17 讓每一個人都能看到莎麗
00:31:11:16 00:31:15:00 一些大點的女孩要幫他們
00:31:35:21 00:31:38:06 讓他們拿到他們的高度
00:31:38:09 00:31:40:00 現在，你來吧，大一點的女孩
00:31:43:24 00:31:48:05 你兩個或你們四個，來吧，大的那個
00:31:49:12 00:31:53:01 好吧，讓他們拿著這邊一點
00:31:53:10 00:31:57:05 好吧，讓它移進來，在孩子裡
00:32:02:15 00:32:05:16 現在你要做的是放在這裡
00:32:06:01 00:32:10:01 在紅色的標記上，是紅色的標記，這裡的？
00:32:12:24 00:32:16:10 先做線，對嗎？
00:32:20:21 00:32:22:17 我想大女孩現在拿著
00:32:22:23 00:32:25:04 我們會叫他們放花朵，對嗎？
00:32:25:12 00:32:28:06 只大女孩做，好吧
00:32:28:16 00:32:30:23 小女孩現在坐下
00:32:31:08 00:32:34:18 我們會叫你做花，好嗎？
00:32:40:03 00:32:42:21 現在你把線放在這裡…
00:32:48:24 00:32:50:04 然後超越線
00:32:50:10 00:32:54:14 這裡也要有一條線，接著是超越這條線
00:32:57:10 00:33:00:13 這東西要在線內
00:33:01:06 00:33:04:04 放線
00:34:47:20 00:34:51:05 把這個放在腳下
00:35:18:17 00:35:24:05 你要在這裡完成紅色
00:35:44:06 00:35:48:03 現在你要畫swastika(卐)
00:35:57:24 00:36:00:15 在上面
00:36:16:17 00:36:21:19 現在這裡也放一個，對
00:36:25:04 00:36:30:07 剛好七個，你沒有留意？
00:36:37:09 00:36:40:15 對，把這個從這裡移開
00:36:41:00 00:36:45:13 你要個別的去放…從這裡
00:36:46:07 00:36:48:16 只放一點點
00:36:49:00 00:36:53:08 在紅色畫一個swastika(卐)
00:36:54:00 00:36:56:18 在中央
00:37:11:03 00:37:16:19 我會幫你放它
00:37:19:22 00:37:23:12 在這個上面
00:37:27:06 00:37:30:00 好，好吧，完成了
00:37:30:13 00:37:34:15 現在，你把莎麗圍繞著，現在
00:37:38:21 00:37:42:09 現在，以花朵裝飾
00:37:42:15 00:37:43:21 孩子可以來
00:37:44:03 00:37:46:22 現在，把莎麗圍繞著，像這樣…
00:37:53:11 00:37:58:19 讓孩子來，來做花朵…
00:38:37:00 00:38:39:16 現在讓男孩來獻花
00:38:41:06 00:38:44:09 我們也拿其他花來
00:38:49:06 00:38:52:13 讓男孩來做
00:38:53:22 00:38:59:14 讓它直…把它放下
00:39:15:15 00:39:18:17 那麽花朵會在上面
00:39:25:08 00:39:30:04 讓男孩做花朵，叫他們來安排
00:40:38:03 00:40:41:11 大女孩來做，女孩們
00:40:43:00 00:40:44:24 不是現在為我裝飾雙腳的那些女孩
00:40:45:06 00:40:46:23 因為你已經見過裝飾我的雙腳的孩子
00:40:47:06 00:40:49:01 那些現在裝飾我的腳的孩子
00:40:49:10 00:40:52:14 其他人，來吧
00:41:08:11 00:41:10:10 給她一個
00:41:12:06 00:41:16:01 這裡，也是，拿一個
00:41:21:16 00:41:25:04 所有這些介子…
00:41:33:18 00:41:38:03 先左面，就是這樣
00:41:49:24 00:41:53:20 很感謝你
00:42:16:08 00:42:18:23 現在叫多一點女孩來
00:42:19:06 00:42:22:24 有其他女孩嗎？來吧，來幫忙
00:43:28:09 00:43:30:16 你能做這個嗎，你要明白，這一面
00:43:31:00 00:43:35:16 你也同樣這樣做…在另一面做同樣的事
00:43:36:09 00:43:39:11 現在，這個你要放另一面，你要明白
00:43:39:21 00:43:43:20 一個在這面，一個在另一面
00:46:22:18 00:46:26:03 它很漂亮
00:47:54:00 00:47:57:13 (瑜伽士︰錫呂‧瑪塔吉…在你的壽辰
00:47:57:22 00:48:00:16 你所有來自澳洲的孩子。)
00:48:12:24 00:48:15:01 很感謝你們
00:48:15:09 00:48:17:00 太多了
00:48:17:08 00:48:20:21 他說我現在要有它，我不知道是甚麽
00:48:22:05 00:48:26:17 你知道嗎，它與我的莎麗很相配
00:50:02:24 00:50:06:21 這是愛的衣領
00:50:12:16 00:50:16:23 現在，就是要這樣
00:50:17:02 00:50:18:13 (瑜伽士︰有這個衣領，錫呂‧瑪塔吉
00:50:18:18 00:50:23:09 我期望每一處的左喉輪都得到潔淨
00:50:37:01 00:50:39:01 錫呂‧瑪塔吉，有這個衣領
00:50:39:07 00:50:42:05 我們挑選它是因為
00:50:42:10 00:50:44:01 珍珠的輪穴也得到潔淨。)
00:50:44:09 00:50:48:04 好主意
00:51:02:02 00:51:08:20 有另一個介子，細點的，好吧
00:52:07:14 00:52:11:04 它看來很好！
00:52:29:17 00:52:31:19 有點高
00:52:40:24 00:52:44:01 一個，可以了
00:53:08:00 00:53:12:02 請拿一把梳子給我
00:53:33:18 00:53:38:05 我現在六十三歲
00:53:54:21 00:53:59:14 (馬拉地語)不…六十四了，你能想像嗎？
00:54:02:03 00:54:05:05 我們會有這個特別的…
00:54:13:14 00:54:17:17 現在想拍照的人可以來
00:55:17:16 00:55:18:19 (瑜伽士︰母親，這是給你的。)
00:55:19:00 00:55:21:18 是嗎？
00:55:40:12 00:55:42:21 我知道你要照顧這樣巨大的東西
00:55:43:02 00:55:45:21 我不知道我們的攝影師那裡去了
00:55:46:05 00:55:50:05 我想他不在這裡…馬非不在這裡
00:55:51:07 00:55:55:00 讓我們看看該怎樣
00:55:57:01 00:56:02:06 拍一張全部人的，一張或二張
00:57:01:21 00:57:05:18 現在完成了，好吧…
00:57:36:17 00:57:40:21 我想拍一張沒有花環的，我想這樣會好一點
00:57:44:13 00:57:47:14 看著這個
00:57:48:01 00:57:50:13 它是很漂亮
00:57:50:21 00:57:52:18 它是真正的羅陀款式，明白嗎
00:57:53:01 00:57:56:12 大部分在後面
00:58:06:16 00:58:11:00 看這裡的這一個，很漂亮
00:58:29:15 00:58:33:18 來吧，你從哪裡拿到這些？
00:58:36:02 00:58:39:00 有沒有人來幫忙…？
00:59:02:00 00:59:05:21 很漂亮，我們有最好的款式
00:59:06:06 00:59:08:22 這個設計我們應該也要有
00:59:09:08 00:59:11:03 我們該拿它到英國，印度
00:59:11:12 00:59:14:24 看看那個是最好的
00:59:15:15 00:59:21:07 這是三位女神…很多漂亮的裝飾
01:00:38:06 01:00:41:16 現在我最好看看甚麽…
01:00:41:24 01:00:44:07 很好很舒服
01:00:44:17 01:00:46:11 它可以像這樣，你要明白
01:00:46:13 01:00:49:19 因為這必定是根輪…
01:00:50:01 01:00:51:13 就是這個
01:00:51:20 01:00:55:19 沒有方法遮蔽根輪
01:01:11:12 01:01:15:02 所以必須像這樣，嗎白嗎？
01:02:04:00 01:02:07:12 現在讓我穿上莎麗
01:02:08:06 01:02:12:03 穿上莎麗，女孩子，來吧
01:02:53:07 01:02:57:06 來吧…拿滿滿的，若你喜歡
01:03:19:22 01:03:21:09 他們已經拿著雙腳，好吧
01:03:21:17 01:03:23:18 這些是全部的相片？
01:03:24:02 01:03:27:08 現在，還有很多事要做，你要拿花環來
01:03:27:20 01:03:30:13 首先給我這裡的東西
01:03:30:21 01:03:33:18 我只會觸摸它們…對嗎？
01:04:01:12 01:04:05:00 多一點女孩，大一點的女孩
01:07:12:01 01:07:15:09 三件莎麗在一個…
01:07:40:23 01:07:42:24 所有七個女孩來
01:07:43:08 01:07:45:06 那些拿著我的莎麗的
01:07:56:10 01:08:00:12 好嗎？願神祝福你們
01:08:02:22 01:08:06:10 現在完成了，現在花朵…
01:08:11:18 01:08:14:20 女孩們可以做
01:08:17:24 01:08:21:14 現在花環…
01:08:56:02 01:09:02:10 這是很有代表性，在南印度造的
01:09:02:18 01:09:04:06 他們做了一個巨大的東西
01:09:04:12 01:09:05:17 在印度他們也有造它
01:09:05:24 01:09:07:16 他們稱呼為…
01:09:07:23 01:09:11:02 很感謝你們!
01:09:56:01 01:10:01:22 拿一個滿滿的，有腳的
01:10:51:19 01:10:54:02 很感謝你們，很感謝
01:10:56:18 01:11:00:12 做搖燈禮時，我們希望保留花環
01:13:04:20 01:13:08:09 那些大的銅器可以拿進來
01:13:09:15 01:13:11:24 一個在這邊，一個在那邊
01:13:12:04 01:13:13:08 這些東西可以移走
01:13:13:15 01:13:17:20 那你便能拍一幀完整的相片
01:32:43:05 01:32:48:04 好吧，我現在下來這裡
