00:00:28:08 00:00:31:05 愿神祝福你们
00:00:59:11 00:01:01:23 请坐下
00:01:24:07 00:01:27:17 (只做记录？)
00:01:47:13 00:01:52:18 能到圣地亚哥的集体静室是件乐事
00:01:53:16 00:01:56:20 这是一处很漂亮的地方
00:01:57:12 00:02:01:08 一处很能表达神的爱
00:02:02:16 00:02:07:19 上天的爱，表达神想帮助你的每一步的地方
00:02:08:06 00:02:10:06 若你想拥有集体静室
00:02:10:15 00:02:12:17 想拥有一处合适的地方
00:02:13:02 00:02:15:20 想好好照顾你的孩子
00:02:16:05 00:02:19:22 想做神的工作
00:02:20:05 00:02:22:01 这一切都会被照顾
00:02:22:10 00:02:25:03 都会达成实现
00:02:25:15 00:02:27:24 若它不能达成
00:02:28:08 00:02:30:19 你又怎能做你的工作？
00:02:31:07 00:02:33:07 所以全都能达成实现
00:02:33:17 00:02:38:09 这是那么明显，我们拥有不同的集体静室
00:02:38:20 00:02:40:23 这样舒适的地方
00:02:41:08 00:02:46:01 都是以很合理的价格，你能负担的价格便得到
00:02:46:10 00:02:49:07 我们都能快乐的住在一起
00:02:49:19 00:02:54:03 这是用爱为你们创造的住所
00:02:54:14 00:02:56:11 我们先要记着
00:02:56:22 00:03:01:01 我们之间要有完全的爱
00:03:03:24 00:03:09:13 (马拉地语)我们不要信任
00:03:10:19 00:03:12:13 任何想分化我们
00:03:12:20 00:03:16:16 想给我们错误想法的人
00:03:17:05 00:03:21:14 只要用心，我们能轻易分辨
00:03:22:24 00:03:24:01 谁是霎哈嘉瑜伽士
00:03:24:08 00:03:25:15 很容易把他们认出
00:03:25:23 00:03:27:17 你只要敏锐点，
00:03:28:01 00:03:30:12 便很容易分辨出他们
00:03:30:21 00:03:34:23 任何狡猾的人，都很容易被发现
00:03:35:09 00:03:37:15 没有人能违反神
00:03:37:23 00:03:41:15 因为一切都会被发现，被找出
00:03:42:01 00:03:47:03 我们要把注意力完全
00:03:48:06 00:03:51:09 放在母亲上
00:03:52:08 00:03:55:08 有些人确实有点狂热
00:03:55:16 00:03:57:14 因为他们很执着依恋，但不要紧
00:03:57:24 00:03:58:23 你会清醒过来
00:03:59:05 00:04:02:10 狂热总比怀疑好
00:04:02:20 00:04:08:03 所以那些做事有些过分的人
00:04:08:16 00:04:12:01 他们应该把人生交托…
00:04:12:10 00:04:14:08 无论他们看到什么，
00:04:14:16 00:04:16:16 无论他们对霎哈嘉瑜伽有什么理解
00:04:17:00 00:04:19:19 无论有什么发生，他们都会
00:04:20:02 00:04:23:05 毫不犹豫的接受它
00:04:23:16 00:04:26:24 就是这样，我们要建立
00:04:27:06 00:04:30:00 自己霎哈嘉瑜伽的形象
00:04:30:09 00:04:32:19 我们不能建立…它就是它本来的样子
00:04:33:01 00:04:35:14 我们不能把霎哈嘉瑜伽的形象
00:04:35:24 00:04:38:03 建立成我们认为它就是这样的样子
00:04:38:12 00:04:40:01 霎哈嘉瑜伽就是这样，它不是那样
00:04:40:11 00:04:43:08 你不能妥协，你就是不能妥协
00:04:43:16 00:04:45:12 它本来是怎样就是怎样
00:04:45:20 00:04:48:19 它不是你想它这样就这样
00:04:49:04 00:04:53:23 你不能塑造它，因为它的形象很久以前已经固定了
00:04:54:11 00:04:56:16 现在它是这样子就是这样子
00:04:57:00 00:05:01:10 这就是为何它能成就得那么好，那么有效率
00:05:01:20 00:05:03:17 要令它更有效率
00:05:04:01 00:05:06:18 你要接受它的运作
00:05:07:03 00:05:10:03 就像昨天，你要明白
00:05:10:15 00:05:12:09 我知道必定是有些什么
00:05:12:18 00:05:16:07 还不是时候
00:05:16:19 00:05:18:07 这次我在这里花的时间
00:05:18:15 00:05:21:03 本是用来提升你们的灵量
00:05:22:05 00:05:23:13 但却不必要的浪费掉
00:05:23:21 00:05:25:23 取而代之，我用了五分钟
00:05:26:05 00:05:28:06 给他们自觉
00:05:28:14 00:05:33:05 就是这样。所以一切都要以这种方式来理解
00:05:35:10 00:05:38:10 你会渐渐看到上天的戏剧
00:05:38:20 00:05:40:12 看到事情是怎样成就
00:05:40:23 00:05:43:12 看到它是怎样帮助你
00:05:43:22 00:05:48:05 就如神已经把一些东西
00:05:48:19 00:05:51:03 带到你面前
00:05:51:17 00:05:56:03 华医生告诉我一个
00:05:56:11 00:05:57:13 很有趣的故事
00:05:57:22 00:06:00:05 财富女神和
00:06:00:13 00:06:05:05 教育女神有点小冲突
00:06:05:15 00:06:09:13 你也可以说教育女神或莎娃斯娃蒂
00:06:09:22 00:06:13:02 若她受忽视
00:06:13:12 00:06:18:07 或受过分的爱慕，便会令你自我中心
00:06:18:17 00:06:21:13 某程度上若你不停的学习
00:06:21:22 00:06:23:13 学习、学习
00:06:23:21 00:06:26:13 你便会偏向一面
00:06:26:24 00:06:32:19 这位女士想测试财富的力量
00:06:33:04 00:06:35:15 她对拉希什米说︰
00:06:35:24 00:06:38:04 好吧，让我看看，这个人
00:06:38:12 00:06:42:21 这个人是个乞丐，他需要钱
00:06:43:09 00:06:44:22 很多很多的钱
00:06:45:06 00:06:50:16 因此拉希什米把很多钱放在一个大的容器里
00:06:50:22 00:06:52:03 我们称这个大容器为handa
00:06:52:13 00:06:55:21 再把容器放在他会走过的通道
00:06:56:07 00:07:00:11 这家伙走在路上
00:07:01:01 00:07:04:08 莎娃斯娃蒂进入他的思维
00:07:04:20 00:07:07:00 当莎娃斯娃蒂进入他的思维
00:07:07:09 00:07:10:24 他变得很自我，他甚至看也没有看那些钱
