00:00:28:08 00:00:31:05 願神祝福你們
00:00:59:11 00:01:01:23 請坐下
00:01:24:07 00:01:27:17 (只做記錄？)
00:01:47:13 00:01:52:18 能到聖地牙哥的集體靜室是件樂事
00:01:53:16 00:01:56:20 這是一處很漂亮的地方
00:01:57:12 00:02:01:08 一處很能表達神的愛
00:02:02:16 00:02:07:19 上天的愛，表達神想幫助你的每一步的地方
00:02:08:06 00:02:10:06 若你想擁有集體靜室
00:02:10:15 00:02:12:17 想擁有一處合適的地方
00:02:13:02 00:02:15:20 想好好照顧你的孩子
00:02:16:05 00:02:19:22 想做神的工作
00:02:20:05 00:02:22:01 這些一切都會被照顧
00:02:22:10 00:02:25:03 都會達成實現
00:02:25:15 00:02:27:24 若它不能達成
00:02:28:08 00:02:30:19 你又怎能做你的工作？
00:02:31:07 00:02:33:07 所以全都能達成實現
00:02:33:17 00:02:38:09 這是那麽明顯，我們擁有不同的集體靜室
00:02:38:20 00:02:40:23 這樣舒適的地方
00:02:41:08 00:02:46:01 都是以很合理的價錢，你能負擔的價錢便得到
00:02:46:10 00:02:49:07 我們都能快樂的住在一起
00:02:49:19 00:02:54:03 這是用愛為你們創造的住所
00:02:54:14 00:02:56:11 我們先要記著
00:02:56:22 00:03:01:01 我們之間要有完全的愛
00:03:03:24 00:03:09:13 (馬拉地語)我們不要信任
00:03:10:19 00:03:12:13 任何想分化我們
00:03:12:20 00:03:16:16 想給我們錯誤想法的人
00:03:17:05 00:03:21:14 只要用心，我們能輕易分辨
00:03:22:24 00:03:24:01 誰是霎哈嘉瑜伽士
00:03:24:08 00:03:25:15 很容易把他們認出
00:03:25:23 00:03:27:17 你只要敏銳點，
00:03:28:01 00:03:30:12 便很容易分辨出他們
00:03:30:21 00:03:34:23 任何狡猾的人，都很容易被發現
00:03:35:09 00:03:37:15 沒有人能違反神
00:03:37:23 00:03:41:15 因為一切都會被發現，被找出
00:03:42:01 00:03:47:03 我們要把注意力完全
00:03:48:06 00:03:51:09 放在母親上
00:03:52:08 00:03:55:08 有些人確實有點狂熱
00:03:55:16 00:03:57:14 因為他們很執著依戀，但不要緊
00:03:57:24 00:03:58:23 你會清醒過來
00:03:59:05 00:04:02:10 狂熱總比懷疑好
00:04:02:20 00:04:08:03 所以那些做事有些過分的人
00:04:08:16 00:04:12:01 他們應該把人生交托…
00:04:12:10 00:04:14:08 無論他們看到甚麽，
00:04:14:16 00:04:16:16 無論他們對霎哈嘉瑜伽有甚麽理解
00:04:17:00 00:04:19:19 無論有甚麽發生，他們都會
00:04:20:02 00:04:23:05 毫不焦慮的接受它
00:04:23:16 00:04:26:24 就是這樣，我們要建立
00:04:27:06 00:04:30:00 自己霎哈嘉瑜伽的形象
00:04:30:09 00:04:32:19 我們不能建立…它就是它本來的樣子
00:04:33:01 00:04:35:14 我們不能把霎哈嘉瑜伽的形象
00:04:35:24 00:04:38:03 建立成我們認為它就是這樣的樣子
00:04:38:12 00:04:40:01 霎哈嘉瑜伽就是這樣，它不是那樣
00:04:40:11 00:04:43:08 你不能妥協，你就是不能妥協
00:04:43:16 00:04:45:12 它本來是怎樣就是怎樣
00:04:45:20 00:04:48:19 它不是你想它這樣就這樣
00:04:49:04 00:04:53:23 你不能塑造它，因為它的形象很久以前已經固定了
00:04:54:11 00:04:56:16 現在它是這樣子就是這樣子
00:04:57:00 00:05:01:10 這就是為何它能成就得那麽好，那麽有效率
00:05:01:20 00:05:03:17 要令它更有效率
00:05:04:01 00:05:06:18 你要接受它的運作
