00:01:38:14 00:01:43:06 很抱歉，我会告诉你该怎样做，你看
00:02:01:19 00:02:02:16 现在可以吗？
00:02:03:00 00:02:05:15 你要从前面往后
00:02:05:24 00:02:10:05 不然，头发会向前
00:02:42:20 00:02:46:00 这样可以吗？
00:02:57:03 00:02:58:15 只拿着它
00:02:58:22 00:03:00:23 这很大，你看，只是…
00:03:01:06 00:03:03:18 只一会儿，我拿着它
00:03:43:22 00:03:47:06 拿着它，呀？我只是弄好它，只拿着它
00:04:35:02 00:04:38:20 在克里希纳的…这是克里希纳的国家
00:04:39:05 00:04:42:12 一切都必须本末倒置
00:04:53:11 00:04:58:01 好吧，大问题！
00:05:39:17 00:05:41:22 现在让我看看
00:05:52:14 00:05:55:10 现在好一点
00:06:36:12 00:06:39:05 对，这是好主意
00:06:39:16 00:06:41:15 这样放它
00:06:42:01 00:06:44:20 我像一个
00:06:48:08 00:06:51:09 印第安女士
00:06:54:03 00:06:57:01 印加，印加款式
00:06:57:13 00:07:00:06 对吗？
00:09:52:02 00:09:55:11 双手
00:13:32:04 00:13:35:22 有人应该拍一张整体的照片
00:13:42:01 00:13:46:07 我希望你能拍到奇迹的照片
00:15:17:24 00:15:21:00 摇灯礼…(马拉地语)
00:23:43:21 00:23:45:19 只要做班丹
00:23:46:01 00:23:49:07 灵量是很清晰的
00:23:51:20 00:23:53:02 不，反时针方向
00:23:53:08 00:23:55:22 不，不，这里，在…
00:24:16:09 00:24:18:17 只要跪下，请我们看看
00:24:25:21 00:24:30:04 保持跪下，我们想看你的灵量
00:24:56:14 00:25:01:01 好吧，现在试试他，只移动它
00:25:11:18 00:25:13:07 腹轮
00:25:18:10 00:25:20:20 心轮中部
00:25:21:21 00:25:25:10 拿紧它，拿着它
00:25:32:17 00:25:35:13 他没问题
00:25:48:10 00:25:52:09 你只看他的灵量，在脐轮
00:25:55:13 00:25:58:22 只跪下，他还好吗？
00:25:59:09 00:26:03:20 左脐轮和脐轮，你现在来
00:26:10:01 00:26:15:23 这里做班丹，你现在没问题，你没问题
00:26:29:04 00:26:32:12 每一个人，让我们看每一个人，最好看着它
00:26:32:19 00:26:34:18 你来吧，只一分钟
00:26:35:02 00:26:38:01 我想看每一个人的灵量，现在，很好
00:26:41:11 00:26:43:11 现在德，你没事吧，你没事
00:26:43:19 00:26:45:14 但在喉轮，在喉咙，一点点
00:26:45:20 00:26:47:08 好吧，现在，让我看看，一个接一个
00:27:08:13 00:27:12:00 现在把双手向前
00:27:57:23 00:28:01:08 只看看，他的灵量
00:28:28:03 00:28:32:22 来吧，看，他的生命能量
00:29:29:08 00:29:31:17 呀！好吧？
00:29:32:01 00:29:35:10 不，左边，不妥当，我们会看，现在
00:29:39:06 00:29:40:21 米高
00:29:45:00 00:29:49:08 忍着呼吸，忍着呼吸，
00:29:50:13 00:29:52:19 放松呼吸
00:30:02:11 00:30:05:08 放松呼吸
00:30:22:20 00:30:27:19 呀，脐轮
00:30:28:16 00:30:31:11 好吧？
00:30:34:04 00:30:36:10 你没事吧？
00:30:36:19 00:30:40:00 让我们看看，现在开始
00:30:49:09 00:30:51:11 你是追求完美主义者，你们全部人
00:30:51:20 00:30:54:01 他是追求完美主义者
00:31:13:24 00:31:16:18 心
00:32:02:00 00:32:06:12 完成了，过分忧心
00:32:06:21 00:32:11:05 没什么要担忧，完成了，好吧？
00:32:12:22 00:32:17:03 她没事，现在，她没事
00:32:17:19 00:32:20:02 你没事吗？为什么？
00:32:20:17 00:32:25:17 忍着，忍着，忍着呼吸一会儿
00:32:26:15 00:32:29:24 现在放松呼吸…
