00:02:15:13 00:02:22:01 今天我們聚集在一個合適的場合
00:02:24:02 00:02:29:02 和非常吉祥的日子去敬拜錫呂‧格涅沙。
00:02:34:00 00:02:36:14 格涅沙是第一位被創造的神祇，
00:02:40:00 00:02:45:04 所以整個宇宙都充滿吉祥，
00:02:47:06 00:02:55:10 平和，福氣和靈性。
00:03:02:08 00:03:04:06 祂是源頭
00:03:08:10 00:03:11:03 祂是靈性的源頭 
00:03:14:12 00:03:19:07 因此，其他事物跟隨。 
00:03:21:01 00:03:25:04 就像當下雨和刮風，
00:03:25:04 00:03:29:03 你會感到空氣中的清涼。 
00:03:32:02 00:03:39:04 同樣，當錫呂‧格涅沙散發祂的力量，
00:03:40:10 00:03:45:03 我們內在和外在都感到這三種東西。
00:03:47:07 00:03:56:08 但很不幸，特別在西方，
00:03:56:08 00:04:07:01 這位最重要基本的神祇
00:04:07:01 00:04:11:01 不單被忽視，
00:04:11:01 00:04:15:03 還徹底地被侮辱和被迫害。
00:04:18:07 00:04:21:14 今天雖然我不想說任何
00:04:23:06 00:04:28:01 令你們感到不安的說話，但我必須告訴你，
00:04:28:02 00:04:35:11 敬拜錫呂‧格涅沙代表你內在
00:04:35:12 00:04:38:06 必須完全潔淨
00:04:40:14 00:04:43:00 當你敬拜錫呂‧格涅沙，
00:04:44:04 00:04:50:03 請保持你的思維清潔，你的心清潔，
00:04:51:08 00:04:53:06 你的存有清潔
00:04:53:06 00:04:58:08 也必須沒有任何淫慾和貪婪的思維。
00:05:00:10 00:05:02:10 實際上，當靈量昇起
00:05:02:11 00:05:06:08 格涅沙必定在你內裏得到喚醒
00:05:06:09 00:05:09:00 純真也必然出現
00:05:09:01 00:05:19:08 洗刷你內在所有低下的念頭
00:05:21:14 00:05:27:03 若要達至昇進，我們必須明白
00:05:27:04 00:05:32:13 我們必須要成熟
00:05:38:05 00:05:40:03 現在人們病了
00:05:40:04 00:05:45:05 整個西式生活，他們感到他們病了
00:05:45:08 00:05:50:12 患病是因為他們不承認錫呂‧格涅沙。
00:05:52:09 00:05:58:02 若佛洛依德到來，並不代表你要接受他
00:05:58:03 00:06:06:04 但你卻接受了他，好像這是必須要做的最重要事情
00:06:08:12 00:06:11:08 沒有比這更重要的。
00:06:17:09 00:06:23:06 今天，我們要面對我們昇進的力量
00:06:24:09 00:06:27:13 以及我們制約的力量
00:06:28:07 00:06:30:11 當佛洛依德談論制約
00:06:30:12 00:06:33:13 他不知道他正在把另一種可怕的制約加在你身上，
00:06:33:14 00:06:34:14 真是可怕。
00:06:42:07 00:06:45:13 性對人類是完全不重要，
00:06:48:07 00:06:50:11 絕對不重要。
00:06:54:01 00:06:56:14 只在你想有孩子時它才重要
00:06:57:00 00:06:59:11 實際上，人類
00:06:59:12 00:07:03:04 處於最高層次的人類，卻沉迷在性
00:07:06:02 00:07:09:04 誘惑、羅曼蒂克，這些全都是謬誤
00:07:09:04 00:07:14:03 並不存在於純潔的頭腦內，這全是人類創造出來。
00:07:19:05 00:07:28:03 人們屈從於這些事情是很令人驚訝的
00:07:29:11 00:07:35:11 這些都是來自你內在低下的品質，
00:07:37:06 00:07:41:03 來自低下的人類
00:07:46:05 00:07:50:02 令人屈從於它
00:07:51:02 00:07:53:08 你必須是這些的主人
00:07:57:04 00:08:01:04 今天，當我看看四周，在西方
00:08:01:05 00:08:04:08 那是同一創造的一部分
00:08:06:13 00:08:15:03 卻染上那麽多病，我真的嚇呆了
00:08:17:13 00:08:22:01 該怎樣把你們的注意力轉向對性有成熟態度
00:08:24:09 00:08:29:03 當性成熟，你成為父親，成為母親
00:08:30:02 00:08:32:07 以及擁有純潔的人格
00:08:36:05 00:08:39:11 當你聽到一位九十歲的女人 
00:08:39:12 00:08:41:07 與一位十九歲的男孩結婚
00:08:41:10 00:08:43:03 我的意思，是你不會明白
00:08:43:03 00:08:48:04 這個世界創造了怎樣的社會
00:08:48:04 00:08:53:09 怎會有這種愚蠢的行為？
00:08:54:02 00:08:56:04 我們必須成熟
00:08:59:12 00:09:04:02 我不是說在年青時行苦行
00:09:05:12 00:09:10:13 不是這樣，這是另一種荒謬的行為
00:09:10:14 00:09:14:01 當然，你必須成熟
00:09:14:01 00:09:16:05 為此你需要行苦行
00:09:19:08 00:09:22:09 當不重要的事情變得重要
00:09:22:09 00:09:28:08 這種不重要的事情就像
00:09:28:09 00:09:30:04 我們所擁有的事物，像我們的頭髮
00:09:30:04 00:09:34:07 就算你失去了頭髪，這代表某些意義
00:09:35:03 00:09:38:13 但若你失去了性，有甚麽不妥呢？這很好
00:09:38:14 00:09:42:02 擺脫了壞的垃圾
00:09:42:05 00:09:45:04 這樣浪費精力
00:09:50:06 00:09:55:12 那麽多樂趣，那麽多寶貴注意力
00:09:55:12 00:09:58:14 那麽多吉祥都花費在
00:09:59:00 00:10:01:12 這種荒謬的事上。
00:10:05:09 00:10:09:06 所以敬拜格涅沙，我們要明白
00:10:09:06 00:10:10:07 我們必須成熟
00:10:13:06 00:10:15:12 我們內在必須成熟
00:10:19:12 00:10:23:05 我們必須更深入自己
00:10:23:06 00:10:29:10 我們的注意力必須更深入自己，自然地
00:10:30:08 00:10:36:04 若我們仍像寄生蟲，我們怎能到達這深度？
00:10:42:06 00:10:46:06 這是一種偉大的犧牲，
00:10:46:06 00:10:51:06 或是對人的壓力。
00:10:54:13 00:11:01:07 這種標籤和壓力對你們都是非常昂貴
00:11:01:07 00:11:04:09 非常昂貴
00:11:04:09 00:11:07:10 你們已經付出很多
00:11:09:02 00:11:13:00 已經經歷很多，為何要這樣？
00:11:21:02 00:11:24:14 所以，先後次序必須改變
00:11:24:14 00:11:27:11 若要敬拜錫呂‧格涅沙
00:11:28:13 00:11:33:08 我們今天敬拜的是我們內在的純真
00:11:35:02 00:11:41:02 我們敬拜的對象是吉祥的，是純真的
00:11:44:08 00:11:48:09 純真，是深入我們內在，那就是我們的個性
00:11:48:09 00:11:51:05 我們的本質，那是與生俱來的
00:11:54:00 00:12:00:08 是整個創造的基礎，
00:12:02:03 00:12:06:07 是這個創造的精粹 
00:12:10:05 00:12:15:01 當物質變得活躍，繁殖開始
00:12:16:12 00:12:21:01 動物的狀態來臨，跟著來到人類 
00:12:21:01 00:12:23:13 最原始的狀態，
00:12:23:13 00:12:27:07 跟著是人類已經發展的狀態
00:12:27:08 00:12:32:01 並不是我們所理解的已發展的世界，那是可怕的
00:12:32:02 00:12:35:05 我永遠也不會稱呼他們為發展
00:12:36:04 00:12:39:00 發展並不是外在的
00:12:39:01 00:12:42:11 我們要看到的是內在的發展
00:12:42:12 00:12:45:11 我們內在生長了甚麽？
00:12:48:03 00:12:51:06 我們內在得到了甚麽？
00:12:53:08 00:13:00:04 任何粗糙的，巨大的，是塑料，就是這類東西
00:13:02:02 00:13:05:05 內在的力量並沒有生長
00:13:05:06 00:13:07:14 就如我給你一個芒果，
00:13:07:14 00:13:09:07 我說︰「好吧，你現在吃吧
00:13:10:14 00:13:14:11 你只看到它的外皮，內在卻甚麽也沒有
00:13:14:11 00:13:19:12 你吃的是甚麽？你會否吃這塑料？
00:13:23:13 00:13:29:12 任何生長成這樣的東西都是塑料，是死的。
00:13:31:13 00:13:34:05 內在的物質是甚麽，讓我們看看
00:13:38:06 00:13:41:03 我們內在是甚麽物質？
00:13:45:08 00:13:50:08 這是基督所宣揚的--道德。
00:13:51:09 00:13:54:11 對基督這是很重要的
00:13:54:12 00:13:58:14 因為正法之後，是平衡
00:13:58:14 00:14:02:03 當然道德亦非常重要
00:14:02:12 00:14:09:11 但基督需要談及天生的
00:14:09:11 00:14:14:13 深度的道德，那是存有的一部分
00:14:14:14 00:14:18:09 不是被教導而來，被告訴而來或是因為懼怕神
00:14:18:09 00:14:21:08 懼怕神的怒氣而被恐嚇而來 
00:14:21:08 00:14:25:00 但必須是你內在天生而來的光
00:14:25:00 00:14:28:03 所以基督談及它
00:14:30:02 00:14:39:06 同一位基督卻被用作破壞純真。
00:14:44:03 00:14:49:00 我不可以說人們沒有被警告
00:14:49:01 00:14:51:14 佛洛依德並不是唯一出生的人
00:14:53:05 00:14:58:08 某天我到西班牙的Prado
00:14:58:09 00:15:02:13 看到一幅又一幅繪畫地獄的油畫，
00:15:02:13 00:15:06:14 在這個現代，我們看到裸體
00:15:07:00 00:15:09:14 瘦長的人四處走動，這類人展示
00:15:10:00 00:15:12:12 他們在做著各式各樣荒謬愚蠢的事情
00:15:12:13 00:15:16:10 這是Bosch。我感到很驚訝，這位Bosch的德國人
00:15:16:11 00:15:20:03 在這裏展示這些荒謬的東西，非常清楚，走往地獄的途徑，
00:15:20:04 00:15:23:04 以及死亡的攻擊，所有這類的東西
00:15:23:14 00:15:26:11 我的意思是他是一位近代人。
00:15:26:12 00:15:34:07 若你稱呼威廉布來克為魯莽的人，那麽Bosch又怎樣？
00:15:34:07 00:15:39:02 每一個人都很魯莽，除了那些愚蠢無用的人。 
00:15:42:05 00:15:50:01 很多警告已經出現。例如，我們可以說
00:15:50:02 00:15:53:00 我們早已知道地獄。
00:15:53:08 00:15:57:09 摩訶維瓦(Mahavira)以及所有的人都清楚的寫下有關地獄
00:15:57:10 00:16:00:05 這是地獄。
00:16:06:02 00:16:14:09 在西方，先後次序卻完全相反
00:16:17:06 00:16:22:00 甚麽是你的力量？只想想，想想你的內在
00:16:22:01 00:16:25:05 思維的力量是否重要？
00:16:25:06 00:16:28:05 我曾經告訴你思維的力量毫不重要
00:16:28:06 00:16:31:12 因為它是直線的，它只向一個方向移動，降低
00:16:31:13 00:16:39:13 再回來，它並無任何實體
00:16:39:13 00:16:46:07 它只是思維的投射，塑膠的。
00:16:48:13 00:16:52:08 你的情緒力量又怎麽樣？
00:16:52:09 00:16:56:14 情緒會把你帶到那裏？
00:16:59:05 00:17:03:09 你看你有情緒，你甚至有好的情緒。
00:17:03:11 00:17:07:02 例如，你很愛你的妻子
00:17:09:09 00:17:11:03 這可以把你帶到怎樣的境地？
00:17:11:04 00:17:16:02 有一位名為Tulsidasa的詩人，他很愛他的妻子，
00:17:16:02 00:17:18:11 她去了她母親的地方
00:17:19:11 00:17:26:00 他忍不住去找她
00:17:26:01 00:17:33:07 他爬上她的露台，把她嚇了一跳。 
00:17:33:08 00:17:34:07 她說︰「你怎樣爬上來？」
00:17:34:07 00:17:36:09 他說︰「你放了一條繩子在這裏。」她說︰「我沒有。」
00:17:36:10 00:17:39:03 他們看到一條大蛇在掛著。
00:17:41:07 00:17:45:02 所以她說︰「若你對神的愛有你對我的愛那麽多，
00:17:45:02 00:17:47:11 你可以處於怎樣的境地？
00:17:53:09 00:17:57:04 這個情緒可以把你帶來甚麽，帶來挫敗
00:17:57:05 00:18:00:09 帶來不愉快，帶來滅亡
00:18:03:09 00:18:07:10 思維的力量給你一種可怕被稱為自我的東西
00:18:07:10 00:18:10:03 它摧毀別人
00:18:10:03 00:18:12:09 情緒力量只會
00:18:12:10 00:18:17:13 令你叫喊，哭泣和令你常常感到不快樂。 
00:18:17:14 00:18:21:08 啊！我把我的很多的感情
00:18:21:09 00:18:24:09 投資在這樣的人身上，我得到甚麽？」
00:18:30:14 00:18:34:04 所以，這不是絕對的，而是相對的。
00:18:35:12 00:18:39:00 思維上你是零的若你不能摧毀別人
00:18:39:01 00:18:42:03 感情上你也是零的
00:18:42:04 00:18:50:03 若你不能以你的感情去控制別人
00:18:54:13 00:19:00:01 那麽，你擁有甚麽力量？
00:19:03:00 00:19:08:05 你的力量位於何處？它位於靈。在達至靈之前，
00:19:08:05 00:19:14:10 甚麽是你的力量？是靈量嗎？她在沉睡
00:19:14:11 00:19:17:12 那麽，甚麽是你的力量？
00:19:17:12 00:19:23:08 是你的貞操
00:19:24:13 00:19:31:00 若一位男士有貞操，他擁有貞潔的氣質
00:19:31:01 00:19:43:14 他以他的貞潔站立，它作出行動，那是可以成就事情
00:19:49:13 00:19:56:00 首先，貞操在你的健康上支付紅利
00:20:00:00 00:20:02:04 從他的面容上，你可以說
00:20:02:05 00:20:04:09 他是一位有貞操的人
00:20:04:09 00:20:15:04 就像在Shastras，通常一位聖人或一位brahmachari
00:20:15:04 00:20:17:11 即從未有性的人
00:20:17:11 00:20:20:04 面容常常都閃亮
00:20:20:05 00:20:25:12 我們可以說最偉大的brahmachari是錫呂‧克里希納
00:20:25:13 00:20:28:01 他有那麽多妻子
00:20:34:12 00:20:40:04 因為祂沒有浪費精力，沒有浪費注意力在這些上
00:20:40:04 00:20:42:14 祂全部的精力是內在的
00:20:43:00 00:20:46:12 今天當我坐車子來的時候，正下著雨
00:20:46:13 00:20:51:09 非常大風，也很冷，但因為我們在車內
00:20:51:09 00:20:59:02 對我們沒有任何影響，我們在車內很暖和
00:20:59:02 00:21:03:02 我們通過所有，沒有甚麽觸動我們
00:21:03:03 00:21:09:11 沒有甚麽煩擾我們，我們離開了，每事每物都很好，怎會這樣？
00:21:09:11 00:21:14:14 因為我們在車內
00:21:14:14 00:21:19:09 我們的車輛就是我們的貞潔
00:21:24:03 00:21:27:01 我們是那麽特別，別人必須尊重我們
00:21:27:02 00:21:31:02 必須對我們有敬意，若他們不這樣，我們便會生氣
00:21:34:12 00:21:41:12 你是否尊重自己？你是否尊重自己？
00:21:47:08 00:21:50:11 有時這就像
00:21:50:12 00:21:56:11 母親想向西方人灌輸印度文化
00:21:56:11 00:21:59:11 很多人都這樣想
