00:02:22:23 00:02:27:06 今天我們敬拜的毗濕奴摩耶
00:02:27:12 00:02:29:24 是錫呂‧克里希納的妹妹
00:02:33:15 00:02:36:21 我並沒有安排在國際崇拜中
00:02:37:07 00:02:38:18 敬拜她
00:02:39:23 00:02:42:21 但他們說，因為神的愛
00:02:44:07 00:02:50:10 當所有奉獻者聚集在一起時
00:02:51:15 00:02:54:18 神也會違反很多規例
00:02:55:14 00:03:01:15 這就是為甚麽這個崇拜獲准舉行
00:03:01:23 00:03:05:24 這個崇拜最少要做一次，我視這是個好想法
00:03:06:17 00:03:08:04 因為你的愛
00:03:08:18 00:03:15:07 和虔敬而對它渴望，
00:03:16:14 00:03:20:01 所以這個崇拜將會進行
00:03:21:23 00:03:23:24 這個時候
00:03:24:09 00:03:28:03 我自自然然的剛在英國
00:03:28:09 00:03:30:24 若這個崇拜要舉行，
00:03:31:06 00:03:32:21 理應在印度
00:03:33:21 00:03:39:04 因為這是敬拜
00:03:40:20 00:03:42:07 毗濕奴摩耶
00:03:43:20 00:03:49:01 她的種子不容易在
00:03:50:14 00:03:51:24 西方國家栽種
00:03:54:09 00:03:59:20 整個力量的編排是這樣的
00:04:01:12 00:04:05:20 我們首先有母親為力量，
00:04:06:14 00:04:08:01 她是太初之母
00:04:08:14 00:04:11:11 跟著有三個從她而來的力量
00:04:11:15 00:04:14:04 你們也知道，就是摩訶迦利，摩訶拉希什米，摩訶莎娃斯娃蒂
00:04:14:22 00:04:19:11 跟著孩子從祂們而來
00:04:21:17 00:04:23:06 還有兄弟姊妹
00:04:23:14 00:04:27:20 在創造我們
00:04:28:12 00:04:31:12 稱為妻子或配偶的力量之前
00:04:31:23 00:04:34:04 首先創造的是姊妹的力量
00:04:34:17 00:04:38:06 你們都知道，梵天婆羅摩，毗濕奴，濕婆神是
00:04:38:09 00:04:39:23 從這三個力量而來
00:04:40:03 00:04:42:07 祂們都擁有姊妹
00:04:43:03 00:04:45:15 祂們的姊妹亦都已婚
00:04:46:23 00:04:52:11 就像毗濕奴的妹妹帕娃蒂
00:04:52:22 00:04:55:15 她嫁給濕婆神
00:04:56:17 00:04:58:15 這是非常重要的你們要明白
00:04:59:01 00:05:02:11 這三個力量
00:05:02:14 00:05:06:23 常常對輪穴作出的影響
00:05:07:08 00:05:09:12 若你明白這些
00:05:09:17 00:05:10:22 力量的影響
00:05:11:07 00:05:12:15 你便會明白
00:05:12:22 00:05:16:12 毗濕奴摩耶是何等重要
00:05:16:22 00:05:21:22 毗濕奴摩耶是家庭裏的姊妹力量
00:05:22:07 00:05:26:18 女性是力量
00:05:27:06 00:05:31:09 男性則是活躍的力量
00:05:32:06 00:05:35:20 維護
00:05:36:06 00:05:41:17 這三個圍繞著他的力量
00:05:43:07 00:05:45:23 所以當男性的力量進入
00:05:46:07 00:05:48:18 對所有這些力量都有幫助，
00:05:50:22 00:05:56:14 令這些力量運作，與這些力量連上
00:05:57:20 00:06:01:12 要明白毗濕奴摩耶的力量是非常重要的
00:06:01:16 00:06:04:20 因為母親的力量保護你的純真
00:06:05:00 00:06:07:02 純真是最重要的
00:06:07:06 00:06:10:09 保護你的純真是母親的力量
00:06:10:22 00:06:16:02 而毗濕奴摩耶的力量則是保護你的貞潔
00:06:18:03 00:06:21:16 你有時可能不明白甚麽是貞潔，
00:06:21:22 00:06:24:05 甚麽是純真
00:06:24:22 00:06:28:23 純真是我們不需要作任何舉動
00:06:29:05 00:06:31:16 就如我們的房子裏有電力
00:06:32:09 00:06:36:14 電力就像存在於我們內裏純真
00:06:37:00 00:06:43:02 制定它則是藉由貞操
00:06:43:13 00:06:45:02 有人會說︰
00:06:45:06 00:06:48:12 「我純真地做這件事。」不，他不能夠
00:06:48:23 00:06:51:11 因為若你純真地做這件事情，
00:06:51:19 00:06:54:09 它不會傷害你的品格
00:06:54:19 00:06:58:23 你的純真或你的正直
00:06:59:12 00:07:01:01 所以，若有人這樣說
00:07:01:06 00:07:03:17 「我純真地做這事情。」這是錯的
00:07:04:06 00:07:08:00 因為若你純真地做任何事，事情變得貞潔
00:07:08:21 00:07:12:20 當純真被實踐，它變成貞操
00:07:13:17 00:07:17:04 你必須尊重你的貞操
00:07:18:04 00:07:21:14 貞操是毗濕奴摩耶在我們內裏的力量
00:07:21:18 00:07:24:10 是哥維(Gauri)的力量，是純潔的處女
00:07:24:15 00:07:26:03 她不會結婚
00:07:27:17 00:07:30:00 你們都知道毗濕奴摩耶是怎樣被創造
00:07:30:07 00:07:34:04 金沙(Kamsa)在她剛出生後便把她殺死
