00:02:26:14 00:02:28:09 问题是
00:02:35:23 00:02:38:20 我们未能
00:02:40:08 00:02:43:12 安排在你居留的地方附近煮食
00:02:43:23 00:02:45:20 所以你们要走很远的路
00:02:46:01 00:02:48:03 我想步行也不错
00:02:48:09 00:02:50:01 对你们很有帮助
00:02:50:09 00:02:54:04 对腹泻和其他毛病都有帮助
00:02:57:14 00:03:03:01 事实上，我到过这地方，却并未到过
00:03:07:23 00:03:11:20 酒店和居住的地方
00:03:13:14 00:03:17:18 我告诉你，有人把
00:03:18:07 00:03:21:12 一亩地捐给我，完全免费
00:03:21:22 00:03:24:20 是在另一面海边附近的地方，真的很漂亮
00:03:39:09 00:03:43:15 请你们每人都要寄一封感谢信给他
00:03:45:20 00:03:48:11 我肯定明年必定可以安排
00:03:48:17 00:03:50:14 得更好
00:03:51:20 00:03:55:20 以更合群的方式来安排
00:03:57:10 00:04:02:17 你们也知道
00:04:03:02 00:04:05:20 下次的旅程会是
00:04:07:09 00:04:11:06 经浦那、Rahuri 和 Akluj
00:04:12:04 00:04:16:06 这些地方对我们都是非常重要
00:04:16:23 00:04:21:12 因为我的先祖曾经统治过Rahuri
00:04:21:23 00:04:25:07 所以这地方很有力量
00:04:25:20 00:04:28:04 因为他们都是伟大的Devi bhaktas(女神的虔敬者)
00:04:28:12 00:04:32:15 还有所有的Naths，像Machhindranath，Gorakhnath
00:04:32:23 00:04:37:06 所有被称为avadutas已进化的灵
00:04:37:15 00:04:43:07 伟大原初导师的降世神祇
00:04:43:24 00:04:45:06 都曾在这地区工作
00:04:45:13 00:04:48:10 是他们最先公开的
00:04:48:24 00:04:50:13 谈论灵量
00:04:56:08 00:04:59:00 你们也知道，被称为Punyapattanam的浦那
00:04:59:09 00:05:03:11 长久以来都是一处神圣的地方
00:05:04:03 00:05:07:03 跟着你会到一处称为Nira的河流
00:05:07:17 00:05:13:17 它是以我的名字命名
00:05:15:03 00:05:19:19 我们购买了很多
00:05:20:02 00:05:21:14 在这河流附近的土地
00:05:21:22 00:05:23:17 会用作耕种
00:05:24:00 00:05:26:11 你也看到
00:05:26:17 00:05:28:22 你早晨沐浴的Bhima河
00:05:29:05 00:05:31:03 你会享受这河流
00:05:31:14 00:05:33:17 他们会邀请你到这里的一个宴会
00:05:34:00 00:05:36:09 一个二天的盛大宴会
00:05:36:19 00:05:38:00 这就是我为什么不来的原因
00:05:38:08 00:05:40:03 因为这期间没有任何讲座
00:05:40:11 00:05:43:11 你们在这里都会很享受
00:05:43:19 00:05:46:20 跟着你会到一处很有趣的名为Wani 的地方
00:05:47:03 00:05:49:00 这是一个山区车站
00:05:49:11 00:05:53:22 很漂亮的，那里还有一个水坝
00:05:54:11 00:05:57:14 跟着你们便回来
00:06:04:13 00:06:07:00 我要争取这个机会与你们谈话
00:06:07:08 00:06:10:06 因为我很少能有时间与你们谈话
00:06:12:06 00:06:18:10 外在的事物
00:06:18:22 00:06:22:00 都应是用来滋润你的升进
00:06:22:17 00:06:25:19 你必须看到自己内在有多少成就
00:06:26:03 00:06:28:19 你发展了何种品格
00:06:29:05 00:06:30:24 你有多不执着
00:06:31:10 00:06:34:22 多合群，多慷慨
00:06:35:22 00:06:37:22 要让人看到你这些品质
00:06:38:06 00:06:41:10 你要评价自己，不要叫他人评价你
00:06:41:24 00:06:44:14 你有多平衡，有多智慧
00:06:45:00 00:06:48:02 因为所有这些令你好好安顿下来
00:06:48:13 00:06:52:19 给你平衡
00:06:54:22 00:06:58:16 我不知道我们还有多少年能这样
00:06:59:03 00:07:00:19 我认为已经很好了
00:07:01:02 00:07:02:11 因为我感到
00:07:02:19 00:07:04:06 大家能量上的分别
00:07:04:13 00:07:07:11 即使在格纳帕提普蕾之前直到现在
00:07:07:19 00:07:09:14 都有极大的差别
00:07:09:22 00:07:13:16 事实上，我是从你那处取得凉风
00:07:20:07 00:07:23:02 所以升进是你们最关注的
00:07:23:08 00:07:25:21 也是你们所有人最关心的
00:07:26:03 00:07:27:21 你们来这里是为了升进
00:07:28:06 00:07:30:10 我知道必定有很多困难
00:07:30:19 00:07:32:14 很多不便
00:07:32:24 00:07:37:07 有些人还晒伤了皮肤，我很抱歉
00:07:37:24 00:07:42:22 在这个国家，极端的行为是被视为
