00:02:26:14 00:02:28:09 問題是
00:02:35:23 00:02:38:20 我們未能
00:02:40:08 00:02:43:12 安排在你居留的地方附近煮食
00:02:43:23 00:02:45:20 所以你們要走很遠的路
00:02:46:01 00:02:48:03 我想步行也不錯
00:02:48:09 00:02:50:01 對你們很有幫助
00:02:50:09 00:02:54:04 對腹瀉和其他毛病都有幫助
00:02:57:14 00:03:03:01 事實上，我到過這地方，卻並未到過
00:03:07:23 00:03:11:20 酒店和居住的地方
00:03:13:14 00:03:17:18 我告訴你，有人把
00:03:18:07 00:03:21:12 一畝地捐給我，完全免費
00:03:21:22 00:03:24:20 是在另一面海邊附近的地方，真的很漂亮
00:03:39:09 00:03:43:15 請你們每人都要寄一封感謝信給他
00:03:45:20 00:03:48:11 我肯定明年必定可以安排
00:03:48:17 00:03:50:14 得更好
00:03:51:20 00:03:55:20 以更合群的方式來安排
00:03:57:10 00:04:02:17 你們也知道
00:04:03:02 00:04:05:20 下次的旅程會是
00:04:07:09 00:04:11:06 經浦那、Rahuri 和 Akluj
00:04:12:04 00:04:16:06 這些地方對我們都是非常重要
00:04:16:23 00:04:21:12 因為我的先祖曾經統治過Rahuri
00:04:21:23 00:04:25:07 所以這地方很有力量
00:04:25:20 00:04:28:04 因為他們都是偉大的Devi bhaktas(女神的虔敬者)
00:04:28:12 00:04:32:15 還有所有的Naths，像Machhindranath，Gorakhnath
00:04:32:23 00:04:37:06 所有被稱為avadutas已進化的靈
00:04:37:15 00:04:43:07 偉大原初導師的降世神祇
00:04:43:24 00:04:45:06 都曾在這地區工作
00:04:45:13 00:04:48:10 是祂們最先公開的
00:04:48:24 00:04:50:13 談論靈量
00:04:56:08 00:04:59:00 你們也知道，被稱為Punyapattanam的浦那
00:04:59:09 00:05:03:11 長久以來都是一處神聖的地方
00:05:04:03 00:05:07:03 跟著你會到一處稱為Nira的河流
00:05:07:17 00:05:13:17 它是以我的名字命名
00:05:15:03 00:05:19:19 我們購買了很多
00:05:20:02 00:05:21:14 在這河流附近的土地
00:05:21:22 00:05:23:17 會用作耕種
00:05:24:00 00:05:26:11 你也看到
00:05:26:17 00:05:28:22 你早晨沐浴的Bhima河
00:05:29:05 00:05:31:03 你會享受這河流
00:05:31:14 00:05:33:17 他們會邀請你到這裏的一個宴會
00:05:34:00 00:05:36:09 一個二天的盛大宴會
00:05:36:19 00:05:38:00 這就是我為甚麽不來的原因
00:05:38:08 00:05:40:03 因為期間不能有任何講座
00:05:40:11 00:05:43:11 你們在這裏都會很享受
00:05:43:19 00:05:46:20 跟著你會到一處很有趣名為Wani 的地方
00:05:47:03 00:05:49:00 這是一個山區車站
00:05:49:11 00:05:53:22 很漂亮的，哪裏還有一個水壩
00:05:54:11 00:05:57:14 跟著你們便回來
00:06:04:13 00:06:07:00 我要爭取這個機會與你們談話
00:06:07:08 00:06:10:06 因為我很少能有時間與你們談話
00:06:12:06 00:06:18:10 外在的事物
00:06:18:22 00:06:22:00 都應是用來滋潤你的昇進
00:06:22:17 00:06:25:19 你必須看到自己內在有多少成就
00:06:26:03 00:06:28:19 你發展了何種品格
00:06:29:05 00:06:30:24 你有多不執著
00:06:31:10 00:06:34:22 多合群，多慷慨
00:06:35:22 00:06:37:22 要讓人看到你這些品質
00:06:38:06 00:06:41:10 你要評價自己，不要叫他人評價你
00:06:41:24 00:06:44:14 你有多平衡，有多智慧
00:06:45:00 00:06:48:02 因為所有這些令你好好安頓下來
00:06:48:13 00:06:52:19 給你平衡
00:06:54:22 00:06:58:16 我不知道我們還有多少年能這樣
00:06:59:03 00:07:00:19 我認為已經很好了
00:07:01:02 00:07:02:11 因為我感到
00:07:02:19 00:07:04:06 大家能量上的分別
00:07:04:13 00:07:07:11 即使在格納帕提普蕾之前直到現在
00:07:07:19 00:07:09:14 都有極大的差別
00:07:09:22 00:07:13:16 事實上，我是從你哪處取得涼風
00:07:20:07 00:07:23:02 所以昇進是你們最關注的
00:07:23:08 00:07:25:21 也是你們全部人最關心的
00:07:26:03 00:07:27:21 你們來這裏是為了昇進
00:07:28:06 00:07:30:10 我知道必定有很多困難
00:07:30:19 00:07:32:14 很多不便
00:07:32:24 00:07:37:07 有些人還矖傷了皮膚，我很抱歉
00:07:37:24 00:07:42:22 在這個國家，極端的行為是被視為
00:07:43:19 00:07:48:10 不恰當，所以你們要避免極端的行為
00:07:48:22 00:07:51:21 做得過分
00:07:52:14 00:07:54:17 實際上是偏向右邊或偏向左邊
00:07:55:00 00:07:57:14 所以請你們做任何事也不要過分
00:07:57:22 00:07:59:14 就如你們或許很喜歡
00:07:59:22 00:08:03:21 在Bhima河沐浴
00:08:04:24 00:08:08:03 在淺水的地方沐浴是很好的
00:08:08:10 00:08:10:16 但你們不應到深水的地方
00:08:10:22 00:08:14:11 我因此有些擔憂因為它是靜止的
00:08:14:19 00:08:17:05 你們仍要明白
00:08:17:14 00:08:20:14 怎樣控制自己，不要到
00:08:20:22 00:08:22:13 危險的地方
00:08:22:21 00:08:24:23 除此之外，對你
00:08:25:04 00:08:27:18 對整個霎哈嘉瑜伽運動
00:08:28:01 00:08:30:02 也對我是非常危險的
00:08:30:09 00:08:32:15 因為若你出事，我會既擔憂又失望
00:08:35:23 00:08:38:21 主要是
00:08:39:10 00:08:44:01 你要保持在中央
00:08:44:12 00:08:48:18 任何事也不要走向極端
00:08:49:04 00:08:52:02 若你在中央，每個人都會尊重你
00:08:52:10 00:08:54:09 若你走向極端，他們會以為
00:08:54:17 00:08:57:15 你有些不對勁，基本上是你不對勁
00:08:57:24 00:09:00:16 整個講座也會被你弄糟
00:09:01:01 00:09:03:23 我的意見是你要保持在中央
00:09:04:04 00:09:06:09 任何事也不要做得過分
00:09:06:18 00:09:11:01 一切都要保持正常的狀態
00:09:14:01 00:09:18:00 因為像這樣出門遠遊，你們都要大費周章
00:09:18:07 00:09:19:15 面向太陽
00:09:19:23 00:09:22:00 現在是馬哈拉斯特拉邦最寒冷的時候
00:09:22:06 00:09:25:08 所以你可以想像我們還能做些甚麽？
00:09:25:14 00:09:27:04 我是說我們要以
00:09:27:11 00:09:31:09 最理想的組合取得成效
00:09:33:14 00:09:36:12 很抱歉那些被矖傷的人
00:09:36:21 00:09:40:10 因為要醫治他們
00:09:40:18 00:09:41:18 所以我遲到了
00:09:42:03 00:09:45:18 講座也因此要延遲、延遲、延遲。我是說
00:09:46:09 00:09:49:15 太過分了，不要再這樣了
00:09:49:15 00:09:51:18 請不要再走在太陽下，沒必要這樣
00:09:52:01 00:09:53:17 你已有足夠的太陽
00:09:53:24 00:09:55:24 太陽融化了你的腦袋
00:09:56:09 00:09:58:10 令這個國家的人瘋癲
00:09:58:18 00:10:01:17 若你們走在太陽下，最終都會變成瘋子
00:10:02:01 00:10:04:15 腦袋也必定有某些事情發生
00:10:04:24 00:10:08:09 所以還是完全不要走在太陽下比較好
00:10:08:17 00:10:11:09 就像現在這樣就可以了，只一會兒就行
00:10:11:17 00:10:12:18 不要坐在太陽下
00:10:13:01 00:10:15:15 這是很吸引，我知道，因為你不能取得陽光
00:10:15:23 00:10:18:23 但這房間每一處都充滿陽光
00:10:19:06 00:10:21:15 所以你完全不需要坐在太陽下
00:10:21:23 00:10:24:09 坐在太陽下可能為你帶來麻煩
00:10:24:21 00:10:27:13 因為Akluj的太陽是太猛烈了
00:10:27:22 00:10:30:20 我告訴你這些是因為我未必能與你們同行
00:10:31:05 00:10:32:17 所以請好好照顧自己
00:10:32:24 00:10:34:11 這是你們唯一可以為我做的事情。
00:10:34:20 00:10:37:24 你必須要靜坐
00:10:38:05 00:10:39:22 必須為昇進而憂心
00:10:40:05 00:10:44:17 不要隨便把自己的東西四處放，要小心
00:10:47:05 00:10:50:03 我很高興他們
00:10:50:13 00:10:52:19 在摩訶拉希什米廟宇裏對你們那麽欣賞
00:10:53:06 00:10:55:06 他們尊重你們
00:10:55:14 00:10:57:18 給你們oti
00:10:58:01 00:11:00:22 他們真的很可愛的
00:11:01:03 00:11:04:08 接受你們，接受你的個人風格
00:11:04:14 00:11:06:03 接受你進入他們的社區
00:11:06:09 00:11:08:01 他們還說︰「我們分辨不出誰是印度人
00:11:08:09 00:11:11:03 誰不是。」因為我想在格納帕提普蕾
00:11:11:11 00:11:13:23 或許你們的皮膚變得
00:11:14:08 00:11:17:00 沒有那麽蒼白，他們說︰
00:11:17:06 00:11:19:01 我們分辨不出誰是誰
00:11:19:09 00:11:23:20 那很好，現在事情正在成就
00:11:24:02 00:11:28:11 我們的性情品性越來越相似
00:11:30:11 00:11:35:11 至於崇拜，之前已有三個崇拜
00:11:35:19 00:11:37:20 第四個是在格納帕提普蕾
00:11:38:03 00:11:40:03 這裏也有三個崇拜
00:11:40:09 00:11:42:24 這三個崇拜，我可以肯定
00:11:43:06 00:11:46:20 會是更安靜
00:11:47:02 00:11:48:16 成就得更多
00:11:48:22 00:11:51:06 事情會更好
00:11:52:22 00:11:56:00 若你有任何問題，可以告訴我
00:11:56:08 00:11:57:17 我們可以安排
00:11:58:00 00:12:02:14 但是要緊記，不要讓自己疲憊不堪
00:12:02:22 00:12:05:19 不要挨餓也不要過飽
00:12:06:03 00:12:10:24 任何極端的行為對這個旅程都是不好的
00:12:11:06 00:12:12:19 因為我想第二組人
00:12:13:00 00:12:14:14 會比我們之前
00:12:14:22 00:12:17:03 成就得更多
00:12:17:13 00:12:19:14 所以第二組人要嘗試
00:12:19:22 00:12:24:11 保持正常的生活，多放注意力在靈
00:12:24:19 00:12:26:24 在昇進上
00:12:28:13 00:12:31:16 最後，好消息是
00:12:31:22 00:12:33:18 你們很多人都想訂婚
00:12:34:02 00:12:36:02 我很高興他們可以
00:12:36:08 00:12:38:13 在浦尼或Rahuri訂婚
00:12:38:22 00:12:41:12 對想訂婚的人來說，這會是個好主意
00:12:41:21 00:12:45:04 若有任何人仍想結婚
00:12:47:01 00:12:50:21 請告訴我，我們或許
00:12:51:07 00:12:52:14 能在Rahuri作一點安排
00:12:52:24 00:12:55:24 但最好還是那些想訂婚的人
00:12:56:07 00:12:57:10 這是很容易辦到
00:12:57:19 00:12:59:02 這會是個好主意
00:12:59:10 00:13:02:08 任何人想訂婚，在離開浦尼前
00:13:02:21 00:13:04:13 請讓我知道
00:13:04:21 00:13:07:04 現在若有任何問題，或你想說些甚麽
00:13:07:10 00:13:08:04 請說吧
00:13:08:11 00:13:10:05 因為我不會再有機會與你們交談
00:13:10:15 00:13:13:02 現在這裏很少人
00:13:13:11 00:13:14:19 否則，在崇拜裏常常…
00:13:15:02 00:13:16:10 在浦尼，人數最少有
00:13:16:16 00:13:19:05 這裏的五倍
00:13:32:07 00:13:34:12 她說甚麽？
00:13:38:07 00:13:41:07 注意力不妥當？甚麽
00:13:50:01 00:13:52:02 甚麽？
00:13:55:10 00:13:58:01 (問題︰她想知道怎樣令注意力安頓下來
00:13:58:08 00:14:00:16 怎能進入深層的入靜)
00:14:01:17 00:14:05:01 重點是你放注意力在哪裏
00:14:05:22 00:14:08:09 你要多放注意力在周遭…
00:14:22:14 00:14:25:11 你要明白，在靜坐中，你先要討論這些
00:14:25:20 00:14:27:17 還有很多人可以告訴你
00:14:27:23 00:14:29:00 他們會把它成就
00:14:29:07 00:14:31:18 第二
00:14:32:00 00:14:34:15 你的雙眼最好是看著大地之母
00:14:35:20 00:14:38:12 最好是全神貫注在大地之母上
00:14:38:22 00:14:40:09 當你走路
00:14:40:20 00:14:42:14 要看著大地之母
00:14:42:23 00:14:44:06 當你與任何人交談
00:14:44:15 00:14:46:11 也要看著大地之母
00:14:46:22 00:14:49:00 你自會明白，你所吸收的一切都會比較好
00:14:49:09 00:14:52:22 你的專注力也較好，對嗎
00:14:56:01 00:14:58:12 想想
00:14:58:20 00:15:02:00 我們不要浪費我們的注意力是很好的
00:15:04:08 00:15:05:22 你漸漸的安頓下來
00:15:06:04 00:15:09:12 我想大部分第一次來的人
00:15:09:20 00:15:12:15 都會感到，在開始時把注意力穩定下來是有點困難
00:15:12:23 00:15:14:08 但你慢慢會做到
00:15:14:14 00:15:17:11 因為我們的注意力先放在一些小事上
00:15:17:19 00:15:21:19 瑣碎的事情上，例如我要坐在地上
00:15:22:04 00:15:24:11 或你要坐巴士來
00:15:24:17 00:15:26:20 或是某些你在某處看到的不潔的事情
00:15:27:01 00:15:29:08 我們的注意力常常放在別人的缺點
00:15:29:15 00:15:31:11 漏洞或不潔的事情上
00:15:31:20 00:15:33:12 因為注意力本來就是這樣
00:15:33:20 00:15:36:17 跟著注意力開始放在漂亮的地方
00:15:37:00 00:15:38:19 小小的事情你開始看到它漂亮之處
00:15:39:00 00:15:42:06 一些瑣碎細微的事情你開始看到上天
00:15:42:14 00:15:44:11 這個時候你便知道
00:15:44:17 00:15:47:19 你的注意力享受一切
00:15:48:01 00:15:49:22 通常我們的注意力
00:15:50:04 00:15:51:23 特別是當我們把注意力
00:15:52:06 00:15:53:09 放在錯誤的事情上
00:15:53:17 00:15:55:19 這裏有任何漏洞？我們開始批判每一個人
00:15:56:01 00:15:57:11 批判每一處地方
00:15:57:20 00:16:01:00 看看這裏，若你坐在這裏，對我來說，這地方真的很美妙
00:16:01:08 00:16:04:12 對你，可能這些只是一些劣等的事情
00:16:04:19 00:16:07:08 你們只會想著這些事情
00:16:07:15 00:16:09:17 對我來說，它是很漂亮
00:16:10:04 00:16:13:11 因為我看到這件漂亮的紗麗在這裏張開
00:16:13:18 00:16:16:17 花朵安排得很漂亮，很美麗的花藝
00:16:16:23 00:16:18:01 是那麽的特別
00:16:18:10 00:16:21:01 還有這個背景，一切都是做得那麽仔細小心
00:16:21:08 00:16:22:12 他們怎樣來到這裏
00:16:22:18 00:16:24:19 他們怎樣把這些東西繫上
00:16:25:02 00:16:26:01 這是很不凡的
00:16:26:09 00:16:27:23 我一想到所有這些事情
00:16:28:06 00:16:30:20 會感到極之喜悅
00:16:31:03 00:16:33:15 我的孩子很辛勤的工作，把這裏裝飾得很好
00:16:34:00 00:16:36:01 這是非常好，他們是怎能安排得那樣好
00:16:36:09 00:16:39:14 我滿腦袋都想著這些，令我感到很振奮
00:16:39:22 00:16:42:12 我看不到劣等的事物，看不到其他
00:16:42:20 00:16:45:15 你看到甚麽，你的注意力便在哪裏
00:16:46:01 00:16:49:00 所以嘗試看一些美麗的事物
00:16:49:19 00:16:52:08 有那麽多漂亮的東西我們可以去看
00:16:52:14 00:16:55:12 我現在看到的是我的孩子的心
00:16:55:20 00:16:58:11 他們真心實意的做這些事情，不是嗎
00:16:58:19 00:17:00:06 若你有深度，你便能看到
00:17:00:12 00:17:02:03 他們是怎樣甜美的張開紗麗
00:17:02:11 00:17:04:17 怎樣把花朵撒開，怎樣做這些事情
00:17:05:01 00:17:08:09 是注意力，注意力放在哪裏
00:17:08:19 00:17:11:17 當你看到自己是︰「我怎樣可以舒適點？
00:17:11:23 00:17:13:15 我要擁有這些，我要擁有那些
00:17:13:23 00:17:16:01 你便沒有喜樂
00:17:16:15 00:17:19:08 喜樂是來自你深層的
00:17:19:14 00:17:20:17 看到他們為我們做了些甚麽
00:17:20:23 00:17:21:23 他們是怎樣為我們工作
00:17:22:08 00:17:23:17 怎樣為我們帶來物品
00:17:24:00 00:17:25:09 怎樣以愛心為我們烹調食物
00:17:25:17 00:17:26:17 毫無疑問
00:17:26:23 00:17:28:20 相比他們，你甚麽也沒有做
00:17:29:03 00:17:32:20 你真的像王室人員那樣走動…
00:17:33:15 00:17:35:09 他們必須要這樣做
00:17:35:15 00:17:39:06 特別是格納帕提普蕾是一處很艱苦的地方
00:17:39:12 00:17:41:09 人們要老遠從那格浦爾來
00:17:41:17 00:17:44:03 五十人來這裏為你們煮食
00:17:46:03 00:17:47:15 錢不是萬能
00:17:48:00 00:17:50:23 即使你想付錢，也辦不到。是愛心
00:17:51:08 00:17:53:18 是感情，是注意力
00:17:54:01 00:17:58:03 是慷慨的照顧客人
00:18:04:19 00:18:07:02 我們必須享受
00:18:07:11 00:18:10:13 他們為我們做的一切，我們是那麽享受
00:18:10:21 00:18:13:08 這就是你的心怎樣變得越來越有深度
00:18:13:15 00:18:15:00 但若你心是扭曲的
00:18:15:07 00:18:18:14 只看到錯事、壞事
00:18:18:21 00:18:20:15 或類似的事情，或對一些事情︰
00:18:20:23 00:18:22:12 我該買些甚麽？我該買些甚麽？
00:18:22:20 00:18:24:14 只是這樣，你便是昏了頭
00:18:24:21 00:18:28:15 若你真心的想買些好東西
00:18:28:23 00:18:31:03 你便能找到你想買的
00:18:31:20 00:18:33:23 也可以很快的買到
00:18:34:06 00:18:37:23 當我昨天為所有中心購物時
00:18:38:04 00:18:39:11 我想這個價值的東西
00:18:39:17 00:18:42:20 只需一個盧比
00:18:43:01 00:18:45:14 我很快就能為所有印度的中心購買到需要的物品
00:18:46:21 00:18:49:17 因為是為他們購買，我會更好
00:18:49:23 00:18:53:20 若是為我自己，我想我不會辦得那麽好
00:18:54:21 00:18:58:00 你會很驚訝，我從不為自己購買甚麽
00:18:58:17 00:19:00:18 我沒有時間
00:19:03:01 00:19:06:21 你們已經給我很多東西，我不用再購買甚麽
00:19:07:12 00:19:10:03 這是你怎樣對待事物，怎樣辦事
00:19:10:09 00:19:11:16 怎樣把事情成就的方式
00:19:11:23 00:19:14:16 昨天我到過的商店是充滿芬芳
