00:00:38:23 00:00:41:17 很抱歉我迟到了
00:00:41:18 00:00:49:00 我不知道这个讲座是在这样漂亮的地方举行
00:00:56:18 00:01:04:12 你在这里看到一幅米开朗基罗(Michelangelo)
00:01:06:07 00:01:16:10 表达上天的愿望，你的父亲，你得到拯救
00:01:17:22 00:01:23:15 得到帮助以及可以成事的油画
00:01:29:00 00:01:49:13 德国正在发生很巨大，富侵略性的事件
00:01:51:07 00:02:06:18 为西式的生活带来毁灭性的影响
00:02:07:05 00:02:11:00 价值系统被摧毁
00:02:11:10 00:02:17:00 正道被扰乱
00:02:18:10 00:02:22:10 女人的言行开始像男人
00:02:24:00 00:02:28:00 很多人死亡
00:02:29:08 00:02:32:10 非常，非常年青的人死去
00:02:32:15 00:02:36:10 他们的愿望不能得到满足
00:02:36:15 00:02:52:15 他们的生命只能为他们带来战争
00:02:57:02 00:03:00:17 是某种热浪来临
00:03:02:10 00:03:06:12 摧毁所有精微的事物
00:03:07:20 00:03:14:13 当大自然想喘息或当它感到愤怒
00:03:15:03 00:03:21:00 它只会摧毁粗糙的东西
00:03:22:03 00:03:25:20 但当人类开始摧毁
00:03:26:00 00:03:34:07 他们连一些精微的东西也会毁灭，像你们的价值系统
00:03:34:15 00:03:41:22 你们的品格，你们的贞操，你们的纯真，你们的宽容
00:03:47:12 00:03:50:20 现在的战争都是在精微层面
00:03:52:07 00:03:55:09 我们必须明白所有这些对西方
00:03:55:15 00:04:02:15 对西方的品格
00:04:04:00 00:04:07:18 都带来毁灭性的影响
00:04:08:17 00:04:18:18 首先，我们要尽力去修补它，修正它
00:04:21:00 00:04:28:11 并且令它可以独立
00:04:30:17 00:04:37:03 因为人们失去了他们的个性，他们的传统
00:04:39:15 00:04:42:13 他们没有精神支柱，没有根
00:04:44:03 00:04:49:10 他们开始朝向任何可以
00:04:49:12 00:04:58:24 带给他们理性经验的方向走
00:05:04:05 00:05:07:12 女人变得非常独立
00:05:07:13 00:05:12:22 她们以为自己能解决所有的问题
00:05:16:00 00:05:19:17 她们以为自己可以变成像男人一样
00:05:20:00 00:05:25:00 在这里，问题更严重
00:05:30:08 00:05:32:05 因为女人始终是女人
00:05:32:15 00:05:37:02 但一种细小被称为在她之内的男人的品质存在着
00:05:38:00 00:05:44:10 当她逃避她的本质
00:05:44:24 00:05:49:00 而去发展她拥有很少的品质时
00:05:50:10 00:05:54:12 她就变得荒谬
00:05:55:22 00:06:00:00 她可能是被很多已死的男人附上了身
00:06:02:05 00:06:10:03 她想成为男人的欲望，吸引很多
00:06:10:15 00:06:14:00 想进入女人脑袋的邪灵
00:06:16:03 00:06:22:15 当邪灵附上女人的身上
00:06:24:23 00:06:27:03 它们的装扮是女人但思维却是魔鬼
00:06:30:13 00:06:32:24 那位女人看不到这些
00:06:33:18 00:06:36:17 或许因为在俗世
00:06:36:24 00:06:40:02 拥有这些邪魔的品质令她们很成功
00:06:41:10 00:06:46:12 她们可能比较富裕，她们可能可以控制每一个人
00:06:48:17 00:06:53:22 她们可能变得像男人一样一丝不拘，完全实事求事
00:06:56:17 00:07:04:12 非常整齐，清洁，但却缺乏所有美丽和甜美
00:07:10:03 00:07:20:17 这些妇女最终变成像吸血鬼一般
00:07:22:07 00:07:25:08 因此，虽然战争已经结束
00:07:25:08 00:07:30:10 它仍然藉由德国的妇女作出行动
00:07:36:00 00:07:38:17 我之前也有听过这种侵袭
00:07:39:18 00:07:43:24 有些女人被称为Amazonic
00:07:48:22 00:07:52:05 现在历史又再重演
00:07:54:05 00:07:57:08 有一次我与一位德国女士有一个面谈
00:07:58:18 00:08:02:10 我对她的态度感到很惊讶
00:08:02:24 00:08:08:00 因为我感到仍有纳粹主义在她之内，一些纳粹党的
00:08:08:20 00:08:11:22 邪灵在她内里，她有双重性格，一方面
00:08:11:23 00:08:15:00 她说话很甜美，另一方面
00:08:19:00 00:08:21:00 她是一位纳粹党人
00:08:21:02 00:08:29:17 他们很狡猾地抓住一些论点
00:08:31:10 00:08:34:17 首先他们说
00:08:37:18 00:08:42:03 我们偏向受压迫的人，像印度
00:08:43:07 00:08:44:23 印度人是雅利安人(Aryans)，我们是雅利安人
00:08:46:23 00:08:54:17 我们同情雅利安人
00:08:57:13 00:08:59:10 印度人是有灵性的人
00:09:00:00 00:09:05:15 他们感到他们像印度人，你相信吗？
00:09:08:12 00:09:13:10 一是生活的质素必须改善
00:09:15:12 00:09:20:20 我曾经告诉你们很多次
00:09:20:24 00:09:23:02 男人的品质与女人不同
00:09:24:17 00:09:29:17 若女人想象男人
00:09:30:22 00:09:33:18 她们便不能恰如其分的有任何成就
00:09:33:24 00:09:36:00 我们有很多这样的例子
00:09:36:10 00:09:40:00 你们都见过毛泽东的妻子
00:09:41:22 00:09:45:00 也见过蒋介石太太
00:09:45:13 00:09:49:20 以及现在那位名为Carlos的第一夫人
00:09:49:22 00:09:53:13 她的名字是马可斯(Marcos)
00:09:54:17 00:09:56:20 很多女人都是这样
00:09:58:07 00:10:02:03 当她们想象男人，事情都变得一团糟
00:10:04:12 00:10:06:24 历史上，我们有很多妇女
00:10:07:10 00:10:11:15 印度的妇女都装备完善
00:10:11:16 00:10:14:03 我们有像Jhansi Ki Rani的女士，
00:10:14:05 00:10:18:07 她对抗英国 她是一位寡妇
00:10:18:08 00:10:24:18 她背着她的孩子与英国抗争
00:10:27:00 00:10:33:08 他们说她的马从180尺的
00:10:33:24 00:10:37:00 堡垒中的炮塔跳下
00:10:38:15 00:10:40:23 英国人也有把这记录下来
00:10:41:00 00:10:45:10 虽然他们捉拿到Jhansi，得到胜利
00:10:45:12 00:10:48:17 但荣耀却归于Jhansi Ki Rani
00:10:48:24 00:10:50:18 印度有很多伟大的女士
00:10:50:19 00:10:52:23 像Nur Jahan，她是另一位伟大的女人
00:10:53:02 00:10:56:00 我们还有Chand Bibi和Ahalyabai
00:10:56:05 00:11:00:00 她们全都是女人，她们没有男人的自我
00:11:02:13 00:11:08:20 她们可以工作，在办公室与男人一起工作
00:11:08:22 00:11:11:18 但并无需要变得像男人一样
00:11:11:20 00:11:14:23 我以自己为例告诉你
00:11:16:07 00:11:19:12 我必须在勒克脑(印度北部城市)建造一所房子
00:11:21:22 00:11:27:10 我以女人的作事方式建造这所房子
00:11:27:24 00:11:29:24 一所很好的房子
00:11:30:00 00:11:37:24 比任何男人建的好，以非常非常便宜的价钱建成
00:11:39:13 00:11:43:00 若是男人，他们通常
00:11:44:07 00:11:46:00 会找一位建筑师先去量度
00:11:46:24 00:11:49:24 跟着他会预先把所有东西装配下去
00:11:50:10 00:11:55:08 他的自我令他到一些昂贵的地方购买需要的物品
00:11:55:15 00:11:59:00 所有要买的东西都很昂贵，他被这些所欺骗
00:12:02:23 00:12:08:05 同样因为他的自我，令他支付昂贵的工资以及
00:12:09:05 00:12:13:10 雇用某些人。他主管每事每物，他是主管
00:12:16:00 00:12:18:05 我则以完全不同的方式去做，
00:12:20:00 00:12:25:00 我有钱，我会找最好的人
00:12:25:20 00:12:30:06 拥有最好砖块的人
00:12:30:24 00:12:34:00 房子是由砖块所建成
00:12:35:10 00:12:37:23 那么你还需要什么？
00:12:37:24 00:12:41:20 就如女人烹调食物
00:12:42:12 00:12:44:20 你也需要沙粒
00:12:45:20 00:12:52:23 跟着你需要水泥，钢筋和劳工
00:12:54:17 00:12:58:00 我不会像男人那样
00:13:00:02 00:13:06:24 我只要找出谁人出售最好的砖块
00:13:09:22 00:13:13:13 他说︰「我没有钱，因为我做了这个砖窑
00:13:13:24 00:13:16:06 把它填满砖块
00:13:16:08 00:13:20:20 因此你需要付订金
00:13:21:17 00:13:25:12 我说︰「好吧！我要购买一整个砖窑
00:13:27:02 00:13:29:02 需要付多少钱？
00:13:29:10 00:13:31:03 他说︰「五千卢比就够了。」
00:13:32:00 00:13:34:15 但他说︰「若这砖窑告吹
00:13:34:20 00:13:37:08 或它有任何不妥，或它不发火
00:13:37:10 00:13:39:15 这是你需要小心的。我说︰「没有关系
