00:00:38:23 00:00:41:17 很抱歉我遲到了
00:00:41:18 00:00:49:00 我不知道這個講座是在這樣漂亮的地方舉行
00:00:56:18 00:01:04:12 你在這裏看到一幅米開朗基羅(Michelangelo)
00:01:06:07 00:01:16:10 表達上天的願望，你的父親，你得到拯救
00:01:17:22 00:01:23:15 得到幫助以及可以成事的油畫
00:01:29:00 00:01:49:13 德國正在發生很巨大，富侵略性的事件
00:01:51:07 00:02:06:18 為西式的生活帶來毀滅性的影響
00:02:07:05 00:02:11:00 價值系統被摧毀
00:02:11:10 00:02:17:00 正道被擾亂
00:02:18:10 00:02:22:10 女人的言行開始像男人
00:02:24:00 00:02:28:00 很多人死亡
00:02:29:08 00:02:32:10 非常，非常年青的人死去
00:02:32:15 00:02:36:10 他們的願望不能得到滿足
00:02:36:15 00:02:52:15 他們的生命只能為他們帶來戰爭
00:02:57:02 00:03:00:17 是某種熱浪來臨
00:03:02:10 00:03:06:12 摧毀所有精微的事物
00:03:07:20 00:03:14:13 當大自然想喘息或當它感到憤怒
00:03:15:03 00:03:21:00 它只會摧毀粗糙的東西
00:03:22:03 00:03:25:20 但當人類開始摧毀
00:03:26:00 00:03:34:07 他們連一些精微的東西也會毀滅，像你們的價值系統
00:03:34:15 00:03:41:22 你們的品格，你們的貞操，你們的純真，你們的寛容
00:03:47:12 00:03:50:20 現在的戰爭都是在精微層面
00:03:52:07 00:03:55:09 我們必須明白所有這些對西方
00:03:55:15 00:04:02:15 對西方的品格
00:04:04:00 00:04:07:18 都帶來毀滅性的影響
00:04:08:17 00:04:18:18 首先，我們要盡力去修補它，修正它
00:04:21:00 00:04:28:11 並且令它可以獨立
00:04:30:17 00:04:37:03 因為人們失去了他們的個性，他們的傳統
00:04:39:15 00:04:42:13 他們沒有精神支柱，沒有根
00:04:44:03 00:04:49:10 他們開始朝向任何可以
00:04:49:12 00:04:58:24 帶給他們理性經驗的方向走
00:05:04:05 00:05:07:12 女人變得非常獨立
00:05:07:13 00:05:12:22 她們以為自己能解決所有的問題
00:05:16:00 00:05:19:17 她們以為自己可以變成像男人一樣
00:05:20:00 00:05:25:00 在這裏，問題更嚴重
00:05:30:08 00:05:32:05 因為女人始終是女人
00:05:32:15 00:05:37:02 但一種細小被稱為在她之內的男人的品質存在著
00:05:38:00 00:05:44:10 當她逃避她的本質
00:05:44:24 00:05:49:00 而去發展她擁有很少的品質時
00:05:50:10 00:05:54:12 她就變得荒謬
00:05:55:22 00:06:00:00 她可能是被很多已死的男人附上了身
00:06:02:05 00:06:10:03 她想成為男人的欲望，吸引很多
00:06:10:15 00:06:14:00 想進入女人腦袋的邪靈
00:06:16:03 00:06:22:15 當邪靈附上女人的身上
00:06:24:23 00:06:27:03 它們的裝扮是女人但思維卻是魔鬼
00:06:30:13 00:06:32:24 那位女人看不到這些
00:06:33:18 00:06:36:17 或許因為在俗世
00:06:36:24 00:06:40:02 擁有這些邪魔的品質令她們很成功
00:06:41:10 00:06:46:12 她們可能比較富裕，她們可能可以控制每一個人
00:06:48:17 00:06:53:22 她們可能變得像男人一樣一絲不拘，完全實事求事
00:06:56:17 00:07:04:12 非常整齊，清潔，但卻缺乏所有美麗和甜美
00:07:10:03 00:07:20:17 這些婦女最終變成像吸血鬼一般
00:07:22:07 00:07:25:08 因此，雖然戰爭已經結束
00:07:25:08 00:07:30:10 它仍然藉由德國的婦女作出行動
00:07:36:00 00:07:38:17 我之前也有聽過這種侵襲
00:07:39:18 00:07:43:24 有些女人被稱為Amazonic
00:07:48:22 00:07:52:05 現在歷史又再重演
00:07:54:05 00:07:57:08 有一次我與一位德國女士有一個面談
00:07:58:18 00:08:02:10 我對她的態度感到很驚訝
00:08:02:24 00:08:08:00 因為我感到仍有納粹主義在她之內，一些納粹黨的
00:08:08:20 00:08:11:22 邪靈在她內裏，她有雙重性格，一方面
00:08:11:23 00:08:15:00 她說話很甜美，另一方面
00:08:19:00 00:08:21:00 她是一位納粹黨人
00:08:21:02 00:08:29:17 他們很狡猾地抓住一些論點
