00:03:31:03 00:03:36:22 我認為這是一個很難得的機會
00:03:37:08 00:03:40:09 在你們即將離開這個國家時
00:03:40:22 00:03:44:01 讓我今天在孟買
00:03:47:14 00:03:51:08 這個特別的崇拜
00:03:51:08 00:03:53:08 與你們重逢
00:03:54:01 00:03:58:23 這是敬拜太陽的崇拜
00:04:00:17 00:04:03:14 稱為”Makar Sankrant”
00:04:04:22 00:04:11:09 ”Makar”是南回歸線(tropic of Capricorn)
00:04:11:16 00:04:13:08 南回歸線是”Makar”
00:04:14:06 00:04:18:00 現在太陽正從南回歸線
00:04:19:12 00:04:22:13 移向北回歸線
00:04:23:05 00:04:26:03 因為與太陽有關
00:04:26:14 00:04:28:05 所以這日子是固定的
00:04:28:05 00:04:31:08 印度曆法，這是唯一固定的日子
00:04:31:08 00:04:34:12 因為它與太陽有關
00:04:34:12 00:04:36:09 這一次，我不知道為甚麽，甚麽發生了
00:04:36:09 00:04:38:09 他們把它定在這個月的十五號
00:04:38:20 00:04:41:03 它通常都在十四號
00:04:42:22 00:04:46:10 今天，它正在改變
00:04:47:19 00:04:51:22 我是說季節將會轉變
00:04:52:11 00:04:58:11 因為這種移動，有六個月
00:04:58:17 00:05:01:20 太陽移向南半球
00:05:02:05 00:05:06:11 令南半球暖和，太陽會移向北半球
00:05:08:22 00:05:10:08 是從明天開始
00:05:10:14 00:05:15:10 所以今天是最後一天
00:05:15:17 00:05:18:02 以印度人的理解
00:05:18:08 00:05:22:03 今天是最寒冷的一天
00:05:22:14 00:05:25:10 之後熱力便開始增長
00:05:25:24 00:05:30:08 我們可以作任何吉祥的事情
00:05:30:08 00:05:35:05 在這個崇拜後任何吉祥的事情都可以做
00:05:35:22 00:05:37:13 在夏天
00:05:37:13 00:05:40:01 雖然夏天很熱
00:05:40:07 00:05:43:21 人們仍想受太陽支配
00:05:44:04 00:05:45:19 想太陽給我們溫暖
00:05:46:05 00:05:51:22 只因為有太陽，所有田地，所有蔬菜
00:05:51:22 00:05:54:17 所有水果，萬物都在生長
00:05:55:09 00:05:59:19 這就是為甚麽當太陽不在這裏的六個月
00:06:00:00 00:06:01:16 我們稱這時候為”Sankrant”
00:06:01:16 00:06:03:23 意思是災難
00:06:04:17 00:06:06:20 當然在歐洲
00:06:06:20 00:06:12:17 例如英國或美國
00:06:12:17 00:06:18:01 太陽不在時也是災難
00:06:18:01 00:06:23:09 在這裏，今天是
00:06:23:09 00:06:26:23 Sankrant,完結的日子
00:06:27:04 00:06:29:12 意思是災難完結的日子
00:06:31:03 00:06:33:14 他們會吃一些
00:06:33:23 00:06:37:17 混入芝麻的甜蜜的食品
00:06:38:12 00:06:40:24 因為芝麻給我們熱量
00:06:41:07 00:06:45:21 所以在今天這個最寒冷的日子，他們想給予芝麻
00:06:46:03 00:06:49:15 也想你保留熱量
00:06:49:21 00:06:53:01 調節自己去適應即將來臨的熾熱
00:06:53:08 00:06:56:01 這樣想
00:06:56:01 00:06:57:09 是非常粗略
00:06:57:09 00:06:58:20 非常粗糙的層次
00:06:58:20 00:07:02:09 我們必須令人保持足夠的溫暖
00:07:02:15 00:07:04:14 也有人說
00:07:04:20 00:07:10:22 溫暖的愛必須
00:07:10:22 00:07:14:03 在這時候向人表達，因為這是最寒冷的日子
00:07:14:03 00:07:17:23 所以他們說︰「我們給你這特別的東西
00:07:18:04 00:07:21:01 讓你能說一些甜美的話。」就是”goad goad bola”
00:07:21:01 00:07:22:22 意思是你要對我們說一些甜美的話
00:07:24:00 00:07:27:15 住在溫暖地方的人比
00:07:27:21 00:07:30:17 住在寒冷地方的人甜美
00:07:31:01 00:07:34:14 因為大自然對住在寒冷地方的人很苛刻
00:07:34:14 00:07:36:20 我不會責備這些人的品性
00:07:37:04 00:07:39:14 因為大自然真的很嚴酷
00:07:39:24 00:07:41:22 在印度，你可以住在任何地方
00:07:42:05 00:07:43:18 可以住在樹下
00:07:44:08 00:07:46:22 住在森林
00:07:46:22 00:07:49:04 任何地方你也可以快樂地生活
00:07:49:10 00:07:53:04 只要有水喝，有水沐浴
00:07:53:13 00:07:57:07 居住在這裏
00:07:57:13 00:08:00:05 不用面對居住在世界其他地方的問題
00:08:00:05 00:08:02:08 哪裏若你要外出
00:08:02:08 00:08:05:24 便要花十五，二十分鐘穿衣
00:08:05:24 00:08:07:22 這裏你立即可以走出屋外
00:08:07:22 00:08:10:22 在夏天，你可以門戶大開
00:08:11:07 00:08:13:18 大自然沒有給我們
00:08:13:24 00:08:15:22 帶來任何麻煩
00:08:15:22 00:08:20:15 在夏天，大自然變得很友善
00:08:20:21 00:08:25:11 因為樹木蒼翠繁茂，非常青綠
00:08:25:18 00:08:28:18 人們在這時候都感到很快樂
00:08:29:02 00:08:37:19 所有活動都與太陽的能量有關
00:08:39:22 00:08:43:14 在西方，陽光少得多
00:08:43:24 00:08:45:04 因此，
00:08:45:04 00:08:47:02 人們大多會留在屋內
00:08:47:08 00:08:49:16 只利用人功化的熱力或其他熱力
00:08:49:22 00:08:52:00 門戶都關上
00:08:52:11 00:08:53:22 心扉也關上
00:08:54:14 00:08:57:24 因此他們很難
00:09:00:02 00:09:02:00 與人溝通
00:09:02:23 00:09:07:08 當你越往你的國家南面走
00:09:07:14 00:09:09:14 你發現人也越熱情
00:09:10:05 00:09:11:19 越單純
00:09:14:20 00:09:17:16 非常好客
00:09:18:09 00:09:23:01 因為太陽，心扉也越開放
00:09:23:09 00:09:27:01 一種邀請你的心
00:09:27:10 00:09:30:18 你現在看看霎哈嘉瑜伽
00:09:30:24 00:09:33:08 太陽代表右面
00:09:33:08 00:09:36:20 月亮則代表左面
00:09:37:12 00:09:38:24 偏向月亮的人
00:09:39:06 00:09:42:13 有欲望但沒有行動
00:09:43:15 00:09:45:19 除此之外，若過於
00:09:45:19 00:09:48:18 偏向月亮，可以很具毀滅性
00:09:49:04 00:09:51:21 因為若你坐在屋內無所事事
00:09:52:05 00:09:56:22 例如這些日子很多人失業
00:09:57:11 00:10:01:18 沒有工作----你會想得太多
00:10:01:18 00:10:07:10 這種思考只有欲望
00:10:07:10 00:10:08:21 卻沒有行動
00:10:09:02 00:10:10:21 不作出行動
00:10:10:21 00:10:13:11 這種力量可以變得非常富毀滅性
00:10:13:22 00:10:16:10 這就是我們發現
00:10:16:10 00:10:18:10 當他們說︰「空洞的思維
00:10:18:16 00:10:24:10 空洞的思維是魔鬼的工作室
00:10:25:05 00:10:27:15 當人只有欲望而沒有行動
00:10:28:07 00:10:30:07 沒有行動
00:10:30:07 00:10:32:16 可以很富毀滅性…
00:10:40:22 00:10:45:04 溫暖的國家的境況
00:10:45:04 00:10:46:21 與不溫暖的國家
00:10:46:21 00:10:49:05 是不一樣的
00:10:49:24 00:10:53:10 在非常溫暖的國家
00:10:53:10 00:10:54:19 例如非洲
00:10:54:19 00:10:58:05 因為太熱，情況就很複雜了
00:10:58:05 00:11:04:08 就像我們有回歸線
00:11:05:04 00:11:07:15 我的意思是赤道通過一個地方
00:11:07:21 00:11:10:18 把哪地方加熱
00:11:10:18 00:11:15:01 哪地方因此有很多熱帶密林
00:11:15:01 00:11:17:24 非常高的樹木
00:11:17:24 00:11:21:24 樹葉遮蔽整個地方
00:11:22:13 00:11:24:10 令陽光
00:11:25:08 00:11:30:18 不能穿透
00:11:31:23 00:11:33:15 因此哪裏很黑
00:11:33:22 00:11:35:07 充滿黑暗
00:11:35:20 00:11:39:17 這種極端也在
00:11:39:23 00:11:42:12 極之寒冷的季節發生
00:11:42:20 00:11:44:17 居住在哪裏的人
00:11:44:23 00:11:49:11 很自然因為沒有太多陽光
00:11:49:18 00:11:51:18 也不太生長
00:11:52:00 00:11:54:20 他們可能是很原始的人
00:11:55:04 00:11:57:09 也可能是很有野心
00:11:57:09 00:12:00:03 就像他們從動物身上學習事物
00:12:00:03 00:12:02:23 因此他們可能變得很富侵略性
00:12:03:11 00:12:06:01 所以必須要平衡
00:12:06:15 00:12:08:07 平衡就是
00:12:08:15 00:12:15:18 欲望與行動兼備
00:12:16:03 00:12:21:11 問題是在人類的
00:12:21:18 00:12:24:23 氛圍下有分歧
00:12:25:09 00:12:30:06 這個國家的這部分只有思考
00:12:30:06 00:12:34:00 另一部分則只有行動
00:12:34:23 00:12:37:20 在這種情況下，甚麽也成就不了
00:12:38:07 00:12:42:09 所以必須有平衡
00:12:42:17 00:12:45:22 要處於中脈(sushumna)
00:12:45:22 00:12:49:09 我們可以說中脈
00:12:50:22 00:12:53:18 中脈是赤道----不，
00:12:53:18 00:12:55:03 不是赤道
00:12:55:03 00:12:58:20 是母親大地的軸心
00:12:59:04 00:13:02:04 母親大地的軸心就是中脈
00:13:02:11 00:13:04:04 它必須行動
00:13:04:04 00:13:07:06 當它來到軸心
00:13:09:07 00:13:13:04 我們要明白自己必須處於軸心
00:13:13:10 00:13:17:21 我們在軸心，這才是平衡
00:13:17:21 00:13:19:18 實際上,母親大地內
00:13:19:18 00:13:22:21 沒有像一支大柱可被我們稱呼為軸心的東西
00:13:23:08 00:13:27:02 母親大地內沒有任何物質
00:13:27:02 00:13:30:11 能被我們稱呼為軸心
00:13:30:11 00:13:32:02 這是一種能量
00:13:32:02 00:13:34:16 當宇宙擴張
00:13:34:16 00:13:39:10 這能量令地球有巨大的
00:13:39:10 00:13:42:18 旋轉速度
00:13:43:02 00:13:47:05 它不單在移動，還創造了日與夜
00:13:47:05 00:13:50:19 所以我們白天工作，晚上睡覺
00:13:50:19 00:13:52:11 這樣令我們平衡
00:13:53:00 00:13:56:24 也是因為地球繞著太陽轉動
00:13:57:05 00:14:03:13 令一半的國家
00:14:03:22 00:14:05:11 在夏天取得陽光
00:14:05:11 00:14:09:21 另一半的國家在冬天取得陽光
00:14:10:08 00:14:13:18 軸心就是這樣成就萬事萬物
