00:00:02:08 00:00:06:07 全世界都充滿着熱忱
00:00:10:03 00:00:11:14 我想整個悉尼的
00:00:11:20 00:00:14:08 花朵都被剪下來了
00:00:16:17 00:00:19:19 賀卡、信件、
00:00:21:01 00:00:25:23 美麗的詩句，這些話是多麼甜蜜
00:00:26:09 00:00:31:06 兒童們在美麗地歌唱
00:00:38:09 00:00:42:08 這種歡騰，
00:00:43:08 00:00:45:04 這種快樂
00:00:45:20 00:00:48:22 是語言不能表達的
00:00:59:17 00:01:02:11 你需要母親
00:01:04:14 00:01:06:14 的照顧、
00:01:08:06 00:01:10:09 保護
00:01:11:14 00:01:15:00 以她的
00:01:17:12 00:01:19:12 智慧
00:01:22:04 00:01:24:11 去改造你
00:01:30:11 00:01:34:05 因此，我發覺
00:01:38:09 00:01:42:01 在每一個我的壽辰
00:01:44:06 00:01:46:09 霎哈嘉瑜伽士的心都在擴大
00:01:48:11 00:01:52:08 他們意識到自己不再是水滴
00:01:52:17 00:01:55:23 而是海洋的一部分
00:01:58:09 00:02:01:03 海洋會
00:02:03:05 00:02:07:09 強化他們
00:02:08:14 00:02:11:00 照顧他們
00:02:11:23 00:02:16:03 亦會滋養他們
00:02:18:19 00:02:25:14 指導他們
00:02:26:16 00:02:30:00 因此，水滴和海洋的連繫
00:02:30:16 00:02:33:20 必須完全建立
00:02:34:06 00:02:36:17 水滴的限制
00:02:37:03 00:02:40:12 要完全溶化
00:02:40:19 00:02:43:09 在偉大的海洋中
00:02:50:01 00:02:51:19 憑着關懷
00:02:55:02 00:02:58:02 憑著甜美的說話
00:02:59:09 00:03:03:19 憑著懇切能合群的欲望
00:03:05:08 00:03:09:19 我們可以改善集體的深度
00:03:11:00 00:03:16:11 合群的欲望要非常懇切
00:03:17:08 00:03:25:13 胸懷開始擴闊
00:03:26:17 00:03:30:17 首先需要的是：對自己真誠
00:03:32:00 00:03:38:00 因為我們本是滴水的狀態
00:03:38:06 00:03:39:19 一滴水
00:03:39:19 00:03:41:17 細小局限的水滴
00:03:41:17 00:03:44:05 在這狀態
00:03:45:03 00:03:50:09 我們一再受這個限制所吞沒
00:03:52:13 00:03:58:05 可是我們必須看到自己的遠景
00:03:59:13 00:04:01:11 你會成為甚麼
00:04:01:17 00:04:04:13 你想成為甚麼
00:04:07:05 00:04:09:19 因此，你真誠的
00:04:09:19 00:04:13:09 想合群
00:04:13:09 00:04:17:13 會打破所有障礙
00:04:19:13 00:04:23:11 如果你對任何目標，任何事誠懇
00:04:24:02 00:04:25:20 你會忘記時間
00:04:25:20 00:04:27:22 忘記花了多少勞力，忘記一切
00:04:27:22 00:04:29:16 你想達成它
00:04:29:16 00:04:32:03 即使只是小事
00:04:33:22 00:04:37:13 這種真誠是從何而來？
00:04:39:08 00:04:42:17 真誠是從兩件事而來
00:04:43:02 00:04:50:00 第一，你要理解甚麼是霎哈嘉瑜伽
00:04:51:24 00:04:54:02 它給了你甚麼
00:04:56:15 00:04:59:09 它給你自覺
00:05:00:21 00:05:04:03 擴闊了你的視野
00:05:04:21 00:05:07:07 也給你集體意識
00:05:07:07 00:05:09:20 給你無思慮的覺醒
00:05:09:20 00:05:11:13 和無疑惑的覺醒狀態
00:05:12:09 00:05:16:03 它為你塑造了新的個性
00:05:16:20 00:05:19:12 就像蛋變成鳥兒
00:05:21:16 00:05:22:20 現在你是鳥兒
00:05:22:20 00:05:26:07 再不能回到蛋殼內
00:05:29:03 00:05:33:02 你意識到霎哈嘉瑜伽對你做了些甚麼
00:05:35:21 00:05:39:23 意識到你成就了甚麼
00:05:42:10 00:05:47:13 就是你已經取得知識
00:05:47:13 00:05:49:13 靈量的知識
00:05:49:23 00:05:53:03 這從來是隱秘的知識
00:05:53:10 00:05:55:07 絕對是隱秘的知識
