00:01:24:22 00:01:27:23 你們一些人可以坐在這裏，好…
00:02:15:20 00:02:17:23 我想你可以來這裏，這裏有空位
00:02:18:02 00:02:22:01 一些人可以移到這裏，他們也可以來
00:02:22:20 00:02:24:09 這不會是問題
00:02:29:20 00:02:32:10 你坐在前面
00:02:38:07 00:02:40:13 你看，好一點
00:02:42:06 00:02:44:01 好
00:02:53:15 00:02:56:20 打開這門，沒問題
00:03:19:01 00:03:21:14 沒有問題，你喜歡可以打開這門
00:03:21:20 00:03:23:17 沒有問題
00:03:26:03 00:03:28:20 最好打開這門，這些門不能打開？
00:03:31:24 00:03:33:20 它們不能打開？
00:03:34:18 00:03:38:20 噢，我的天，需要一個很高的人
00:03:42:04 00:03:43:12 你們需要哈奴曼
00:03:43:20 00:03:46:09 唸誦祂的名號，祂會打開
00:03:57:20 00:04:02:04 把椅子放在前面
00:04:28:14 00:04:32:23 今天，我們來到這裏作
00:04:35:21 00:04:38:04 哈奴曼崇拜
00:04:38:20 00:04:45:07 錫呂‧哈奴曼是我們本質的偉大品格
00:04:46:17 00:04:52:07 祂從腹輪跑到腦袋
00:04:55:00 00:05:00:06 提供我們
00:05:00:14 00:05:03:02 計劃或
00:05:03:11 00:05:09:09 思考的必須指引
00:05:10:03 00:05:15:03 祂指引我們，保護我們
00:05:21:12 00:05:25:15 你們都知道，在德國的人
00:05:26:09 00:05:30:18 是非常活躍，非常偏右脈
00:05:31:09 00:05:35:15 他們用腦過多
00:05:36:02 00:05:39:24 而又很機器取向
00:05:41:06 00:05:45:21 很驚訝有像錫呂‧哈奴曼這樣的神祇
00:05:46:14 00:05:49:14 祂是永恆的孩童
00:05:49:23 00:05:54:00 因為祂像猴子
00:05:54:06 00:05:55:23 祂有猴子的頭
00:05:56:04 00:06:00:03 而不是大象的頭，祂是永恆的孩子
00:06:00:09 00:06:05:07 通常是祂
00:06:05:14 00:06:08:23 管理人類的右脈
00:06:12:04 00:06:15:09 有人告訴祂︰「你必須控制太陽。」
