00:07:31:12 00:07:39:17 我向所有真理的追寻者致敬
00:07:43:09 00:07:47:24 若我们是真正的真理追寻者
00:07:49:04 00:07:51:13 便要对这追寻诚实
00:07:52:18 00:07:54:18 诚恳
00:07:55:11 00:07:59:11 只有这样我们才能对自己诚恳
00:08:00:02 00:08:02:17 证明自己
00:08:03:08 00:08:07:11 在这个世界的存在价值
00:08:08:20 00:08:11:08 有很多真理的追寻者(sadhakas)
00:08:11:20 00:08:14:03 他们从早到晚都在
00:08:14:12 00:08:16:15 制订某些仪式
00:08:17:03 00:08:19:17 某些静坐的方法
00:08:19:24 00:08:22:15 某些虔敬崇拜(bhakti)
00:08:23:02 00:08:25:18 阅读某些书籍
00:08:25:18 00:08:29:13 但我们要明白，我们成就了什么？
00:08:31:06 00:08:33:01 我们身处何方？
00:08:34:21 00:08:36:12 作为母亲我要说︰
00:08:36:21 00:08:42:11 孩子，你为追寻已经付出了很多
00:08:43:14 00:08:46:01 但你找到什么？
00:08:46:20 00:08:49:08 你找到最终的实相吗？
00:08:50:07 00:08:54:03 你找到经典里描述的东西吗？
00:08:54:22 00:08:58:06 今天唱的是马拉塔语的歌曲…
00:08:58:12 00:09:00:07 我希望他们能唱些梵文的歌曲
00:09:00:15 00:09:01:23 他们的梵文很好
00:09:02:06 00:09:04:13 请唱些有关商揭罗大师和其他圣人的歌曲
00:09:04:21 00:09:05:23 他们明天会这样做
00:09:06:15 00:09:09:13 这首歌曲是诗人Namadeva 
00:09:10:16 00:09:12:03 在十二世纪的作品
00:09:12:23 00:09:17:07 他后来到了旁遮普(Punjab)
00:09:18:11 00:09:22:10 在哪里的那纳克(Nanak)很尊重他
00:09:23:03 00:09:27:10 还请他应以旁遮普话来写作
00:09:28:08 00:09:30:02 他学习旁遮普话后
00:09:30:11 00:09:32:12 写了一本这样厚的书
00:09:33:00 00:09:36:10 ”Granth Sahib”里很多诗句也是从哪里来的
00:09:36:20 00:09:39:06 他是个很平凡的裁缝
00:09:40:05 00:09:42:02 非常平凡的裁缝
00:09:42:23 00:09:46:05 他到另一个村庄
00:09:46:16 00:09:48:12 与一位名为Gora kumbhar的圣人见面
00:09:48:22 00:09:51:24 Kumbhar意思是指陶艺工，他制造陶瓷
00:09:52:15 00:09:54:16 Gora kumbhar正在忙
00:09:55:03 00:09:58:00 於准备黏土
00:09:58:23 00:10:01:15 Namadeva站在他
00:10:02:05 00:10:03:12 面前说
00:10:03:23 00:10:08:07 我来是要看Nirgun，看无形相
00:10:08:17 00:10:10:11 看chaitanya(生命能量)
00:10:10:17 00:10:14:17 但这里却是Saguna，它是有形相的
00:10:15:05 00:10:17:09 只有已得自觉的灵
00:10:17:15 00:10:20:16 只有圣人才能向另一位圣人说这种话
00:10:20:24 00:10:23:21 因为他知道最终的实相
00:10:24:08 00:10:28:09 没有自觉的人
00:10:28:15 00:10:33:01 不会明白什么是超越这个生命
00:10:35:01 00:10:38:05 基督教的多马(Thomas)
00:10:38:19 00:10:40:14 他来到印度后
00:10:41:02 00:10:42:22 写了很多契约(treatise)
00:10:42:22 00:10:45:22 放在埃及的洞穴里
00:10:46:06 00:10:48:02 最后被人发现
00:10:48:09 00:10:50:24 经过四十八年的研究
00:10:51:05 00:10:54:14 现在有一本书是讲述他
00:10:54:23 00:10:56:19 我很惊叹
00:10:57:12 00:11:01:12 他怎样从头到尾都是在描述霎哈嘉瑜伽
00:11:01:24 00:11:05:22 就是你必须体验实相
00:11:07:07 00:11:12:24 当然，每一本书，每一本经典都说︰
00:11:13:07 00:11:15:09 「认识自己。」我是谁
00:11:15:17 00:11:18:16 我必须找出我是谁
00:11:19:03 00:11:23:10 我是说我们的精力要
00:11:23:16 00:11:26:03 用来找出我们内在的真我(self)
00:11:26:11 00:11:31:02 我们说︰「我的身体，我的声音，我的鼻子，我的国家，我，我…」
00:11:31:09 00:11:35:17 谁是这个「我」？ 
00:11:36:00 00:11:39:17 这些灵感从何而来？
00:11:40:00 00:11:42:07 这个「我」是在我们内里
00:11:42:14 00:11:44:21 反映在我们的内心
00:11:44:21 00:11:46:21 请你们不要
00:11:47:06 00:11:50:09 盲目的接受我
00:11:50:20 00:11:53:07 盲目的相信是於事无补
00:11:53:16 00:11:57:19 我向你们提供一个科学的假设---
00:11:58:12 00:12:01:03 它是怎会发生的
00:12:01:03 00:12:05:10 若能证明它， 
00:12:06:10 00:12:11:05 若你能
00:12:11:22 00:12:14:02 体验到我所说的
00:12:14:02 00:12:17:05 作为诚实的人，你必须接受它
00:12:20:07 00:12:23:11 在西方，与我们相比，他们有其他的问题
00:12:24:09 00:12:25:21 极大的问题
00:12:26:04 00:12:28:02 当我首次来到英国
00:12:28:08 00:12:30:14 你也知道英国人是怎么样，都是难对付的人
00:12:31:00 00:12:33:03 很难打破与他们的隔膜
00:12:33:03 00:12:36:20 但一旦能打破他们的隔膜
00:12:38:17 00:12:41:08 他们都很知识取向
00:12:41:08 00:12:44:08 他们会冲向
00:12:44:16 00:12:48:16 大学，冲向图书馆
00:12:48:24 00:12:52:05 找出关於灵量的一切
00:12:52:19 00:12:56:09 Nath Panthis已经写了很多
00:12:57:14 00:13:00:23 虽然他做了大量唤醒灵量的工作
00:13:01:12 00:13:03:02 但却全都遗失了
00:13:03:10 00:13:06:07 当一些德国人，还有其他人来到这里
00:13:07:00 00:13:10:01 一些密教术士向他们提供了
00:13:10:07 00:13:11:09 一些来自这里的错误资料 
00:13:11:15 00:13:15:05 这种曲解， 
00:13:15:18 00:13:16:18 这种错误的程度
00:13:16:18 00:13:19:10 我曾经读过一本德国书
00:13:19:18 00:13:21:23 它竟然描述灵量是在你的腹部
00:13:22:08 00:13:24:18 还有详细的解释
00:13:25:02 00:13:27:08 毫无疑问他是很博学
00:13:27:14 00:13:30:07 问题是我不知道他学了些什么
00:13:30:15 00:13:33:16 他就是这样描述灵量
00:13:35:24 00:13:38:21 这个知识我们已经知道了很久
00:13:39:05 00:13:44:10 对上天我们有三种取向
00:13:44:19 00:13:46:01 一是Vedas(吠陀经)
00:13:46:15 00:13:49:07 即使是”vida”的意思也是「去知道」
00:13:50:05 00:13:55:13 多马称呼知道的人为”Gnostics”
00:13:55:21 00:13:56:23 或”gn”
00:13:57:06 00:14:00:00 我不知道在南方你们是怎样说”gnana” 
00:14:00:07 00:14:01:09 或”gyana”
00:14:01:15 00:14:03:14 马拉塔语则是”gn”
00:14:04:02 00:14:08:08 "Gnostic”，这些字的意思都是相同的
00:14:08:14 00:14:11:15 即博学的人，不是外在的知识
00:14:12:01 00:14:17:04 不是思维或情绪
00:14:17:18 00:14:19:22 是某些更加超越的知识
00:14:20:11 00:14:24:05 他们尝试走相同的道路
00:14:24:21 00:14:28:23 在吠陀经，他们曾经说
00:14:28:23 00:14:30:22 最先是
00:14:31:11 00:14:33:02 最先是sloka 
00:14:33:02 00:14:35:18 若你不知道
00:14:35:18 00:14:38:02 阅读吠陀经也没有用
00:14:38:14 00:14:40:10 这「知识」是什么？
00:14:41:00 00:14:46:11 就是从你的中枢神经系统去知道
00:14:47:15 00:14:51:04 不是从你的思维
00:14:52:23 00:14:53:20 或肉身
00:14:57:19 00:14:59:22 是从更高的层次去知道
00:15:00:19 00:15:03:20 当我们成为人类
00:15:05:08 00:15:09:09 我们要谦虚的说自己不是完美的存在体
00:15:10:15 00:15:14:14 我们是有某些缺失，不然我们怎会互相战斗
00:15:15:06 00:15:17:00 互相争吵？
00:15:18:04 00:15:21:15 我的意思是大部分问题都是源自人类的问题
00:15:21:24 00:15:25:18 生态的问题，经济的问题，政治的问题
00:15:26:06 00:15:28:21 说到源头，一切问题都是
00:15:29:08 00:15:30:15 来自人类
00:15:31:04 00:15:32:21 那么人类出了什么问题？
00:15:33:10 00:15:35:22 动物没有问题，他们是pashu 
00:15:36:11 00:15:38:05 他们受制於pasha
00:15:38:13 00:15:40:08 神控制牠们
00:15:40:19 00:15:42:11 人类却拥有自由
00:15:42:19 00:15:44:05 但生活得很仓促忙乱
00:15:44:14 00:15:46:19 所有这些问题都是
00:15:47:02 00:15:50:09 源於他们没有拥有真正的知识
00:15:50:09 00:15:54:07 那么，我们该追寻什么真正的知识
00:15:54:17 00:15:57:06 我们该何去何从？
00:15:57:23 00:16:00:24 有些人想从吠陀经去了解
00:16:01:12 00:16:04:20 他们更想了解大自然
00:16:06:05 00:16:07:24 和五大元素
00:16:08:13 00:16:09:24 当他们向五大元素敬拜
00:16:10:13 00:16:12:22 以我们的说法，他们走向右边
00:16:13:11 00:16:16:05 这种右边运动在希腊神话中
00:16:16:17 00:16:17:14 清楚的显示
00:16:18:11 00:16:21:17 之后它变成科学 
