00:00:20:08 00:00:26:16 Shri Raja Rajeshwari 崇拜
00:00:28:16 00:00:35:06 1991年12月6日 印度馬德拉斯
00:00:38:18 00:00:41:19 今天我們先做錫呂格涅沙崇拜
00:00:42:13 00:00:47:09 再做 Raja Rajeshwari崇拜
00:00:49:03 00:00:56:02 有很多名號是用來描述女神︰
00:00:57:18 00:00:59:20 特別是商揭羅大師稱呼她為 
00:01:00:01 00:01:04:24 Raja Rajeshwari，意思是她是諸天后的天后
00:01:05:16 00:01:20:05 在西方，他們也用這個名號來稱呼母親瑪利亞
00:01:24:12 00:01:29:18 這些稱呼是來自異教
00:01:30:05 00:01:38:01 就如我之前告訴過你，他們不是來自
00:01:40:00 00:01:45:09 聖經裡對母親瑪利亞的描述
00:01:45:22 00:01:54:06 這顯示聖經手稿
00:01:54:22 00:01:59:03 有很多改動
00:01:59:20 00:02:05:23 印度經典的手稿也有
00:02:06:11 00:02:09:00 很多改動，即使是薄伽梵歌也是
00:02:13:04 00:02:20:04 這就是為何所有宗教都開始出軌
00:02:21:09 00:02:25:06 學者便利用它來
00:02:26:13 00:02:30:07 投射自己的想法
00:02:33:00 00:02:37:05 敘述描寫完全
00:02:37:23 00:02:42:13 違反神聖力量的事情
00:02:43:20 00:02:48:22 你們都是這個地球上非常幸運的人
00:02:49:12 00:02:52:05 因為你已經發現實相
00:02:52:07 00:02:56:02 明白神話虛構的
00:02:56:11 00:02:59:18 事情都是真的
00:03:00:06 00:03:04:05 反而理智理性的事情卻不是真的
00:03:04:17 00:03:14:06 還有，任何用來分裂分隔人的事情
00:03:14:18 00:03:18:17 也不是真的
00:03:18:24 00:03:22:09 我們相信所有宗教
00:03:22:22 00:03:27:04 這就是為何每一個所謂篤信宗教的人
00:03:27:16 00:03:29:02 都反對我們
00:03:29:17 00:03:31:08 因為你們理應只相信一個宗教
00:03:31:17 00:03:34:00 而抗拒其他宗教
00:03:34:14 00:03:36:08 若你相信所有宗教，即是說你完全
00:03:37:00 00:03:41:20 不虔誠，這是個概念
00:03:42:06 00:03:44:11 他們感到很震驚，我們竟然相信所有宗教
00:03:44:23 00:03:49:04 尊重所有降世神祇
00:03:49:10 00:03:55:04 也相信所有神祇的整合融合
00:03:56:11 00:04:01:08 至於格涅沙，對來自西方國家的人
00:04:01:19 00:04:04:15 必定是一個很大的揭示
00:04:04:22 00:04:07:03 即使在北方，我也不大能找到人們如
00:04:07:11 00:04:11:16 南方那樣敬拜格涅沙，特別在這個地區
00:04:12:02 00:04:16:18 也在馬哈拉斯特拉邦，因為在馬哈拉斯特拉邦
