00:10:03:23 00:10:08:13 我向所有真理的追求者致敬
00:10:16:04 00:10:18:11 昨天开始的时候
00:10:18:24 00:10:22:08 我告诉你真理就是那样
00:10:23:00 00:10:25:19 如果我们还没有找到真理
00:10:26:12 00:10:29:12 就应该对它谦虚真诚
00:10:30:01 00:10:34:01 因为真理带给我们福祉
00:10:35:04 00:10:38:17 它给我们的城镇
00:10:39:21 00:10:41:12 我们的社会
00:10:42:01 00:10:45:18 我们的国家、以及整个宇宙带来福祉
00:10:46:15 00:10:50:07 你们全都出生在一个很特别的时刻
00:10:50:21 00:10:56:21 是大家都要得到自觉的时刻
00:10:58:03 00:11:01:17 这是圣经所描述的重生时刻
00:11:02:11 00:11:06:22 也是穆罕默德所描述的复活(Kiyama)时刻
00:11:08:11 00:11:11:12 这个很特别的时刻是Nala
00:11:11:20 00:11:14:00 你也知道，Nala damayanthi akhyan
00:11:14:15 00:11:18:17 他要面对迦利(Kali)
00:11:19:09 00:11:22:07 他很生气的对迦利说︰
00:11:22:13 00:11:25:12 你摧毁了我的家庭，破坏了我的平静
00:11:25:21 00:11:28:12 把人带入bhram
00:11:28:24 00:11:30:07 带入幻象
00:11:30:19 00:11:33:16 所以我最好还是把你杀掉
00:11:37:19 00:11:40:24 他挑战迦利
00:11:41:19 00:11:44:22 你应该永远完蛋
00:11:45:20 00:11:49:14 迦利回答：：「好吧，让我告诉你我是大幻相(mahatmyam)
00:11:50:01 00:11:52:15 我为什么要在这里
00:11:53:04 00:12:01:04 如果我能说服你，你便要停止杀害我
00:12:01:13 00:12:03:24 要不然，你可以杀掉我
00:12:05:15 00:12:11:01 他跟着说︰「今天，所有寻找真理
00:12:11:16 00:12:14:18 寻找自觉的人，Atma sakshatkara(自觉)
00:12:15:10 00:12:18:11 所有走到giri、 kandharas
00:12:18:24 00:12:21:24 山上、山谷里
00:12:23:00 00:12:25:16 世界每个角落寻找神的人
00:12:26:10 00:12:27:24 他们都会在
00:12:28:05 00:12:32:06 混乱期(kali yuga)以寻常百姓出生
00:12:33:08 00:12:35:06 毫无疑问，幻相(Bhram)确实存在
00:12:35:13 00:12:37:11 人们会落入sabhram
00:12:38:01 00:12:41:12 幻象会存在，混乱也会存在
