00:10:03:23 00:10:08:13 我向所有真理的追求者致敬
00:10:16:04 00:10:18:11 昨天開始的時候
00:10:18:24 00:10:22:08 我告訴你真理就是那樣
00:10:23:00 00:10:25:19 如果我們還沒有找到真理
00:10:26:12 00:10:29:12 就應該對它謙虛真誠
00:10:30:01 00:10:34:01 因為真理帶給我們福祉
00:10:35:04 00:10:38:17 它給我們的城鎮
00:10:39:21 00:10:41:12 我們的社會
00:10:42:01 00:10:45:18 我們的國家、以及整個宇宙帶來福祉
00:10:46:15 00:10:50:07 你們全都出生在一個很特別的時刻
00:10:50:21 00:10:56:21 是大家都要得到自覺的時刻
00:10:58:03 00:11:01:17 這是聖經所描述的重生時刻
00:11:02:11 00:11:06:22 也是穆罕默德所描述的復活(Kiyama)時刻
00:11:08:11 00:11:11:12 這個很特別的時刻是Nala
00:11:11:20 00:11:14:00 你也知道，Nala damayanthi akhyan
00:11:14:15 00:11:18:17 他要面對迦利(Kali)
00:11:19:09 00:11:22:07 他很生氣的對迦利說︰
00:11:22:13 00:11:25:12 你摧毀了我的家庭，破壞了我的平靜
00:11:25:21 00:11:28:12 把人帶入bhram
00:11:28:24 00:11:30:07 帶入幻象
00:11:30:19 00:11:33:16 所以我最好還是把你殺掉
00:11:37:19 00:11:40:24 他挑戰迦利
00:11:41:19 00:11:44:22 你應該永遠完蛋
00:11:45:20 00:11:49:14 迦利回答：：「好吧，讓我告訴你我是大幻相(mahatmyam)
00:11:50:01 00:11:52:15 我為甚麼要在這裏
00:11:53:04 00:12:01:04 如果我能說服你，你便要停止殺害我
00:12:01:13 00:12:03:24 要不然，你可以殺掉我
00:12:05:15 00:12:11:01 他跟著說︰「今天，所有尋找真理
00:12:11:16 00:12:14:18 尋找自覺的人，Atma sakshatkara(自覺)
00:12:15:10 00:12:18:11 所有走到giri、 kandharas
00:12:18:24 00:12:21:24 山上、山谷裡
00:12:23:00 00:12:25:16 世界每個角落尋找神的人
00:12:26:10 00:12:27:24 他們都會在
00:12:28:05 00:12:32:06 混亂期(kali yuga)以尋常百姓出生
00:12:33:08 00:12:35:06 毫無疑問，幻相(Bhram)確實存在
00:12:35:13 00:12:37:11 人們會落入sabhram
00:12:38:01 00:12:41:12 幻象會存在，混亂也會存在
00:12:41:12 00:12:43:10 我會製造它們，這是毋庸置疑的
00:12:43:21 00:12:46:20 不過，就是因為混亂
00:12:47:09 00:12:52:02 這些尋常百姓才會尋找真理
00:12:53:20 00:12:55:11 這是為甚麼
00:12:55:23 00:12:59:17 他們就在這個時刻取得自覺(Atma sakshatkara)
00:13:00:24 00:13:06:04 我們的經書(shastras)裡
00:13:06:15 00:13:09:21 有很多關於這些時刻的預言
00:13:12:00 00:13:14:02 Bhrigumuni特別在
00:13:15:02 00:13:19:08 "Nadigranth”描述這些時刻
00:13:19:22 00:13:24:13 如果你數算一下日子
00:13:24:13 00:13:27:12 它正正就是現在
00:13:28:22 00:13:33:03 這些預言會在Raghwindra Swami死後發生
00:13:33:15 00:13:35:21 亦即是現在正在發生的事情
00:13:36:18 00:13:39:09 對你們來說，了解到
00:13:39:17 00:13:44:13 Raghwindra Swami在這個領域做了大量的工作是非常重要的
00:13:44:23 00:13:48:12 現在是時候要完成他的工作
00:13:50:07 00:13:53:00 Ramana Maharshi也是
00:13:53:18 00:13:55:07 他們不知道怎樣解釋
00:13:55:13 00:13:57:19 所以他們就要maunavart
00:13:58:08 00:14:01:02 像格尼殊哇(Gyaneshwara)，他在二十三歲時
00:14:01:10 00:14:03:10 寫下這種美妙的作品
00:14:04:00 00:14:05:17 像“Amruta anubhavi …”這本書
00:14:06:00 00:14:09:08 我認為是靈性的遺言
00:14:10:08 00:14:13:02 他在二十三歲這麽年輕
00:14:13:09 00:14:14:22 就要進入samadhis(三摩地，即境界)
00:14:15:08 00:14:18:09 因為沒有人想去了解他們
00:14:18:17 00:14:19:23 太多的儀式
00:14:20:06 00:14:21:07 太多的制約
00:14:21:14 00:14:24:03 過度的閱讀，沒有人想去
00:14:24:10 00:14:25:10 了解他們在說甚麼
00:14:25:18 00:14:28:02 每個人都以為：「我們了解一切。」
00:14:28:12 00:14:32:24 他們就這樣滿足了
00:14:34:11 00:14:35:14 伽比爾(Kabira) 說過︰ 
00:14:35:21 00:14:38:06 Kaise samjhaun, sab jag andhaa
00:14:38:16 00:14:41:19 全世界都瞎了眼，我要怎樣去解釋呢
00:14:42:12 00:14:47:14 這就是我們在進化中要達成
00:14:47:23 00:14:50:20 要跳進去的
00:14:51:07 00:14:55:07 所有的經典都說你要成為靈
00:14:55:24 00:14:58:09 不單是印度，每個地方都是
00:14:58:18 00:15:01:02 如果你學習「道」，如果你學習「禪」
00:15:01:10 00:15:07:24 如果你學習猶太或基督教哲學
00:15:08:07 00:15:10:22 或是伊斯蘭，每一處都說
00:15:11:07 00:15:13:10 你要成為真我(Self)
00:15:13:21 00:15:15:19 你要取得真我的知識
00:15:16:08 00:15:18:11 當然，若有任何人這樣說
00:15:18:19 00:15:22:14 那些掌管宗教的人
00:15:22:22 00:15:25:05 事務的掌舵人，他們從中賺取金錢
00:15:25:15 00:15:27:20 或製造權勢
00:15:28:03 00:15:30:20 利用宗教來取得權力或錢財
00:15:31:07 00:15:34:06 他們不喜歡這種說法，他們就會說：「他們是異端
00:15:34:17 00:15:37:20 這是褻瀆罪。他們不具備特別的知識。」
00:15:38:04 00:15:40:18 這就是他們懲罰人
00:15:41:01 00:15:43:18 煩擾人、折磨人的方式
00:15:46:01 00:15:49:00 不過，現在是時候讓所有求道者
00:15:49:16 00:15:54:18 得到自覺---Atma sakshatkara
00:15:55:12 00:15:57:06 昨天我告訴你它是怎樣
00:15:57:12 00:15:59:06 透過喚醒靈量來成就
00:16:00:10 00:16:02:02 人們寫下各種各樣關於靈量
00:16:02:08 00:16:04:22 不實的荒唐事情
00:16:05:08 00:16:07:07 我是你的母親，我會把真理告訴你
00:16:07:13 00:16:10:00 我不會告訴你虛假的東西
00:16:10:22 00:16:13:08 即使你不喜歡，就讓我告訴你吧
00:16:13:19 00:16:16:00 因為這是為了你的福祉
00:16:16:09 00:16:18:20 為了你的好處，為了你的hita
00:16:21:22 00:16:24:23 當靈量升起
00:16:25:23 00:16:28:01 她穿過你
00:16:28:08 00:16:30:19 不同的能量中心，即精微的中心
00:16:31:12 00:16:32:22 並滋養它們
00:16:33:03 00:16:35:03 靈量穿透你的腦囟
00:16:35:09 00:16:38:00 把你與無所不在的力量
00:16:38:06 00:16:40:03 這個我們不知道的力量連上
00:16:41:15 00:16:45:07 跟著你從手上感受到
00:16:45:21 00:16:47:24 我們叫作Chaitanya lahari的生命能量
00:16:49:12 00:16:53:05 商羯羅大師(Adi Shankaracharya)把它叫作“Saundarya lahari”
