00:01:46:10 00:01:49:06 我們今天聚集在
00:01:49:14 00:01:53:04 這個漂亮的山頂
00:01:54:23 00:01:58:14 一起慶祝基督的復活
00:01:59:23 00:02:03:13 對霎哈嘉瑜伽士而言
00:02:03:24 00:02:09:23 明白基督的復活這件大事是別具意義
00:02:11:20 00:02:14:08 基督透過祂的復活
00:02:14:16 00:02:17:24 來顯示靈是不會死的
00:02:18:24 00:02:22:19 祂是Omkara(唵)，
00:02:23:02 00:02:27:13 也既是Logo(道)亦是靈
00:02:28:08 00:02:33:17 這就是為何祂能在水上行走
00:02:34:20 00:02:39:14 我們已經製作了一部
00:02:40:03 00:02:45:04 有關根輪的電影
00:02:45:11 00:02:48:17 它清楚展示碳原子
00:02:49:06 00:02:52:24 若你從根輪的右面往左看
00:02:53:09 00:02:56:23 你會發現Swastika(卐)
00:02:57:06 00:03:02:17 若從左往右看，我們看到Omkara(唵)
00:03:03:01 00:03:05:17 若從下往上看
00:03:05:24 00:03:09:17 你看到Alpha(亞爾發)和Omega(歐米加)
00:03:10:07 00:03:14:14 凡此種種都毫無疑問的證明基督，就如祂所說︰
00:03:14:22 00:03:18:06 我既是亞爾發亦是歐米加
00:03:18:15 00:03:25:03 這些都清楚顯示祂是鍚呂格涅沙的化身
00:03:26:04 00:03:29:12 這些都是科學的證據
00:03:29:21 00:03:35:12 所以我們能告訴別人這是事實
00:03:36:23 00:03:40:11 我不知道在基督的時代
00:03:40:20 00:03:44:15 數學家懂不懂亞爾發和歐米加
00:03:44:24 00:03:47:06 但肯定當
00:03:47:16 00:03:52:09 基督說︰「我是亞爾發和歐米加」祂是懂得的
00:04:00:03 00:04:05:10 基督是降世神祇
00:04:06:00 00:04:11:03 祂對我們的昇進很有價值，很重要
00:04:12:16 00:04:16:01 若祂並未復活
00:04:16:11 00:04:20:14 我們完全沒法昇進
00:04:21:05 00:04:24:00 這是一大貢獻
00:04:24:12 00:04:29:06 基督的復活在我們的人生中顯而易見---
00:04:30:03 00:04:33:05 你以前是怎麽樣
00:04:33:14 00:04:36:19 現在又是怎麽樣
00:04:39:18 00:04:42:17 這種改變
00:04:43:03 00:04:45:06 這種區別
00:04:45:13 00:04:48:12 這種轉化
00:04:49:09 00:04:52:23 就是因為祂犧牲
00:04:53:10 00:04:54:21 在十字架上
00:04:55:03 00:04:58:21 祂漂亮的
00:04:59:08 00:05:01:22 復活
00:05:02:05 00:05:05:10 為我們創造了通道
00:05:05:18 00:05:10:24 讓我們有新的轉化
00:05:15:17 00:05:21:15 這個轉化狀態對人類
00:05:21:24 00:05:24:11 對基督是截然不同的
00:05:24:19 00:05:26:21 基督本身
00:05:27:05 00:05:31:09 就是神聖，又或是純潔
00:05:32:20 00:05:35:08 我們可以說
00:05:35:15 00:05:42:02 復活的只是祂的軀體
00:05:43:17 00:05:47:14 因為祂不需要轉化
00:05:49:05 00:05:51:04 不需要
00:05:51:11 00:05:55:23 潔淨
00:05:57:10 00:06:00:18 在祂身上
00:06:01:10 00:06:06:13 發生的是祂
00:06:07:24 00:06:11:05 從死亡中復活過來
00:06:11:17 00:06:16:06 象徵人類沒有靈性
00:06:16:15 00:06:19:05 就如死人一樣
00:06:19:14 00:06:21:14 因為他們所做的一切
00:06:21:23 00:06:27:13 對整體，
00:06:28:18 00:06:30:22 對實相，對絕對的真理
00:06:31:06 00:06:34:07 都是毫不理解
00:06:34:15 00:06:36:21 他們做的任何事最終都
00:06:37:07 00:06:41:09 只會為自己帶來滅亡
00:06:43:01 00:06:46:09 即使偉大的降世神祇
00:06:46:18 00:06:48:20 所建立創造的宗教
00:06:49:05 00:06:53:15 也在走下坡
00:06:54:00 00:06:58:00 那些聲稱自己
00:06:58:10 00:06:59:22 代表降世神祇的人，
00:07:00:06 00:07:03:03 你完全找不到他們過著
00:07:03:11 00:07:07:06 虔敬生活的任何的痕跡
00:07:07:23 00:07:11:00 若你以精微的角度來看
00:07:11:10 00:07:13:08 人們以
00:07:13:17 00:07:17:20 降世神祇之名所做的工作
00:07:18:05 00:07:20:18 是很令人不快的
00:07:21:04 00:07:25:17 他們從事的活動也是不真實的，
00:07:26:01 00:07:28:24 因為他們對神毫不敬畏
00:07:29:09 00:07:32:12 他們以神的名義
00:07:32:19 00:07:34:12 在全世界做著可怕的事情
00:07:34:20 00:07:35:22 當然在這裡
00:07:36:05 00:07:38:03 你可以說天主教已經被揭露
00:07:38:11 00:07:40:09 每一處我們都看到
00:07:40:19 00:07:44:01 虛假的事情被揭露
00:07:44:10 00:07:48:07 他們以神，靈性、
00:07:48:20 00:07:52:18 美善來做擋箭牌
00:07:53:01 00:07:55:23 做著虛假的事情
00:07:56:09 00:07:59:14 這是最佳的掩飾
00:08:00:15 00:08:05:02 他們的一切殘酷、暴力
00:08:06:00 00:08:08:22 醜陋的行為
00:08:09:20 00:08:12:06 就是這樣掩飾下來
00:08:12:15 00:08:16:08 這種境況，已經到達
00:08:16:18 00:08:19:18 你在這些人中
00:08:20:04 00:08:24:15 完全找不到一絲一毫的靈性生活
00:08:25:03 00:08:27:01 就像全世界的盗賊
00:08:27:09 00:08:29:08 騙子
00:08:29:18 00:08:33:08 懂計謀的人已經接管一切
00:08:35:14 00:08:39:21 這種境況的出現只是因為在所有書籍
00:08:40:05 00:08:44:01 所有經典所記載的「你必須追尋自己」
00:08:44:13 00:08:47:00 從沒有實踐進行
00:08:48:13 00:08:51:24 「你要認識自己」也從沒有實踐
00:08:52:09 00:08:55:20 基督曾經說過多少次︰『「認識自己」？』
00:08:56:06 00:08:58:15 祂也說︰「你要重生。」
00:08:59:01 00:09:01:22 他們馬上拿出證書︰「我已經重生。」
00:09:02:07 00:09:07:18 並且利用這張證書圖利
00:09:09:08 00:09:12:01 他們沒有想過
00:09:12:10 00:09:15:00 它實際上能給他們甚麽福祉
00:09:15:10 00:09:17:06 或許他們能賺到一點錢
00:09:17:16 00:09:21:01 或許最多取得一點膚淺的權勢
00:09:21:10 00:09:27:10 但就天生的品質而言，他們卻毫無得益
00:09:29:22 00:09:34:04 我們要為他們愚蠢的行為感到遺憾可惜，
00:09:34:22 00:09:38:15 他們追隨基督或
00:09:38:24 00:09:40:13 任何高貴和
00:09:40:22 00:09:45:06 更高價值觀的人
00:09:45:17 00:09:51:18 卻做著一些非常低賤的事情
00:09:53:17 00:09:58:22 現在透過霎哈嘉瑜伽，你已經轉化
00:09:59:12 00:10:03:02 我要說的是你的靈量轉化了你
00:10:03:18 00:10:07:19 但基督與你仍有這樣的差別︰
00:10:08:04 00:10:12:19 你來自這種環境
00:10:13:21 00:10:15:24 這種生活方式
00:10:16:09 00:10:18:15 這種思考方式
00:10:18:24 00:10:21:05 全都把你推向滅亡
00:10:21:14 00:10:25:21 每一種都是，若你現在看看，都是帶給你滅亡
00:10:26:09 00:10:28:22 所以當你從中走出來
00:10:29:09 00:10:32:09 這些東西仍然纏繞著你
00:10:32:19 00:10:37:18 你仍然受它影響
00:10:38:07 00:10:40:23 即使你越昇越高
00:10:41:06 00:10:44:13 你發覺自己忽然再次
00:10:44:21 00:10:47:10 被推落某些可笑的境況
00:10:47:18 00:10:53:05 某些下賤的東西
00:10:53:20 00:10:56:16 當然，有時你也被自己嚇倒
00:10:57:01 00:10:59:22 竟然會接受所有荒謬的事情
00:11:00:09 00:11:02:17 所以對霎哈嘉瑜伽士而言，這是很重要的
00:11:02:24 00:11:04:19 在得到自覺後
00:11:05:05 00:11:08:05 他必須內省
00:11:08:15 00:11:10:11 不是看別人的錯處
00:11:10:19 00:11:14:14 而是看自己內在有甚麽錯處
00:11:15:03 00:11:19:08 你要知道自己
00:11:19:18 00:11:23:16 有多少向著靈性，這是很重要的
00:11:24:08 00:11:28:13 因為基督不用這樣
00:11:29:04 00:11:32:21 祂甚至不用內省
00:11:33:09 00:11:39:17 祂是超越任何墮落腐敗
00:11:40:14 00:11:46:21 對祂，死亡只是
00:11:47:05 00:11:49:13 肉身的轉化
00:11:49:24 00:11:53:01 接下來祂復活了
00:11:53:12 00:11:56:18 但對我們，情況卻很不同
00:11:57:04 00:12:00:04 我們現在是霎哈嘉瑜伽士
00:12:00:13 00:12:04:01 但我們仍是普通的人類
