00:06:15:15 00:06:23:11 我们今天聚集在这里作克里希纳崇拜
00:06:26:24 00:06:35:05 我们要清楚知道，克里希纳
00:06:35:13 00:06:40:16 是我们内在的非常非常重要的神祇
00:06:41:24 00:06:45:14 因为他就是
00:06:46:03 00:06:50:19 住在幻海
00:06:52:23 00:06:55:13 在脐轮里的毗湿奴
00:06:56:02 00:07:03:08 是他在我们内里制造产生正法(dharma)
00:07:03:19 00:07:07:14 当你得到自觉，我不会对你说
00:07:07:23 00:07:10:05 不要这样做，不要那样做
00:07:10:16 00:07:15:15 我从不会对你说︰「这样不好，那样不好。」
00:07:16:02 00:07:18:03 你照做便行
00:07:18:14 00:07:24:20 因为你内在的毗湿奴已经被唤醒
00:07:25:17 00:07:28:00 他是在幻海里
00:07:28:11 00:07:32:13 若他被唤醒
00:07:33:10 00:07:40:16 便会带给你光
00:07:41:10 00:07:44:14 为你扫除无明，扫除黑暗
00:07:45:00 00:07:49:02 你开始看到
00:07:50:09 00:07:54:11 你做的事情是会为你带来灭亡
00:07:54:24 00:07:59:16 正法就是这样被建立
00:08:00:00 00:08:03:18 当然，正法也是
00:08:04:05 00:08:10:09 十位来到地球的导师、
00:08:10:17 00:08:15:01 先知所建立，他们教导我们正法
00:08:24:12 00:08:29:05 毗湿奴和
00:08:29:14 00:08:33:00 十位导师的组合
00:08:33:10 00:08:38:20 是为了建立我们内在的正法
00:08:39:05 00:08:42:04 正法是先知所教导
00:08:42:13 00:08:44:06 就如你在每一处所看到的一样
00:08:44:14 00:08:48:01 他们已经说︰「不要这样做，不要那样做。」
00:08:48:11 00:08:50:20 他们谈论十诫
00:08:51:05 00:08:57:05 每一位先知都有谈论正法，谈论什么该做
00:08:57:23 00:09:02:01 某程度上，基督也有谈及它
00:09:02:12 00:09:06:14 他说︰「我们不要有淫邪的眼睛。」
00:09:07:00 00:09:15:07 克里希纳却说
00:09:15:17 00:09:21:09 当正法 glani
00:09:21:20 00:09:31:20 glani即灭亡，当正法灭亡，我便来到地球
00:09:33:05 00:09:35:11 当正法变得虚弱
00:09:35:21 00:09:38:05 他便来到地球
00:09:38:17 00:09:41:10 杀掉为正法的
00:09:41:20 00:09:47:01 灭亡
00:09:47:19 00:09:56:12 负上责任的人
00:09:57:14 00:10:00:12 他说的第二件事情是︰
00:10:00:23 00:10:06:03 我保护圣人，我既保护圣人
00:10:07:12 00:10:15:08 亦杀死魔鬼，杀死撒旦
00:10:15:18 00:10:17:08 杀死毁灭
00:10:17:17 00:10:19:09 这些承诺是
00:10:19:19 00:10:24:06 他很久以前以克里希纳形相时所作出的
00:10:24:16 00:10:29:11 作为毗湿奴，我们只知道
00:10:29:21 00:10:33:19 他是正法的赐予者，主要的
00:10:34:07 00:10:38:00 他潜在的品质实际上是在
00:10:38:10 00:10:40:12 他以克里希纳形相显现时已经显露出来
00:10:40:23 00:10:44:02 在罗摩的时代，这些品质
00:10:44:13 00:10:47:11 是不能以这种方式途径表达出来
00:10:49:13 00:10:52:18 克里希纳的前半生
00:10:53:03 00:10:55:12 生活在 Gokul 和 Vrindavan 时
00:10:55:23 00:11:03:15 他已经显现了他漂亮的品格个性
00:11:04:03 00:11:08:02 他创造了
00:11:08:13 00:11:11:18 他称为leela(戏剧)，Leeladhara
00:11:12:02 00:11:16:23 即你变成旁观者
00:11:18:14 00:11:21:21 你旁观见证整个世界为一出戏剧
