00:05:23:07 00:05:32:13 今天是一个大日子，因为顶轮日和母亲节
00:05:32:13 00:05:36:22 碰巧在同一天
00:05:37:13 00:05:43:08 这是发生得很霎哈嘉(自然而然)的
00:05:46:07 00:05:50:15 我们就是要明白
00:05:51:16 00:05:59:19 顶轮与母性是怎样相配
00:06:05:20 00:06:12:13 顶轮肯定已经开启了
00:06:15:14 00:06:19:06 母亲必须要这样做
00:06:21:20 00:06:29:06 因为之前来到这个世界的人
00:06:30:16 00:06:37:02 尝试教导人正法
00:06:37:19 00:06:40:20 把人带到中脉
00:06:40:20 00:06:44:23 直接带到升进的道路
00:06:45:22 00:06:48:03 无论什么他们认为是
00:06:49:00 00:06:52:17 对某一个社区，某一个地区
00:06:53:02 00:06:56:08 某一个国家有利的，他们都会尝试去做
00:06:56:16 00:07:02:09 他们谈论它，很多书籍因此出现
00:07:02:20 00:07:15:16 所有这些书籍理应能创造属神、
00:07:17:06 00:07:22:17 有灵性以及团结一致的人
00:07:22:17 00:07:27:16 但却创造了互相对抗的人
00:07:27:16 00:07:33:03 这种非常荒谬的事情，却在发生
00:07:33:11 00:07:37:15 所有这些书籍
00:07:37:15 00:07:45:01 这些知识，都被人类错误利用
00:07:45:01 00:07:53:12 在令他们得到权势。我必须要说
00:07:53:23 00:08:00:22 这全是权力取向，也是金钱取向的游戏，在持续着
00:08:01:06 00:08:10:09 当我们看到所有这些宗教的后果，我们感到它们全都是空洞的
00:08:10:09 00:08:21:05 他们谈论爱心，谈论慈悲，全都怀有目的
00:08:21:15 00:08:25:11 有时这也只是一场政治的把戏
00:08:26:08 00:08:32:11 因为他们仍然觉得，他们必须拥有权力
00:08:32:23 00:08:36:12 不是灵性上的权力，而是世俗的权力
00:08:36:12 00:08:40:06 因为他们想支配整个世界
00:08:40:23 00:08:47:04 这种想支配全界的念头开始在人类的脑袋中运作
00:08:47:15 00:08:52:18 我们因此有很多战争、杀戮以及所有类似的事情
00:08:53:00 00:08:59:00 当它平静下来时
00:08:59:00 00:09:05:20 我感到或许现在开启顶轮，可以帮助人看到实相
