00:05:14:15 00:05:20:10 太初之母崇拜

00:05:21:21 00:05:29:00 1998年6月21日 義大利卡貝拉

00:05:48:09 00:05:50:17 錫呂‧瑪塔吉女士叫我與你們分享

00:05:51:02 00:05:56:18 她探訪俄羅斯的上天經驗

00:05:57:10 00:06:02:19 我要說這的確是戲劇性的突破

00:06:03:04 00:06:09:24 因為在莫斯科舉辦的科學硏討會

00:06:11:23 00:06:16:06 參與者都是非常有名的科學家

00:06:16:17 00:06:18:03 物理學家

00:06:18:15 00:06:23:15 他名叫Anatoli Akimov，他的名氣

00:06:24:00 00:06:26:21 遍及俄羅斯以至全世界

00:06:27:09 00:06:32:14 而他帶來他花了多年

00:06:32:24 00:06:34:09 才研究出的理論

00:06:34:23 00:06:39:21 這個理論是根據真空的人體作為硏究

00:06:40:08 00:06:44:00 某些像扭曲空間

00:06:44:14 00:06:48:00 他以非常清晰，科學角度來解釋

00:06:48:13 00:06:52:24 錫呂‧瑪塔吉散發的生命能量

00:06:53:08 00:06:57:01 所以，他首先硏究一些

00:06:57:11 00:07:02:06 入靜中的瑜伽士，他發覺

00:07:02:17 00:07:06:20 他們在散發生命能量

00:07:07:03 00:07:09:07 有一股氣場( aura )圍繞著他們

00:07:09:15 00:07:11:02 當他來到錫呂‧瑪塔吉面前

00:07:11:13 00:07:15:22 當他看到她的照片，一些奇蹟的照片

00:07:16:07 00:07:20:17 他便能真正找出這是什麽，而且他說

00:07:21:01 00:07:26:14 以瑪塔吉為例，那是無窮無盡的

00:07:26:24 00:07:28:17 無限的

00:07:29:04 00:07:32:12 並且非常好，他以他的角度說：

00:07:32:22 00:07:36:08 作為科學硏究者，我必須承認

00:07:36:22 00:07:42:20 所有科學家直到現在有些特別

00:07:43:04 00:07:45:07 獨一無異的發現…

00:07:45:16 00:07:50:22 我要承認這些都不是透過

00:07:50:24 00:07:54:22 科學程序或思維的分析而來

00:07:55:06 00:07:56:01 我們可以說

00:07:56:15 00:08:01:24 它是透過一些上天的啟示靈感

00:08:02:18 00:08:07:10 我們可以提到牛頓，提到愛因斯坦等等

00:08:07:22 00:08:11:23 他再說：「以我為例，當我硏究

00:08:12:13 00:08:15:03 和探索這理論時，有時

00:08:15:15 00:08:18:07 當我看到錫呂‧瑪塔吉的照片時

00:08:18:16 00:08:19:22 便得到啟發

00:08:19:26 00:08:22:13 現在錫呂‧瑪塔吉已經邀請他

00:08:23:07 00:08:25:21 在９月來

00:08:27:11 00:08:30:06 他已經在俄羅斯寫了一本書

00:08:30:15 00:08:33:07 此書會翻譯成英語，他正預備

00:08:33:18 00:08:38:15 寫一本新書以此為主題

00:08:39:04 00:08:41:06 這個獨特的發現

00:08:41:17 00:08:43:17 所以有些人已經

